
[0057]  [070]  []  []

-Z/11/250/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΘΕΡΑ-
-Z/11/299/6	τὰς κατ' εὐθὺ τοῖς πεπονθόσιν, οὕτω δ' ἐναργῆ διὰ ταχέων 
-Z/11/299/7	ἐνίοτε τὴν ὠφέλειαν αἱ κατ' εὐθὺ τῶν πασχόντων μορίων 
-Z/11/299/8	φλεβοτομίαι φέρουσιν, ὥστε καὶ τοὺς πάσχοντας αὐτοὺς καὶ 
-Z/11/299/9	τοὺς οἰκείους αὐτῶν ἐκπλήττεσθαι πολλάκις. 
-Z/11/299/10	  Ἐγὼ γοῦν οἶδα ποτε παρακληθεὶς ὑπό 
-Z/11/299/11	τινος οἰκοῦντος ἐν προαστείῳ τῆς Ῥωμαίων πόλεως ἀνδρὸς 
-Z/11/299/12	πλουσίου, θεάσασθαι τινὰ τῶν διοικούντων αὐτοῦ τὰ πράγ-
-Z/11/299/13	ματα, κινδυνεύοντα τυφλωθῆναι, τοῦτο γὰρ ἐκεῖνος ἔλεγεν, 
-Z/11/299/14	ὀδυνώμενόν τε μεγάλως καὶ τοῦτο πάσχοντος σχεδὸν ἡμερῶν κʹ. 
-Z/11/299/15	ἦν δ' ὁ τῆς οἰκίας τοῦ πλουσίου προϊστάμενος ἰατρὸς Ἐρασι-
-Z/11/299/16	στράτειος. ἔργον πεποιημένος ἀπέχεσθαι φλεβοτομίας ἀεί. 
-Z/11/299/17	θεασάμενος οὖν ἐγὼ τὸν πάσχοντα, νεανίσκον ὄντα πο-
-Z/11/299/18	λύαιμον, ἀνελκώτους μὲν ἔτι τοὺς ὀφθαλμοὺς ἔχοντα,  
-Z/11/300/1	φλεγμονὴν δὲ μεγίστην ἔχοντα καὶ ῥεῦμα καὶ δασύτητα ἐν 
-Z/11/300/2	ἀμφοτέροις τοῖς βλεφάροις, ἐν θατέρῳ καὶ τραχύτητας ἤδη 
-Z/11/300/3	τινὰς, ὑφ' ὧν ἐπισκοτούμενος ἔτι καὶ μᾶλλον ὠδυνᾶτό τε 
-Z/11/300/4	καὶ παρωξύνετο τὴν φλεγμονὴν καὶ τὸ ῥεῦμα. ταῦτα θεα-
-Z/11/300/5	σάμενος ἐγὼ καὶ γνοὺς ἅπασαν ἣν ἐποιεῖτο τῆς θεραπείας 
-Z/11/300/6	ἀγωγὴν ὁ ἰατρὸς, αὐτὸν μὲν οὐκ ἔφη δύνασθαι συνεχῶς εἰς 
-Z/11/300/7	τὸ προαστεῖον ἰέναι, χρῄζειν δὲ τὸν ἄνθρωπον ἄχρι τῶν 
-Z/11/300/8	τριῶν ἡμερῶν τοὐλάχιστον οὐκ ἐκ μακρῶν διαλειμμάτων ὑπ' 
-Z/11/300/9	ἐμοῦ θεωρεῖσθαι. δὸς οὖν αὐτὸν, εἶπον, τὰς τρεῖς ταύτας ἡμέ-
-Z/11/300/10	ρας ἐμοί. καὶ μὴν, ἔφη, παρακαλῶ τοῦτο καὶ χάριν εἴσομαι καὶ 
-Z/11/300/11	ἤδη πρὸς τὴν σὴν οἰκίαν ἄπαγε τὸν ἄνθρωπον, ἧκέ τέ που 
-Z/11/300/12	ὥρας εʹ καὶ ἀφῃρέθην τὴν πρώτην ἀφαίρεσιν εὐθέως αἵματος 
-Z/11/300/13	λίτρας γʹ, εἶτα ἄλλην μίαν ὥρας θʹ. ἐν αἷς ἀνακαλύψας μεγά-
-Z/11/300/14	λως ὑπηλείφθη κατὰ τὴν ὑστεραίαν ἑνὶ τῶν ἁπαλῶν κολλυ-
-Z/11/300/15	ρίων μιχθέντος αὐτοῦ τοῦ δι' οἴνου, καθάπερ εἰώθαμεν ἐπὶ 
-Z/11/300/16	τῶν τοιούτων πράττειν, καθ' ὑπερβολὴν τῆς μίλης τοῦ πυρῆ-
-Z/11/300/17	νος ὑπὸ τὰ βλέφαρα τῆς ὑπαλείψεως γιγνομένης. ἐπράχθη δὲ 
-Z/11/300/18	τοῦτο πρῶτον μὲν ἕωθεν, εἶτα τετάρτης ὥρας, εἶτα θʹ. ἐφ'  
-Z/11/301/1	αἷς ὑπαλείψεσιν ἐλούσατο περὶ δυσμὰς ἡλίου, κἄπειτα κατὰ 
-Z/11/301/2	τὴν ὑστεραίαν ἐκστραφέντων τῶν βλεφάρων, ὑπηλείψατο δὶς 
-Z/11/301/3	ἐπιμιχθέντος τῷ ἁπαλῷ κολλυρίῳ πολὺ πλείονος τοῦ δι' 
-Z/11/301/4	οἴνου, καὶ μετὰ ταῦτα εἰς ἑσπέραν ἐλούσατο. κατὰ δὲ τὴν ἑξῆς 
-Z/11/301/5	ἡμέραν ἕωθεν ἀπαντήσας τῷ πλουσίῳ κατά τι χωρίον 
-Z/11/301/6	ἔνθα τῶν ὀχημάτων ἀποβαίνειν εἰσὶν εἰθισμένοι, προσηγό-
-Z/11/301/7	ρευσεν αὐτῷ, ἀνεωγόσι τε καὶ ἀφλεγμάντοις καὶ ἀρευματί-
-Z/11/301/8	στοις τοῖς ὀφθαλμοῖς, ὁ πρὸ δύο ἡμερῶν οὐδὲ διανοῖξαι τὰ 
-Z/11/301/9	βλέφαρα δυνάμενος ὑπὸ τοῦ ῥεύματός τε καὶ τῆς ὀδύνης. 
-Z/11/301/10	ἔδοξεν οὖν τὸ πρᾶγμα μαγείᾳ τινὶ γεγονέναι παραπλήσιον, 
-Z/11/301/11	ὥστε ἐκεῖνόν τε αὐτὸν ἀνακραγεῖν θαυμάζοντά τε τὸ τά-
-Z/11/301/12	χος τῆς θεραπείας, ἅπαντάς τε τοὺς μετ' αὐτοῦ παραπλη-
-Z/11/301/13	σίως βοᾷν, οὐχ ἡμῶν μέγα τι ποιησάντων, ἀλλ' ἐκ τῆς 
-Z/11/301/14	πρὸς τὸν οἰκεῖον ἰατρὸν αὐτοῦ παραβολῆς μέγιστα κακὰ 
-Z/11/301/15	ὁρῶντα διὰ τὸ τῆς φλεβοτομίας δέος. ἔχρῃζε μὲν γὰρ ὁ 
-Z/11/301/16	κάμνων ἀποσμηχθῆναι τὰς ἐκ τῶν βλεφάρων δασύτητάς τε 
-Z/11/301/17	καὶ τραχύτητας, ἀδύνατον δ' ἦν τοῦτο γενέσθαι χω-
-Z/11/301/18	ρὶς φαρμάκου δάκνοντος. οὐδὲν δ' ἐδύνατο φέρειν τοιοῦτον  
-Z/11/302/1	ἄνευ τοῦ προκενωθῆναι. λέλεκται γὰρ ἤδη καὶ δέδεικται 
-Z/11/302/2	πολλάκις ἡμῖν ὡς ἅπαντα τὰ δριμέα φάρμακα προσφερό-
-Z/11/302/3	μενα μορίοις τισὶν, ἐὰν μὴ κενὸν ᾖ τὸ σῶμα πᾶν καὶ 
-Z/11/302/4	ἀκριβῶς ἀπέριττον, ἐπισπᾶται ῥεῦμα καὶ φλεγμονὴν ἐργά-
-Z/11/302/5	ζεται. τότε δ' ὁ πλούσιος ἐπυνθάνετο τίς ἡ οὖν μαγεία 
-Z/11/302/6	τῆς θεραπείας ἐγίνετο, καὶ πάντ' ἀκούσας τὰ πραχθέντα, 
-Z/11/302/7	ἀπ' ἐκείνου τὸν Ἐρασιστράτειον ἰατρὸν αἱμοφόβον ὠνόμα-
-Z/11/302/8	ζεν. αὕτη μὲν οὖν ἡ διήγησις ἀμφοῖν ἔνδειξιν ἔχει, τοῦ τε 
-Z/11/302/9	χρῆναι φλεβοτομεῖν τὰς τοιαύτας διαθέσεις, ὅπερ οὐκ ἦν ἡμῖν 
-Z/11/302/10	προκείμενον ἐν τῷ παρόντι λόγῳ, τοῦ τε φλεβοτομεῖν χρῆναι 
-Z/11/302/11	κατ' εὐθὺ τῶν πασχόντων μορίων καὶ τὰς ὠμιαίας ἐντέμνειν 
-Z/11/302/12	φλέβας ἐπὶ τῶν ἀνωτέρων μερῶν τοῦ θώρακος πασχόντων. 
-Z/11/302/13	  Ὥσπερ δὲ τὰ προειρημένα πάντα μόρια 
-Z/11/302/14	ταῖς κατ' ἀγκῶνα φλεβοτομίαις, ὡς εἴρηται, γιγνομέναις 
-Z/11/302/15	ὠφελεῖται, κατὰ τὸν αὐτὸν τρόπον ὅσα κατωτέρω τούτων 
-Z/11/302/16	ἐστὶ ταῖς ἐπ' ἰγνύων τε καὶ σφυρῶν. ἔστι δὲ τῶν προειρη-
-Z/11/302/17	μένων κατωτέρω τὰ κατ' ἰσχίον τε καὶ κύστιν καὶ μήτραν. 
-Z/11/302/18	νεφροὶ δὲ ἐπαμφοτερίζουσι κάτω μὲν ὄντες ἤδη τῶν πρό- 
-Z/11/303/1	τερον εἰρημένων, ἄνω δὲ τῶν δεύτερον, διὸ καὶ ταῖς ἐπ' ἀγκῶ-
-Z/11/303/2	νος ἐνίοτε φλεβοτομίας ὑπακούουσιν, ὅταν ἥ τε φλεγμονὴ 
-Z/11/303/3	πρόσφατος εἴη καὶ πλῆθος αἵματος. ἐφ' ὧν δ' ἡ διάθεσίς 
-Z/11/303/4	ἐστιν ἣν ἰδίως καλοῦσι νεφρῖτιν, τὴν κατ' ἰγνύαν ἐπὶ τούτου 
-Z/11/303/5	χρὴ τέμνειν, ἢ πάντως γε τὰς κατὰ σφυρὰ φλέβας. αἱ δὲ τῆς 
-Z/11/303/6	μήτρας φλεγμοναὶ μᾶλλον ἔτι νεφρῶν ὑπὸ τῶν ἐν τοῖς σκέ-
-Z/11/303/7	λεσι φλεβῶν τεμνομένων ὠφελοῦνται. ταῖς γὰρ ἐπ' ἀγκῶνος 
-Z/11/303/8	κενώσεσι καὶ ἄλλο τι πρόσεστι μοχθηρόν. ἐπέχουσι γὰρ ἐμμή-
-Z/11/303/9	νους καθάρσεις, ἀντισπῶσαι τὸ αἷμα πρὸς τὰ τοῦ σώματος 
-Z/11/303/10	ὑψηλότερα. ταῖς δ' ἀπὸ τῶν σκελῶν οὐ μόνον ἀντισπάσαι, 
-Z/11/303/11	ἀλλὰ καὶ προτρέπειν ὑπάρχει τὰ καταμήνια. καὶ ὅταν γε 
-Z/11/303/12	τοῦτο πρᾶξαι βουληθῇς κατὰ τὸν καιρὸν τῆς εἰωθυίας τῇ 
-Z/11/303/13	γυναικὶ περιόδου, προλαβὼν ἡμέρας ὡσεὶ γʹ, ἢ δʹ, ἤτοι φλέβα 
-Z/11/303/14	τεμὼν ἢ ἀποσχάσας τὰ σφυρὰ τοῦ ἑτέρου τῶν σκελῶν ἀπο-
-Z/11/303/15	κένωσον ὀλίγον, εἶτα κατὰ τὴν ὑστεραίαν ὡσαύτως ἀπὸ 
-Z/11/303/16	θατέρου σκέλους, αὖθις ὁμοίως κένωσον ἅμα τῷ καὶ προ-
-Z/11/303/17	νοεῖσθαι τῆς λεπτυνούσης διαίτης, ἐν αὐταῖς ταῖς ἡμέραις, 
-Z/11/303/18	ἐν αἷς οὕτως κενοῖς, καὶ πρὸ αὐτῶν ἄλλαις ἤδη τέσσαρσιν ἢ 
-Z/11/303/19	πέντε. γέγραπται δέ μοι περὶ τῆς λεπτυνούσης διαίτης εἷς  
-Z/11/304/1	κατὰ ἰδίαν λόγος. ἀλλὰ γυναιξὶ καὶ ἄνευ τοιαύτης διαίτης 
-Z/11/304/2	ἱκανὰ προτρέψαι καταμήνια καὶ καλαμίνθην καὶ γλήχωνα. 
-Z/11/304/3	διδόναι δὲ αὐταῖς ἀφεψῶν ἐν μελικράτῳ καὶ ξηρὰ κόπτων 
-Z/11/304/4	καὶ διάττων λεπτῷ κοσκίνῳ καὶ τρίβων γε πάλιν χάριν τοῦ 
-Z/11/304/5	ποιῆσαι χνοῶδες, ἐπιπάττε τῷ μελικράτῳ. καιρὸς δὲ τῆς 
-Z/11/304/6	πόσεως ἄριστός ἐστι μετὰ τὸ βαλανεῖον, περιβεβλημέναις 
-Z/11/304/7	ταῖς σίνδοσι. ταῦτα μὲν οὖν ἐπιεικῆ φάρμακα, σφοδρότερα 
-Z/11/304/8	δὲ βράθυ καὶ δίκταμον. ἡ δὲ χρῆσις ὁμοία τοῖς προειρη-
-Z/11/304/9	μένοις. δίδοται δ' ἐν τούτῳ τῷ καιρῷ καὶ τὸ πικρὸν ἰδίως 
-Z/11/304/10	ὀνομαζόμενον φάρμακον, ὃ τὰς ρʹ ἔχει 𐅻 τῆς ἀλόης 
-Z/11/304/11	μιγνυμένας ταῖς τῶν ἄλλων φαρμάκων ἓξ ἑκάστου. κάλλι-
-Z/11/304/12	στον δ' ἐστὶν ὅταν λάβῃ κινάμωμον. ταῦτα μὲν ἐν 
-Z/11/304/13	παρέργῳ λελέχθω, καίτοι γ' οὐκ ὄντα πάρεργα, διότι τῇ τοῦ 
-Z/11/304/14	αἵματος ἐκ μήτρας φορᾷ συνεργεῖ, μετὰ τῆς ἀπὸ τῶν σκε-
-Z/11/304/15	λῶν κενώσεως, ἤτοι τῶν σφυρῶν ἀμυττομένων ἢ φλεβὸς 
-Z/11/304/16	τεμνομένης παρὰ τὸν ἀστράγαλον ἢ κατ' ἰγνύαν. οἶδα δὲ 
-Z/11/304/17	καὶ ἰσχιάδας ἐν ἡμέρᾳ μιᾷ θεραπευθείσας ὑπὸ τῆς διὰ τῶν 
-Z/11/304/18	σκελῶν κενώσεως, ὅσαι μὴ διὰ ψύξιν, ἀλλὰ πεπληρωμένων  
-Z/11/305/1	αἵματος τῶν κατ' ἰσχίον ἀγγείων ἐγένοντο. διὸ καὶ συμ-
-Z/11/305/2	φορώτερον τῆς ἀπὸ τῶν σφυρῶν φλεβοτομίας ἢ ἀπὸ τῆς 
-Z/11/305/3	ἰγνύας ἐστὶ τοῖς οὕτω διακειμένοις. ἀποχάραξις δ' αὐτοὺς 
-Z/11/305/4	οὐδὲν ὀνίνησι σαφές. 
-Z/11/305/5	  Συνελόντι γε μὴν εἰπεῖν τὰς μὲν ἀρχο-
-Z/11/305/6	μένας φλεγμονὰς ἀντισπαστικῶς χρὴ κενοῦν, τὰς δὲ κεχρο-
-Z/11/305/7	νισμένας ἐξ αὐτῶν, εἰ οἷόν τε, τῶν πεπονθότων· εἰ δὲ μὴ, 
-Z/11/305/8	τῶν ἐγγυτάτω τούτων. ἐπὶ μὲν γὰρ τῶν ἀρχομένων ἀπο-
-Z/11/305/9	στρέψαι χρὴ τὸ ἐπιῤῥέον, ἐπὶ δὲ τῶν κεχρονισμένων αὐτὸ 
-Z/11/305/10	μόνον ἐκκενῶσαι τὸ εὐφηνωμένον ἐν τῷ πεπονθότι μορίῳ. 
-Z/11/305/11	κενωθήσεται δ' ἄριστα τοῦτο διὰ τῶν συνημμένων φλεβῶν 
-Z/11/305/12	τοῖς κατ' αὐτά. τούτῳ τῷ λογισμῷ καὶ ἡ πεῖρα μαρτυρεῖ. 
[0057]  [070]  []  []

-Z/11/305/13	καὶ διὰ ταῦθ' ὅσα κατὰ φάρυγγα καὶ ἀρτηρίαν φλεγμαίνει 
-Z/11/305/14	μεγάλως, ἐν ἀρχῇ μὲν ἡ κατ' ἀγκῶνα, μετ' ἐκείνην δὲ ἡ ἐπ' 
-Z/11/305/15	αὐτῆς τῆς γλώττης βοηθεῖ μεγάλως, ἐντεμνομένων ἀμφοτέ-
-Z/11/305/16	ρων τῶν ἐπ' αὐτῆς φλεβῶν. οὕτω δὲ καὶ τὰ κατὰ τοὺς 
-Z/11/305/17	ὀφθαλμοὺς σκιῤῥώδη λείψανα τῶν φλεγμονῶν ἡ παρὰ τὸν 
-Z/11/305/18	μέγαν κανθὸν φλὲψ ὀνίνησι διαιρουμένη, καθάπερ γε τὰ  
-Z/11/306/1	τῆς κεφαλῆς βάρη καὶ τὰς διὰ πλῆθος ὀδύνας κεχρονικυίας 
-Z/11/306/2	ἐν αὐτῇ κουφίζειν εἴωθε σαφῶς ἡ ἐν τῷ μετώπῳ φλὲψ 
-Z/11/306/3	τμηθεῖσα, τὰς δ' ἀρχομένας τε καὶ τὰς ἀκμαζούσας ἢ ἐπ' 
-Z/11/306/4	ἰνίου ἀντίσπασις διὰ σικύας, ἐνίοτε μὲν αὐτῆς μόνης, 
-Z/11/306/5	ἐνίοτε δὲ καὶ μετὰ ἀμυχῶν γιγνομένης. προκεκενῶσθαι δὲ 
-Z/11/306/6	χρὴ τὸ σύμπαν σῶμα. κατὰ δὲ τὸν αὐτὸν λόγον ὄπισθεν 
-Z/11/306/7	τῆς κεφαλῆς ὀδύνας ἀρχομένας καὶ ἀκμαζούσας ἡ ἐν με-
-Z/11/306/8	τώπῳ φλὲψ ὠφελεῖ διαιρουμένη. τὰς μὲν γὰρ ἀντισπάσεις 
-Z/11/306/9	ἅμα τῇ κενώσει ποιεῖσθαι χρὴ μᾶλλον ἐπὶ τῶν ἀρχομένων 
-Z/11/306/10	ῥευμάτων. τὰς δὲ ἀπ' αὐτῶν τῶν πεπονθότων μορίων ἢ 
-Z/11/306/11	τῶν πλησίον αὐτοῖς, ἐπὶ τῶν οἷον ἐσκιῤῥωμένων φλεγμο-
-Z/11/306/12	νῶν. ἐφ' ὧν δὲ σωμάτων οὐδὲν πάσχει μόριον οὐδέπω, 
-Z/11/306/13	φθάνομεν δὲ κενοῦν ἦρος εἰσβάλλοντος, ἐπὶ τούτων ἐπὶ 
-Z/11/306/14	μὲν εἰθισμένου τοῦ ἀνθρώπου νοσήμασιν ἁλίσκεσθαι πυρε-
-Z/11/306/15	τώδεσιν ὥρᾳ θέρους ἐκκενῶσαι τὴν χορηγίαν αὐτῶν ἐφιέ-
-Z/11/306/16	μεθα, πᾶν μέρος εἰς ἀφαίρεσιν αἵματος ὁμότιμον ἐστίν· 
-Z/11/306/17	ὥσπερ γε καὶ εἰ ἀρθριτικὸς εἴη πᾶσι τοῖς ἄρθροις πεπον- 
-Z/11/307/1	θώς. οἷς δέ τι μέρος ἐξαιρέτως ἐνοχλεῖται μὴ προκενωθεῖ-
-Z/11/307/2	σιν, οὐ χρὴ ποιεῖσθαι τὴν κένωσιν ὁμότιμον ἐξ ἁπάντων, 
-Z/11/307/3	ἀλλ' ὡς ἐπὶ τῶν ἀρχομένων ἤδη πάσχειν. διὸ τοὺς μὲν 
-Z/11/307/4	ποδαγρικοὺς ἐπ' ἀγκῶνος χρὴ κενοῦν, ἐπιληπτικοὺς δὲ καὶ 
-Z/11/307/5	σκοτωματικοὺς ἀπὸ τῶν σκελῶν μᾶλλον. εἰ δὲ δι' αἱμοῤ-
-Z/11/307/6	ῥοΐδος ἐπίσχεσιν ἐπὶ φλεβοτομίαν ἥκοις, εἰ μὲν ἐπέχειν 
-Z/11/307/7	αὐτὴν βούλοιο, τὰς ἐν ταῖς χερσὶν, εἰ δὲ προτρέψαι, τὰς 
-Z/11/307/8	ἐν τοῖς σκέλεσι χρὴ τέμνειν φλέβας. ἀλλ' ἐπί γε τῶν ἐπε-
-Z/11/307/9	σχημένων καταμήνια, τὰς ἐν σκέλει διαπαντός. οὐ 
-Z/11/307/10	γὰρ ὥσπερ ἐπὶ τῶν αἱμοῤῥοΐδων, ἔνιοι μὲν ἀπηλλάχθαι 
-Z/11/307/11	τῆς τοιαύτης κενώσεως ἐθέλουσιν, ἔνιοι δὲ ἔχειν ἀγαπῶσιν, 
-Z/11/307/12	οὕτω κᾀπὶ τῆς ἐμμήνου καθάρσεως. ἡ μὲν γὰρ ἐκ τῶν 
-Z/11/307/13	αἱμοῤῥοΐδων κένωσις ὕποπτός ἐστιν ἀμετρίαν τοσαύτην 
-Z/11/307/14	ἐλθεῖν, ὡς ἤτοι παραχρῆμα τὸν ἄνθρωπον ἀνελεῖν, ἢ ὑδε-
-Z/11/307/15	ρώδη γε πάντως, ἢ καχεκτικὸν ἀπεργάσασθαι. ταῖς δ' 
-Z/11/307/16	ἐκ τῶν μητρῶν κενώσεσιν ὡς ἂν κατὰ φύσιν οὔσαις 
-Z/11/307/17	οὐδὲν τοιοῦτον συμπίπτει. συμβαίνει μέντοι ἐνίοτε καὶ 
-Z/11/307/18	τὰς μήτρας ἐξ ἀναβρώσεως αἱμοῤῥαγεῖν, ἐφ' ὧν οὐκέθ' ὁ  
-Z/11/308/1	αὐτὸς σκοπὸς τῆς θεραπείας ἐστίν. οὐ γὰρ φέρεσθαι τὸ 
-Z/11/308/2	αἷμα καθάπερ ἐκ τῶν καταμηνίων, ἀλλὰ παντάπασι στῆ-
-Z/11/308/3	ναι βουλόμεθα. κοινὸς οὖν ἐπὶ τούτων ἁπάντων ἦρος 
-Z/11/308/4	εἰσβάλλοντος ἐπὶ φλεβοτομίαν ἡκόντων ὅδε ὁ λόγος ἐστὶν, 
-Z/11/308/5	εἰ μὲν ἐξαιρέτως ἀσθενές τι μόριον ἔχοιεν, ἐφ' ὃ τὸ 
-Z/11/308/6	ἀθροιζόμενον πλῆθος διήκει, ἀντισπαστικῶς κενοῦν. εἰ δὲ 
-Z/11/308/7	μηδὲν εἴη τοιοῦτον, ὅθεν ἂν ἑκάστῳ φίλον ᾖ, πλὴν τῶν 
-Z/11/308/8	δι' αἱμοῤῥοΐδος ἐπίσχεσιν ἢ καταμηνίων, ὡς ὀλίγον ἔμπρο-
-Z/11/308/9	σθεν διώρισται. 
-Z/11/308/10	  Εἴρηται μὲν οὖν δυνάμει καὶ περὶ τού-
-Z/11/308/11	του διὰ τῶν ἔμπροσθεν, ἄμεινον δὲ καὶ νῦν ἅπαντα διελ-
-Z/11/308/12	θεῖν, ἀθροίζοντα μὲν εἰς ἕνα λόγον τοῦτον ὅσα πρόσθεν 
-Z/11/308/13	εἴρηται, προσεπιδιορίζοντα δὲ τὰ μὴ διωρισμένα. καθόλου 
-Z/11/308/14	μὲν οὖν τοῦτο γνωστέον, ὡς οὐ χρὴ προσέχειν ἡμερῶν 
-Z/11/308/15	ἀριθμὸν πρῶτον ἐπὶ φλεβοτομίας, ὥσπέρ τινες ἔγραψαν 
-Z/11/308/16	καὶ ἔνιοι μὲν πάνυ γελοίως μετὰ τὸν τῆς τρίτης παροξυ-
-Z/11/308/17	σμὸν, ὁπόταν, ὡς φασὶν, ἤδη τινὰ διάγνωσιν ἔχωμεν ὁποία 
-Z/11/308/18	τίς ἐστι κατά τε τὴν ἰδέαν καὶ τὸ ἦθος, ὅλην τε τὴν  
-Z/11/309/1	ἑαυτῆς φύσιν ἡ νόσος· ἔνιοι δὲ τὸν μὲν ἐξοχώτατον ὅρον 
-Z/11/309/2	τῆς φλεβοτομίας ὥρισαν εἶναι τὴν τετάρτην ἡμέραν, ἐντὸς 
-Z/11/309/3	δὲ αὐτῆς συγχωροῦσι φλεβοτομεῖν ἐν τοῖς τῶν παροξυσμῶν 
-Z/11/309/4	διαλείμμασι, ὁπότε ἐθελήσαιεν· ἔνιοι δὲ σπεύδουσιν ἀφαιρεῖν 
-Z/11/309/5	ἐφ' ὧν ἂν ὁρίσωσιν αἵματος ἀφαιρέσεως εἶναι χρείαν, ἔτι 
-Z/11/309/6	μεταῤῥέοντος αὐτοῦ, καὶ μηδέπω κατεχομένου βεβαίως ἔν 
-Z/11/309/7	τινι μέρει δεξαμένῳ τὴν περιουσίαν ἓν μόνον ἐπισκοποῦν-
-Z/11/309/8	τες, εἰ μὴ διαφθορά τις εἴη γεγονυῖα τῆς ἐν τῇ γαστρὶ 
-Z/11/309/9	πεπτομένης τροφῆς, ἢ βραδυπεψία τις, ἢ καὶ σιτία περιεχό-
-Z/11/309/10	μενα κατ' αὐτήν. ὅτι μὲν οὖν σπεύδειν προσήκει ἐφ' ὧν 
-Z/11/309/11	ἐστι χρεία κενώσεως, εἰ μή που προπεφθῆναι δέον τὰ σιτία 
-Z/11/309/12	καὶ τοὺς κατὰ τὰς πρώτας φλέβας ἡμιπέπτους χυμοὺς, 
-Z/11/309/13	κάλλιστα λέγουσι καὶ πιστέον αὐτοῖς. ἀλλ' ἐπεὶ πολλάκις 
-Z/11/309/14	ἡμέρας πέντε ἤδη ἢ ἓξ ἄγοντός τινος ἀπὸ τῆς ἀρχῆς ἐπὶ 
-Z/11/309/15	τὴν θεραπείαν αὐτοῦ καλούμεθα, καλῶς ἂν ἔχοι φλεβοτο-
-Z/11/309/16	μεῖν, εἰ καὶ παρελείφθη τοῦ βοηθήματος ὁ πρῶτος καιρός. 
-Z/11/309/17	ἐν ᾗ γὰρ ἂν ἡμέρᾳ τοὺς σκοποὺς τῆς φλεβοτομίας ἐπὶ  
-Z/11/310/1	τοῦ κάμνοντος εὑρίσκῃς, ἐν ἐκείνῃ πράξεις τὸ βοήθημα, κᾂν 
-Z/11/310/2	εἰκοστὴν ἡμέραν ἀπὸ τῆς ἀρχῆς ἔτυχεν εἶναι. τίνες δ' ἦσαν 
-Z/11/310/3	οἱ σκοποί; μέγα τὸ νοσήμα, ῥώμη τῆς δυνάμεως ὑπεξῃ-
-Z/11/310/4	ρημένης τῆς ἡλικίας παιδικῆς καὶ τοῦ περιέχοντος ἡμᾶς 
-Z/11/310/5	ἀέρος ἱκανῶς θερμοῦ. ἐπεὶ δὲ προκαταλύεται τοῦ χρόνου 
-Z/11/310/6	προϊόντος ἡ δύναμις ἐν τοῖς πλείστοις νοσήμασι, διὰ τοῦθ' 
-Z/11/310/7	ὁ τῆς φλεβοτομίας καιρὸς ἀναιρεῖται τὸ πλῆθος τῶν ἡμε-
-Z/11/310/8	ρῶν, οὐ πρῶτος τοῦτ' ἐργαζομένου, ἀλλὰ διὰ μέσου, 
-Z/11/310/9	πρὶν καταλυθῆναι τὴν δύναμιν. ὥστ' εἰ κατὰ τὴν δευτέ-
-Z/11/310/10	ραν ἡμέραν μετὰ τὴν ἀρχὴν φαίνεται καταλυομένη ποθ' 
-Z/11/310/11	ἡ δύναμις, ἀφεξώμεθα τῆς φλεβοτομίας. 
-Z/11/310/12	  Ὅτι δ' ἐν αὐτῇ πάλιν ἐκείνῃ τῇ ἡμέρᾳ, 
-Z/11/310/13	καθ' ἣν φλεβοτομοῦμεν, ἐπιτηρῆσαι χρὴ τὴν παρακμὴν τοῦ 
-Z/11/310/14	πυρετοῦ, πρόδηλον εἶναι νομίζω. καίτοι γ' ἐνίοις ἐστὶν 
-Z/11/310/15	οὐδὲ τοῦτο πρόδηλον, ὅσοι κελεύουσιν ἕωθεν μόνον φλεβο-
-Z/11/310/16	τομεῖν, ἢ τὸ μακρότατον ἄχρι πέντε ἢ ἓξ ὠρῶν. ἀλλ' εἰ 
-Z/11/310/17	τῶν ἔμπροσθεν εἰρημένων ἐν ὅλῳ τῷ γράμματι μνημονεύει  
-Z/11/311/1	τις, οὐδὲν τοιούτων σφαλήσεται φλεβοτομῶν ἐν ἁπάσῃ μὲν 
-Z/11/311/2	ἡμέρας ὥρᾳ, πάσης δὲ νυκτὸς, σκοπὸν ἔχων ἐπὶ μὲν τῶν 
-Z/11/311/3	πυρεττόντων τὴν παρακμὴν τῶν κατὰ μέρος παροξυσμῶν, 
-Z/11/311/4	ἐπὶ δὲ τῶν ἤτοι δι' ὀφθαλμίαν ἢ δι' ἄλλο τι τοιοῦτον 
-Z/11/311/5	δεομένων τοῦ βοηθήματος χωρὶς πυρετοῦ, οὐ τὴν παρα-
-Z/11/311/6	κμὴν, οὐκ ὄντος γε ὅλως τοῦ πυρετοῦ, τὸ μέγεθος δ' 
-Z/11/311/7	αὐτῆς τῆς ὀδύνης ἢ φλεγμονῆς ἢ ὅλης τῆς διαθέσεως, ἐν 
-Z/11/311/8	ᾗ τῆς φλεβοτομίας ἐστὶ χρεία. μηδενὸς δὲ τοιούτου κατε-
-Z/11/311/9	πείγοντος ἢ κωλύοντος ἄμεινόν ἐστιν ἔωθεν φλεβοτομεῖν, 
-Z/11/311/10	οὐκ εὐθέως ἅμα τῷ τῶν ὕπνων ἐξαναστῆναι, προγρηγορή-
-Z/11/311/11	σαντες δὲ χρόνον ὡς ὥρας μιᾶς, εἴρηται δὲ ὅτι καὶ λούειν 
