
[0057]  [079]  []  []

-Z/14/210/t1	{ΓΑΛΗΝΟΥ ΠΡΟΣ ΠΙΣΩΝΑ ΠΕΡΙ 
-Z/14/222/11	οὕτω σκευάζομεν τὰ σύνθετα τῶν φαρμάκων ἑκάστῳ τῶν 
-Z/14/222/12	νοσημάτων, τὸ συμφέρον διὰ τῆς ποικίλης αὐτῶν σκευασίας 
-Z/14/222/13	ποιούμενοι, καὶ πρὸς ἕκαστον τῶν ἀνθρώπων, ὅπως αὐτῷ 
-Z/14/222/14	κατεσκεύασται τὸ σῶμα, διὰ τοῦ τρόπου τῆς φαρμακείας 
-Z/14/222/15	ἐντέχνως ἁρμοσάμενοι· πολλὴ γὰρ ἐστὶν, ὡς οὐκ ἀγνοεῖς, 
-Z/14/222/16	παροῦσα ἡμῖν εἰς τὴν χρῆσιν ἡ τῶν φαρμάκων περιουσία, 
-Z/14/222/17	καὶ οὕτως διάφορος, ὡς μὴ μόνον αὐτῆς ἐν τῇ συνθέσει τὸ 
-Z/14/222/18	ποικίλον τῆς δυνάμεως ὁρᾶσθαι δύνασθαι, ἀλλὰ καὶ τῶν  
-Z/14/223/1	ἁπλῶν φαρμάκων, τὰ μὲν ἐξ ὅλης αὐτῶν τῆς οὐσίας, μίαν 
-Z/14/223/2	τινὰ καὶ ἁπλῆν ἐπιδείκνυται τὴν δύναμιν, ὥσπερ ἡ σκαμ-
-Z/14/223/3	μωνία ξανθὴν χολὴν ἕλκουσα φαίνεται. τὸ δὲ ἀπὸ τῆς Ἀτ-
-Z/14/223/4	τικῆς ἐπίθυμον, τὸν τῆς μελαίνης χυμὸν διὰ τῆς κοιλίας 
-Z/14/223/5	καθαῖρον ὁρᾶται, καὶ ὁ κνίδιος κόκκος τοῦ φλέγματος, καὶ 
-Z/14/223/6	παντὸς τοῦ ὑδατώδους περιφανῶς ἄγωγός ἐστι. ταῦτα γὰρ 
-Z/14/223/7	τὰ φάρμακα ἐκ παντὸς αὐτῶν τοῦ μέρους καὶ ἐξ ὅλης 
-Z/14/223/8	ἑαυτῶν τῆς οὐσίας τὴν ὁλκὴν τῶν χυμῶν τούτων ποιεῖσθαι 
-Z/14/223/9	φαίνεται. μὴ γὰρ πιστεύομεν Ἀσκληπιάδῃ τῷ ἀπὸ τῆς 
-Z/14/223/10	Βιθυνίας ἰατρῷ, παρὰ τὸν καιρὸν ἐκεῖνον λέγοντι, ὅτε ἤδη 
-Z/14/223/11	καὶ ὁ ἄνθρωπος καθαίρεται, τότε καὶ τοὺς χυμοὺς τού-
-Z/14/223/12	τους εὐθέως κατά τινα μεταβολὴν γίγνεσθαι· διὰ τὴν γὰρ 
-Z/14/223/13	τῶν ὄγκων τε καὶ πόρων ἐξ ἀρχῆς αὐτῷ γενομένην τοῦ 
-Z/14/223/14	σώματος ὑπόθεσιν, τούτῳ ἀνάγκην ἔχοντι τῆς φύσεως ἀναι-
-Z/14/223/15	ρεῖν τὰ ἔργα, ἀκόλουθον ἦν καὶ τοῦτον περὶ τῶν χυμῶν 
-Z/14/223/16	λέγειν τὸν λόγον, ὡς ἀλόγου καὶ παντάπασιν ἀδυνάτου 
-Z/14/223/17	ὄντος τοῦ ὑπ' αὐτοῦ λεγομένου. τίς γὰρ ἂν πιστεύσειε νοῦν 
-Z/14/223/18	ἔχων ἐν τοσούτῳ τάχει ἅμα τῷ προσάγειν τοῦ σώματος  
-Z/14/224/1	τὸ φάρμακον εὐθέως καὶ τοῦ μέλλοντος ἐκκρίνεσθαι χυμοῦ 
-Z/14/224/2	γίγνεσθαι τὴν οὐσίαν; τίς δ' οὐκ ἂν πεισθείη ῥᾳδίως τοὺς 
-Z/14/224/3	χυμοὺς τούτους, καὶ πρότερον κατὰ φύσιν εἶναι τοῖς σώ-
-Z/14/224/4	μασιν, ὁρῶν τὸν μὲν ἰκτεριῶντα παρὰ τὸν καιρὸν τοῦ λα-
-Z/14/224/5	βεῖν τὸ χολαγωγὸν φάρμακον, ταχέως τε καθαιρόμενον τὴν 
-Z/14/224/6	τοσαύτην χολὴν, καὶ τοῦ πάθους εὐκόλως ἀπαλλασσόμενον; 
-Z/14/224/7	τὸν δὲ ὑδεριῶντα οὐδαμῶς τινι φαρμάκῳ, πᾶν τὸ ἐγκείμε-
-Z/14/224/8	νον ὕδωρ τῇ γαστρὶ, ἅμα τῷ λαβεῖν αὐτίκα μάλα κενούμε-
-Z/14/224/9	νον, καὶ ἐκ τῆς τοσαύτης παραχρῆμα κενώσεως, μηδ' ὁτιοῦν, 
-Z/14/224/10	ἢ ὀλίγιστόν γε πάνυ τὸ ὑγρὸν ἐγκείμενον τοῖς σώμασιν ἔχον-
-Z/14/224/11	τα. ἀλλὰ ταῦτα ὁ μὲν Ἀσκληπιάδης παιδαριωδῶς τῇ ἀνάγ-
-Z/14/224/12	κῃ τοῦ δόγματος δουλεύων, ὡς ἔφην, διὰ τὸ φιλόδοξον, 
-Z/14/224/13	οὐ προσποιεῖται βλέπειν, καὶ πάντα μᾶλλον πιθανῶς πλατ-
-Z/14/224/14	τόμενος εὑρίσκειν βούλεται, ἤπερ ἑκάστου τῶν φαρμάκων 
-Z/14/224/15	τὸ οἰκεῖον τῆς δυνάμεως φιλαλήθως ὁμολογεῖν. ἡμεῖς 
-Z/14/224/16	δὲ ταῦθ' ὁρῶντες, καὶ τῷ λόγῳ τῆς ἑκάστου φύσεως τῶν 
[0057]  [079]  []  []

-Z/14/224/17	φαρμάκων, τὸ οἰκεῖον τῆς δυνάμεως φιλαλήθως ὁμολογεῖν 
-Z/14/224/18	τὸ δυνατὸν εἰδότες, κᾀνταῦθ' ὅτι φάρμακα φυσικῇ τινι  
-Z/14/225/1	δυνάμει ἕλκειν τὰ οἰκεῖα πέφυκεν ἀκριβῶς ἐπιστάμεθα, 
-Z/14/225/2	ὥσπερ καὶ ἐν τῷ τὴν Μαγνῆτιν λίθον ἕλκειν τὸν σίδηρον 
-Z/14/225/3	εἰς ἑαυτὴν, δύναμίν τινα ἑλκτικὴν εἶναι αὐτῇ, τὴν ἔμφυτον 
-Z/14/225/4	δύναμιν εὐλόγως ἑαυτοὺς ἐπείσαμεν. θεὸς γὰρ οὖσα ὥσπερ 
-Z/14/225/5	ἡ ἐν ἡμῖν φύσις, κατὰ τὸν Ὅμηρον, καὶ ἄγουσα τὰ ὅμοια 
-Z/14/225/6	πρὸς τὰ ὅμοια, οὕτω τὰς θείας δυνάμεις ἑαυτῆς ἐπι-
-Z/14/225/7	δείκνυται. 
-Z/14/225/8	  [Τὰ ἁπλᾶ τῶν φαρμάκων συν-
-Z/14/225/9	θέτους ὡς ἐπὶ τὸ πολὺ ἔχειν δυνάμεις καὶ διάφορα τοῦ 
-Z/14/225/10	σώματος μόρια βλάπτειν τε καὶ ὠφελεῖν, καὶ διαφόροις διά-
-Z/14/225/11	φορα προσήκειν.] Καὶ τῶν ἄλλων δὲ ἁπάντων τὴν φύσιν 
-Z/14/225/12	φιλοτίμως ἐξετάζομεν, ἵνα καὶ τὴν δύναμιν αὐτῶν καθ' ἣν 
-Z/14/225/13	ἐνεργεῖ ἀκριβῶς μάθωμεν. εὑρίσκομεν γοῦν ἐν τῇ ἐξετά-
-Z/14/225/14	σει αὐτῶν γενόμενοι τὰ μὲν, ὡς ἔφην, καθ' ὅλας ἑαυτῶν 
-Z/14/225/15	ἐνεργοῦντα τὰς οὐσίας, τὰ δὲ καὶ μικτὸν ἐν τῇ οὐσίᾳ τὴν 
-Z/14/225/16	δύναμιν ἔχοντα καὶ διπλῆν ἀποτελοῦντα τὴν ἐνέργειαν 
-Z/14/225/17	οὕτω φανερῶς πολλάκις, ὡς καὶ τὰ ἐναντιώτατα ὑπ' αὐτῶν 
-Z/14/225/18	ἐπὶ τοῦ σώματος γιγνόμενα ἡμᾶς βλέπειν, καὶ θαῦμα τοῖς  
-Z/14/226/1	ὀρῶσι τὸ τοιοῦτον εἶναι δοκεῖν. λαπάθου γοῦν εἴ τις μὲν 
-Z/14/226/2	τὰ φύλλα φάγοι, τὴν κοιλίαν ἐκταράσσεται· εἰ δέ τις τὸ 
-Z/14/226/3	σπέρμα λάβοι, ἐπεχομένην αὐτὴν ἔχει. ὁμοίως δ' οὖν καὶ 
-Z/14/226/4	ὁ τῆς κράμβης χυλὸς καὶ τῶν γερόντων ἀλεκτρυόνων ὁ ζω-
-Z/14/226/5	μὸς καὶ τῶν ἀπὸ τῆς θαλάττης κοχλιῶν οἱ χυμοὶ ληφθέν-
-Z/14/226/6	τες ἐκταράσσουσι τὴν κοιλίαν. τὸ δὲ λάχονον αὐτὸ ἡ 
-Z/14/226/7	κράμβη, καὶ τούτων αἱ σάρκες ἐσθιόμεναι, ἐπέχουσιν αὐ-
-Z/14/226/8	τάς. ἡ δὲ ἀλόη καὶ ἡ τοῦ χαλκοῦ λεπὶς στύφει τε τὰς 
-Z/14/226/9	ὑπὸ τῶν ἑλκῶν ὑπεραυξανομένας σάρκας, καὶ ἐπιξηραίνει 
-Z/14/226/10	πολλάκις τὰ ὑπ' αὐτοῖς γιγνόμενα ῥεύματα, ληφθέντα δὲ 
-Z/14/226/11	διὰ τοῦ στόματος καθαρτικὰ τοῦ ὅλου σώματος γίνονται 
-Z/14/226/12	τὸ δὲ γάλα διαιρούμενον ὑφ' ἡμῶν ἐναντίας ἐν τῇ χρείᾳ 
-Z/14/226/13	δυνάμεις ἐπιδείκνυται. ὁ μὲν γὰρ ὀῤῥὸς αὐτοῦ πινόμενος 
-Z/14/226/14	ἐκλύει τὴν γαστέρα, ἐσθιόμενος δὲ ὁ τυρὸς ἐπέχει αὐτὴν 
-Z/14/226/15	ἀκριβῶς. ἔνια δὲ οὕτως τι παράδοξον ἐργάζεται ἐν τῇ μί-
-Z/14/226/16	ξει τῶν ἐν αὐτῇ μιγνυμένων δυνάμεων, ὡς καὶ ἀδύνατον 
-Z/14/226/17	εἶναι γενέσθαι τοῖς ἀκούουσι δοκεῖν, εἰ μὴ τὴν παρὰ τὴν 
-Z/14/226/18	γινομένην διὰ τῆς ὄψεως πίστιν παρὰ τοῦ γινομένου λά-
-Z/14/226/19	βωσι. τὸ γοῦν τρίφυλλον ἡ βοτάνη, ἥτις ὑακίνθῳ ὡμοίω- 
-Z/14/227/1	ται, ὁπόταν τοῦ ἔαρος ἐγκύμων γένηται, καὶ τὸ σπέρμα 
-Z/14/227/2	ὅμοιον ἔχῃ τῇ ἀγρίᾳ κνίκῳ, ὅταν τις ἀφεψήσῃ πάνυ, εἶτα 
-Z/14/227/3	τῷ δήγματι τοῦ φαλαγγίου ἢ καὶ τοῦ ἔχεως τῷ ὕδατι 
-Z/14/227/4	ἐπαντλήσει, ἰᾶται αὐτὸ καὶ εὐθέως ἀνώδυνον ἐργάζεται. εἰ 
-Z/14/227/5	δέ τις ἐπ' ἄλλου μὴ δεδηγμένου τὸν ὑγιῆ τόπον τῷ αὐτῷ 
-Z/14/227/6	ἐπαντλήσει καταντλήματι, τὴν αὐτὴν αἴσθησιν καὶ τὰς 
-Z/14/227/7	αὐτὰς ὀδύνας ὁμοίας τῷ δεδηγμένῳ πάσας ἀποτελεῖ, ὡς 
-Z/14/227/8	εἶναι τὸ γινόμενον ἀληθῶς θαύματος ἄξιον, τὴν αὐτὴν βο-
-Z/14/227/9	τάνην καὶ ἰᾶσθαι τὸ δῆγμα καὶ ὁμοίως τοῖς θηρίοις δια-
-Z/14/227/10	τιθέναι τὸν ὑγιῆ τόπον πονηρῶς. τινὰ δὲ τῶν φαρμάκων 
-Z/14/227/11	τὴν ἀρχὴν οὐδὲ ὅλως ἐστὶ τοῖς ἀνθρώποις σύντροφα. τὸ 
-Z/14/227/12	γοῦν κώνειον τοὺς μὲν ψάρους τρέφει καὶ τὴν θανατικὴν 
-Z/14/227/13	δύναμιν ἐπ' αὐτῶν οὐκ ἔχει, ἡμᾶς δὲ, ὡς οὐκ ἀγνοεῖς, 
-Z/14/227/14	ἀναιρεῖ. καὶ ὁ ἑλλέβορος τῶν μὲν ὀρτύγων ἐστὶ τροφὴ, τοὺς 
-Z/14/227/15	δὲ ἀνθρώπους διαφθείρει κακῶς. ἔνια δὲ εὑρίσκομεν καὶ 
-Z/14/227/16	μερῶν τινων ἐν τῷ σώματι τὴν κάκωσιν ἰδίως ποιούμενα. 
-Z/14/227/17	ὁ γοῦν θαλάττιος λαγωὸς ἑλκοῖ τὸν πνεύμονα καὶ ἡ καν- 
-Z/14/228/1	θαρὶς ἰδίως τὴν κύστιν κακοῖ. πολλὰ δὲ τῶν φαρμάκων 
-Z/14/228/2	πάλιν ἐξαιρέτως τινὰ τῶν μερῶν τοῦ σώματος ὠφελεῖν πέ-
-Z/14/228/3	φυκε. πάσχον γοῦν τὸ ἧπαρ πολλάκις εὐπατόριος ἡ βο-
-Z/14/228/4	τάνη ἀγωνιστικῶς ὠφέλησε, καὶ ἡ μυροβάλανος τὸν σπλῆνα 
-Z/14/228/5	ὤνησε. τὸ δὲ σαρξιφαγὲς καὶ ἡ βετονίκη τοὺς νεφροὺς 
-Z/14/228/6	διέθηκε καλῶς, καὶ ὁμοίως ἄλλα ἐστὶν ἄλλων, ὡς τῇ πείρᾳ 
-Z/14/228/7	τετηρήκαμεν, οἰκεῖα φάρμακα, ἅπερ ἡμεῖς, ὡς ἔφην, ἀκρι-
-Z/14/228/8	βῶς ἐξετάζοντες οὕτως ἑκάστῳ τῶν παθῶν τὴν κατάλληλον 
-Z/14/228/9	προσφορὰν ποιούμεθα, διδασκάλῳ καὶ τούτων, ὥσπερ καὶ 
-Z/14/228/10	τῶν ἄλλων ἁπάντων, Ἱπποκράτει τῷ ἀρίστῳ χρώμενοι. ὅτι 
-Z/14/228/11	γὰρ ἀκριβεστάτην τὴν περὶ τῶν φαρμάκων τέχνην πεποίη-
-Z/14/228/12	ται καὶ ἐξ ἄλλων πλείστων ὑπ' αὐτοῦ λεγομένων ἔστιν 
-Z/14/228/13	ἰδεῖν, μάλιστα δὲ ἐξ ὧν φησιν ἐν τῷ βʹ τῶν ἐπιδημιῶν 
-Z/14/228/14	οὕτω· φαρμάκων δὲ τρόπους ἴσμεν ἐξ ὧν γεγένη-
-Z/14/228/15	ται ὁκοῖα ἄττα. οὐ γὰρ πάντες ὁμοίως, ἀλλ' ἄλλοι ἄλλως 
-Z/14/228/16	σύγκεινται, καὶ ἄλλα ὅσα πρωϊαίτερον, ἢ ὀψιαίτερον λη-
-Z/14/228/17	φθέντα, καὶ οἱ διαχειρισμοὶ, οἷον ξηρᾶναι, ἢ κόψαι, ἢ 
-Z/14/228/18	ἑψῆσαι, καὶ τὰ τοιαῦτα, ἕως τὰ πλεῖστα μειώσει πλείω  
-Z/14/229/1	καὶ ὁκοῖα ἑκάστῳ καὶ ἐφ' οἷσι νοσήμασι, καὶ ἐφ' ᾗ τε τοῦ νο-
-Z/14/229/2	σήματος ἡλικίᾳ, ἰδέᾳ, καὶ διαίτῃ ὁκοίᾳ, ἢ ὥρῃ ἔτεος, ὁκοίως 
-Z/14/229/3	ἄγωμεν, καὶ τὰ τοιαῦτα. διὰ γὰρ τούτων, ὡς ὁρᾷς, καθολι-
-Z/14/229/4	κώτερον ἡμᾶς διδάσκει, παραινῶν καὶ τὰς φύσεις τῶν φαρ-
-Z/14/229/5	μάκων εἰδέναι, καὶ τὸν καιρὸν ἐξετάζειν, ἐν ᾧ τις τὸ φάρμακον 
-Z/14/229/6	μέλλει λαμβάνειν, καὶ τὰς κράσεις τῶν λαμβανόντων ἐπιβλέ-
-Z/14/229/7	πειν. εἰσὶ γὰρ ὡς ἀληθῶς οἱ μὲν εὐκόλως λαμβάνειν δυνάμε-
-Z/14/229/8	νοι, ὡς καὶ πέπτειν αὐτὰ πολλάκις, ἢ κατὰ μηδὲν ὑπ' αὐτῶν 
-Z/14/229/9	κακοῦσθαι, ἀλλ' ἐνίοτε καὶ τροφὴν αὐτοῖς γίνεσθαι αὐτὸ τὸ 
-Z/14/229/10	φάρμακον. ἔνιοι δὲ ἀφυῶς οὕτως ἔχουσι πρὸς τὰς φαρμακείας 
-Z/14/229/11	ὡς μηδὲ τὴν ἀρχὴν αὐταῖς χρῆσθαι δύνασθαι, ἀποστρέφε-
-Z/14/229/12	σθαί τε αὐτοῖς τὸν στόμαχον καὶ πρὸ τῆς χρήσεως ἐκλύε-
-Z/14/229/13	σθαι ῥᾳδίως. 
-Z/14/229/14	  [Τί ποτ' ἐπήγαγε τοὺς ἰατροὺς πρὸς τὴν 
-Z/14/229/15	σύγκρασιν πολλῶν ἁπλῶν. καὶ τίς ὁ πρῶτος ἐπιβαλὼν τῇ 
-Z/14/229/16	θηριακῇ τὰς ἐχίδνας.] Ταῦτα γοῦν, ὡς ἔγωγε νομίζω, καὶ 
-Z/14/229/17	τῶν παλαιῶν ἰατρῶν οἱ ἄριστοι παρ' αὐτοῦ μαθόντες οὕ-
-Z/14/229/18	τως ἀρίστας καὶ τὰς συνθέσεις ἐποιοῦντο τῶν φαρμάκων,  
-Z/14/230/1	ἐκ τῆς ἑκάστου φύσεως αὐτῶν τὴν τέχνην τῆς συνθέσεως 
-Z/14/230/2	ποιούμενοι, καὶ τὰ μὲν ἐπιτεταμένα ταῖς ποιότησιν αὐταῖς, 
-Z/14/230/3	τῇ τῶν ἄλλων μίξει καθαιροῦντες, ὁμοίως δὲ καὶ ἀμβλύνον-
-Z/14/230/4	τες τὰ δριμέα, καὶ ὅλως πρὸς τὴν ἑκάστου λοιπὸν τῶν πα-
-Z/14/230/5	θῶν διαφορὰν καὶ τῶν ἀνθρώπων τὴν σύγκρισιν ἐντέχνως 
-Z/14/230/6	τοῖς φαρμάκοις χρώμενοι. διόπερ οἶμαι καὶ ταύτην τὴν 
-Z/14/230/7	θηριακὴν, περὶ ἧς ἡμῖν ὁ πᾶς οὗτος λόγος φιλοτίμως τε-
-Z/14/230/8	τεχνολόγηται, ἐκ πλείστων καὶ τῶν καλλίστων φαρμάκων 
-Z/14/230/9	ἐσκεύασαν. λογισάμενοι γὰρ τῶν πονηρῶν θηρίων τὰ δή-
-Z/14/230/10	γματα ὅτι ἐστὶν ἄφυκτα, καὶ τῶν δηλητηρίων φαρμάκων 
-Z/14/230/11	τὰ συμπτώματα ὅτι ἐστὶ θανατικὰ, προσεπιλογισάμενοι δὲ 
-Z/14/230/12	καὶ τὴν τῶν ἀνθρώπων ἐν ταῖς φύσεσι πολλὴν οὖσαν δια-
-Z/14/230/13	φορὰν, καὶ ὅτι ἄλλο φάρμακον ἄλλῳ ἁρμόζειν πέφυκεν, εἰ-
-Z/14/230/14	κότως αὐτῆς ἀκριβῆ τε καὶ ποικίλην ἐποιήσαντο τὴν σκευ-
-Z/14/230/15	ασίαν, ὡς διὰ τοῦτο καὶ ἀπταίστως αὐτὴν ἐπὶ τούτων 
-Z/14/230/16	ἁπάντων τυγχάνειν τοῦ τέλους, καὶ διὰ τὸ ἀναγκαῖον τῆς 
-Z/14/230/17	χρείας, καὶ περισπούδαστον πάνυ τοῖς ἀνθρώποις γενέσθαι. 
-Z/14/230/18	οὐδὲν γὰρ ἐμοὶ τῶν ἐν τῷ βίῳ χαλεπώτερον εἶναι δοκεῖ τῶν  
-Z/14/231/1	δηλητηρίων φαρμάκων καὶ τῶν δακετῶν θηρίων. τὰ μὲν 
