
[0057]  [101]  []  []

-Z/18b/629/t1	{ΤΟ ΙΠΠΟΚΡΑΤΟΥΣ ΚΑΤ' ΙΗΤΡΕΙΟΝ 
-Z/18b/641/18	τὸν καί τινας ἄλλους δὴ τῶν ἀλόγῳ τριβῇ τὴν τέχνην με- 
-Z/18b/642/1	ταχειριζόντων. ὁ κατὰ τὴν προτεραίαν σφαλεὶς ὑπὸ προ-
-Z/18b/642/2	πετείας ἀπερισκέπτως ἀποῃνάμενος, ὡς κατὰ φύσιν ἔχειν 
-Z/18b/642/3	τὸ ἄρθρον. ἀφικνούμενος οὖν ἐπὶ τὸν κάμνοντα καὶ θεα-
-Z/18b/642/4	σάμενος αὐτοῦ δύο φαυλοτέρους ἰατροὺς ἠγανάκτησε μὲν 
-Z/18b/642/5	ὡς ἀτιζόμενος, οὐκ ἐμφήνας δὲ αὐτὸ τοῦτο τῷ κελεύσαντι, 
-Z/18b/642/6	προπετέστερον ἔτι διὰ τὸ καὶ θυμοῦσθαι κατὰ φύσιν ἔχειν 
-Z/18b/642/7	ἀπεφήνατο τὴν διάρθρωσιν, ὁμοίας εὑρίσκων ἀμφοτέρας 
-Z/18b/642/8	τὰς ἐπωμίδας, ὡς ἂν καὶ φλεγμονή τις ἦν προπεφυκυῖα τοῦ 
-Z/18b/642/9	πληγέντος ὤμου. καταντλησάμενον οὖν ὕδατι πολλῷ θερμῷ 
-Z/18b/642/10	τὸν κάμνοντα, παραχεομένου συνεχῶς ἐλαίου δαψιλῶς ἐκέ-
-Z/18b/642/11	λευσεν ἐρίοις αὖθις ἐνειλιχθέντα παραπλησίως ἡσυχάζειν. 
-Z/18b/642/12	ὡς δὲ τούτων γενομένων οὐδὲν ὤνητο, τῇ τρίτῃ τῶν ἡμερῶν 
-Z/18b/642/13	ἐκλήθην κἀγὼ καὶ θεασάμενος τὸν ἀνώδυνον ὦμον κοιλοτέραν 
-Z/18b/642/14	ἔχοντος τὴν ἐπωμίδα τοῦ πεπονθότος, ὡς ἂν ηὐξημένης τῆς 
-Z/18b/642/15	φλεγμονῆς ἐσκόπουν ἐπιμελῶς τὸν δοκοῦντα κατὰ φύσιν ἔχειν 
-Z/18b/642/16	ὦμον. ἐφαίνετο γάρ μοι τὸ κατ' αὐτὸν ἀκρώμιον ἄνω κε-
-Z/18b/642/17	χωρηκέναι. κινηθεὶς οὖν ἐκ τούτου τε καὶ τοῦ μηδὲν ἐκ 
-Z/18b/642/18	τῆς προσηκούσης θεραπείας ὠφελῆσθαι τὸν ἄνθρωπον εἰς  
-Z/18b/643/1	τὴν τοῦ φλεγμαίνοντος ὤμου μασχάλην ἐνθεὶς τοὺς δακτύ-
-Z/18b/643/2	λους, εὗρον ἐν αὐτῇ σχεδὸν τὴν κεφαλὴν τοῦ βραχίονος. 
-Z/18b/643/3	ἀλλ' ὅμως ἀσφαλεστέρας ἕνεκα διαγνώσεως ἐπεσκεψάμην καὶ 
-Z/18b/643/4	τὴν τοῦ ἑτέρου ὤμου μασχάλην, ὡς δὲ οὐδεὶς ὄγκος ἦν ἐν 
-Z/18b/643/5	αὐτῇ τοιοῦτος, ἐξηρθρηκέναι μὲν τὸν βραχίονα ἔφην, τοὺς 
-Z/18b/643/6	ἰατροὺς δὲ ἀγνοῆσαι, διὰ τὸ μὴ γνῶναι κατὰ τὴν ἑτέραν 
-Z/18b/643/7	χεῖρα τὸ ἀκρώμιον ἀποσπασάμενον, ἔπειτα παραβάλλειν ὡς 
-Z/18b/643/8	κατὰ φύσιν ἔχοντα τὸν ὦμον πεπληγμένον. μαθεῖν δὲ ἡμῖν 
-Z/18b/643/9	ἐστιν, ἔφην, πυνθανομένοις τοῦ πάσχοντος, εἰ ἐπλήγη ποτὲ 
-Z/18b/643/10	τὸ ἀκρώμιον τῆς ἑτέρας χειρός. ὁ δὲ ἐν ἀρχῇ μὲν οὐκ εἶχε 
-Z/18b/643/11	λέγειν, ἀναμνησθεὶς δὲ ὕστερον ὡμολόγησεν ἐξ ὀχήματός 
-Z/18b/643/12	ποτε αὐτὸν ἐκπεσόντα πεπλῆχθαί τε καὶ ῥᾳδίως ἄπονον γε-
-Z/18b/643/13	γονέναι τρισὶν ἢ τέτρασιν ἡμέραις, ἔριον μετ' ἐλαίου κατὰ 
-Z/18b/643/14	τῆς πληγῆς ἐπιθέντα. τίνος οὖν ἕνεκα ταῦτα εἴρηταί μοι; 
-Z/18b/643/15	τοῦ δεῖξαι πόσον ἀξιώματι διενήνοχεν ἀλλήλων τὰ σημεῖα, 
-Z/18b/643/16	δι' ὧν ἡ γνῶσις γίγνεται τῶν κατὰ χεῖρα παθῶν. τὸ μὲν 
-Z/18b/643/17	γὰρ μὴ δύνασθαι τὴν πεπονθυῖαν ἀνατεῖναι χεῖρα κοινὰ καὶ 
-Z/18b/643/18	ἄλλων πλειόνων εἰσί. καὶ γὰρ οἱ τένοντες τῶν ἐνταῦθα  
-Z/18b/644/1	μυῶν καὶ αὐτοὶ πολλάκις οἱ μύες σκιῤῥούμενοι καὶ φλεγμαί-
-Z/18b/644/2	νοντες, ἔτι δὲ θλασθέντες ἢ βύθιον ῥῆγμα ἔχοντες ἢ καί 
-Z/18b/644/3	τινων ἰνῶν ἀποῤῥαγεισῶν ἐν αὐτοῖς ἀδύνατοι γίγνονται πρὸς 
-Z/18b/644/4	τὸ μετέωρον ἀναφέρειν τὴν χεῖρα· δι' αὐτὰ δὲ ταῦτα καὶ 
-Z/18b/644/5	ὀδυνῶνται κατὰ τὰς κινήσεις, οὐ μόνον ταύτας, ἀλλὰ καὶ 
-Z/18b/644/6	τὰς ἄλλας τῆς χειρός. ἡ δὲ κατὰ τὴν ἐπωμίδα κοιλότης 
-Z/18b/644/7	κοινὴ καὶ αὐτὴ πρὸς ἐπίσπασμα. ὁ δὲ ἐν μασχάλῃ παρὰ 
-Z/18b/644/8	φύσιν ὄγκος σκληρὸς καὶ ἐπιφερὴς, ἱκανὸν σημεῖον ἐκπεπτω-
-Z/18b/644/9	κότος βραχίονος, ὥστε μόνῳ γε αὐτῷ πιστεύσας οὐκ 
-Z/18b/644/10	ἂν ἁμάρτοι, καὶ μέντοι καὶ ῥᾴστην ἔχει τὴν διάγνωσιν ἐν-
-Z/18b/644/11	ταῦθα καὶ χρὴ μόνον εἰς τὴν μασχάλην τοὺς δακτύλους ἐν-
-Z/18b/644/12	θέντα ψαῦσαι τῆς ἐξοχῆς καὶ φανεῖται σαφῶς ἡ κεφαλὴ 
-Z/18b/644/13	τοῦ βραχίονος ἐνταῦθα. τὰ δὲ τῶν μυῶν πάθη διὰ τὸ 
-Z/18b/644/14	μήτ' ἀνατείνειν δύνασθαι τὸν βραχίονα μήτε ἀνωδύνως 
-Z/18b/644/15	κινεῖν, γεγυμνασμένου τε δεῖται λογισμοῦ καὶ πολλῆς περι-
-Z/18b/644/16	σκέψεως χρῄζει. συνεισέρχεταί γε μὴν καὶ τούτων ἡ γνῶ-
-Z/18b/644/17	σις τοῖς μεγίστην τε δύναμιν ἔχουσι καὶ ῥᾴστοις γνωσθῆναι, 
-Z/18b/644/18	ἐάν τ' ἐμπειρικῶς ἐάν τε λογικῶς μεταχειρίζηταί τις τέχ- 
-Z/18b/645/1	νην. ὅ τε γὰρ ἐμπειρικὸς ἐπισκοπούμενος τὰς ὑπ' αὐτῶν 
-Z/18b/645/2	καλουμένας συνδρομὰς, αἵ τινές εἰσι συμπτωμάτων ἀθροίσ-
-Z/18b/645/3	ματα ὅταν πολλάκις θεάσηται τὰ αὐτὰ καθ' ἕνα καιρὸν 
-Z/18b/645/4	ὁμοίως πάντα μνημονεύει. κἀπειδὰν ἐκ τῆς τηρήσεως ταύ-
-Z/18b/645/5	της πολλῶν συνδρομῶν ἐμπειρίαν ἔχῃ, τηνικαῦτα δ' αἰσθά-
-Z/18b/645/6	νεται, τίνα μὲν ἐν πολλαῖς συνδρομαῖς ἐθεάσατο 
-Z/18b/645/7	συμπτώματα, τίνα δὲ ἐν μιᾷ μόνῃ, καὶ οὕτως εἰς ἔννοιαν 
-Z/18b/645/8	ἔρχεται τῶν κοινῶν τε καὶ ἰδίων, ᾧ πάλιν ἕπεται γνῶσις 
-Z/18b/645/9	τῆς κατὰ δύναμιν διαφορᾶς τῶν σημείων. ὁ μὲν γὰρ ἐν 
-Z/18b/645/10	πολλαῖς ὤφθη συνδρομαῖς ἢ πάσαις πολὺ λείπεται τῶν ἐν 
-Z/18b/645/11	μιᾷ μόνῃ φανέντων, τὸ δὲ ἐν ὀλίγαις ἔλαττον τούτων καὶ 
-Z/18b/645/12	μάλιστα τὸ κατὰ δύο μόνας. ὅμως οὖν ὥσπερ καὶ τῶν 
-Z/18b/645/13	ἰδίων ἐγένετο τηρητικός τε καὶ μνημονευτικὸς ὁ ἐμπειρικὸς 
-Z/18b/645/14	ἰατρὸς, οὕτω καὶ τῶν κοινῶν· καὶ γὰρ ταῦτα πάντη τε 
-Z/18b/645/15	καὶ πάντως ἅμα τοῖς ἰδίοις ἐτήρησεν, ὅσα μὲν ἐκείνοις γι-
[0057]  [101]  []  []

-Z/18b/645/16	γνόμενα. πολὺ δὲ μᾶλλόν τε καὶ θᾶττον ὁ τῷ λόγῳ τῶν 
-Z/18b/645/17	σημείων ἑκάστου πάθους εὕρεσιν ποιησάμενος, ἐν ᾧ τά τε  
-Z/18b/646/1	ἴδια καὶ τὰ κοινὰ, μὴ ὅτι χρόνον πολὺν ἀναμείνας, ὥσπερ 
-Z/18b/646/2	ὁ ἐμπειρικὸς, ἀλλὰ μηδεμίαν ἡμέραν ἢ ὥραν. νοήσας γὰρ 
-Z/18b/646/3	ἐκπεπτωκότα τῆς ἰδίας βραχίονα χώρας καὶ πρὸς τὴν μα-
-Z/18b/646/4	σχάλην ἐνηνεγμένον, πρῶτον μὲν ὡς ἐνταῦθα παρὰ φύσιν 
-Z/18b/646/5	ὄγκος φανεῖται συνεπινοεῖ, δεύτερον δὲ ὅτι κοῖλος ὁ κατὰ 
-Z/18b/646/6	τὴν ἐπωμίδα τόπος ἔσται, τῆς πρότερον ἐν αὐτῷ κεφαλῆς 
-Z/18b/646/7	τοῦ βραχίονος ἐστερημένος, εἰς τὸ κατὰ τὴν μασχάλην χω-
-Z/18b/646/8	ρίον μεθεστηκυίας, προσέτι δὲ καὶ ὡς ὁ τῆς ὠμοπλάτης 
-Z/18b/646/9	αὐχὴν, ὃς ἐπικείμενος τῷ βραχίονι ἀνατείνεσθαι τὴν χεῖρα 
-Z/18b/646/10	κωλύει καὶ ὡς ὀδυνήσονται σφοδρῶς οἱ μύες ἰσχυρῶς τει-
-Z/18b/646/11	νόμενοι, κινεῖν οὕτως τὸν βραχίονα προαιρούμενοι· ὡσαύ-
-Z/18b/646/12	τως δὲ καὶ ὅτι παρὰ τὰς πλευρὰς παράγειν ἐπιχειροῦσι τὸ 
-Z/18b/646/13	πεπονθὸς κῶλον ὀδυνᾶσθαι συμβήσεται. ὥστε καὶ οὕτως 
-Z/18b/646/14	εἴσεται πάντη τε καὶ πάντως οὐ μόνον τὰ μεγίστας ἔχοντα 
-Z/18b/646/15	δυνάμεις, ἀλλὰ καὶ τὰ ἄλλα. διὰ μιᾶς γὰρ ὁδοῦ πάντα 
-Z/18b/646/16	εὑρίσκεται, διὰ τῆς ἑτέρας ἀγνωθῆναι τοῖς μὴ ῥᾴστοις 
-Z/18b/646/17	εὑρίσκομεν, ἀλλὰ κατ' ἔνδειξιν. ἡ γὰρ ἐν τῇ μασχάλῃ κε-
-Z/18b/646/18	φαλὴ τοῦ βραχίονος ἑτοιμοτάτην ἔχει τὴν δύναμιν, ἡ δὲ  
-Z/18b/647/1	τῶν μυῶν διάθεσις ἐπισκέψεως πλείονος δεομένη, ἀλλ' ὅμως 
-Z/18b/647/2	καὶ αὕτη κατ' ἀμφότερα λειπομένη τῷ τε τῆς διαγνώσεως 
-Z/18b/647/3	ῥᾴστῳ καὶ τῇ δυνάμει τοῦ κατὰ τὴν μασχάλην ὄγκου, διὰ 
-Z/18b/647/4	τῆς αὐτῆς θεωρίας τοῖς τεχνικοῖς ἰατροῖς εἰς γνῶσιν ἔρχε-
-Z/18b/647/5	ται. εἰκότως οὖν Ἱπποκράτης ἐκέλευσε τὰς διαγνώσεις τῶν 
-Z/18b/647/6	παθῶν, ἃς καὶ σημειώσεις ὀνομάζουσιν οἱ νεώτεροι κατὰ 
-Z/18b/647/7	τὴν ὁμοίου καὶ ἀνομοίου θεωρίαν ποιεῖσθαι πρὸ τῶν ἄλ-
-Z/18b/647/8	λων τῆς τέχνης ἔργων, τουτέστι τῶν κατὰ πρόγνωσίν τε καὶ 
-Z/18b/647/9	θεραπείαν. εἰκότως δὲ καὶ διὰ τῶν μεγίστων τε τῇ δυνάμει 
-Z/18b/647/10	καὶ ῥᾴστων τῇ διαγνώσει καὶ πρὸς τούτοις ἔτι τρίτον τὸ, 
-Z/18b/647/11	πάντη μὲν καὶ πάντως τούτοις γιγνωσκομένον, ἀπολειπομέ-
-Z/18b/647/12	νων δὲ ἀξιώματί τε καὶ τῷ τῆς διαγνώσεως ἑτοίμῳ. προει-
-Z/18b/647/13	ρηκὼς οὖν διὰ τούτων ἀφ' ὧν χρὴ τὰς διαγνώσεις τῶν πα-
-Z/18b/647/14	θῶν ποιεῖσθαι, τουτέστιν ὅτι διὰ τῶν ὁμοίων τε καὶ ἀνο-
-Z/18b/647/15	μοίων τοῖς κατὰ φύσιν ἔχουσιν, ὁποῖά γε ταῦτα ὑπάρ-
-Z/18b/647/16	χει, μεταβαίνει κατὰ τὴν ἑξῆς ῥῆσιν, ἐπὶ τὴν διδασκαλίαν 
-Z/18b/647/17	αὐτῶν ὀνομαστὶ λέγων. 
-Z/18b/647/18	          — — —  
-Z/18b/648/1	            βʹ. 
-Z/18b/648/2	Ἃ καὶ ἰδεῖν καὶ θιγεῖν καὶ ἀκοῦσαί ἐστι. 
-Z/18b/648/3	          — — — 
-Z/18b/648/4	    Τὸ διαγνωστικὸν τῶν παθῶν μέρος τῆς τέχνης πάν-
-Z/18b/648/5	των πρῶτον ἀσκεῖν ἀξιώσας, ἐκ τῶν ὁμοίως τε καὶ ἀνο-
-Z/18b/648/6	μοίως ἐχόντων κατὰ τὸ σῶμα τοῦ κάμνοντος, ὡς πρὸς τοὺς 
-Z/18b/648/7	ὑγιαίνοντας· καὶ ὡς τὰ μέν ἐστι καὶ μέγιστα καὶ ῥᾷστα, 
-Z/18b/648/8	τὰ δὲ σὺν αὐτοῖς ἐξ ἀνάγκης γιγνώσκεται. νῦν ἤδη τίνα 
-Z/18b/648/9	ταῦτά ἐστι, καθάπερ ἔφην, διδάσκει λέγων, ἃ καὶ ἰδεῖν 
-Z/18b/648/10	καὶ θιγεῖν καὶ ἀκοῦσαί ἐστι· ἰδεῖν μὲν δηλονότι τὰ ὁρατὰ, 
-Z/18b/648/11	θιγεῖν δὲ τῶν ἁπτῶν, ἀκοῦσαι δὲ τῶν ἀκουστῶν. τὸ μὲν 
-Z/18b/648/12	οὖν κατὰ τὸ πρόσωπον ἐν ἀρχῇ τοῦ προγνωστικοῦ γεγραμ-
-Z/18b/648/13	μένον ἐστὶν ἰδεῖν, ῥῖνα μὲν ὀξεῖαν, ὀφθαλμοὺς κοίλους καὶ 
-Z/18b/648/14	κροτάφους συμπεπτωκότας· θιγεῖν δὲ τῶν ὤτων ψυχρῶν, 
-Z/18b/648/15	ἰδεῖν δὲ ἅμα καὶ θιγεῖν τοῦ κατὰ πρόσωπον δέρματος· 
-Z/18b/648/16	σκληροῦ γὰρ καὶ καρφαλέου καὶ περιτεταμένου· ἀκοῦσαι δὲ 
-Z/18b/648/17	τῶν ἐν τοῖς ἐφεξῆς τοῦ βιβλίου εἰρημένων, πταρμοῦ καὶ 
-Z/18b/648/18	βηχὸς καὶ φύσης καὶ ψόφου ἢ φθεγγομένου τε καὶ παρὰ  
-Z/18b/649/1	φύσιν τοῦ κάμνοντος ἤτοι κατὰ παραφροσύνην ἢ κλαγγώδη 
-Z/18b/649/2	ἢ βραγχώδη ἢ τοιοῦτόν τι πάθος ἐχούσης τῆς φωνῆς. ἐν 
-Z/18b/649/3	δὲ τοῖς κατὰ χειρουργίαν ἰδεῖν μέν ἐστι τὰ μελαινόμενα, 
-Z/18b/649/4	τὰ ἐρυθραινόμενα, τὰ καθ' ὁντιναοῦν τρόπον ἐξαλλάττοντα 
-Z/18b/649/5	τὴν κατὰ φύσιν χροιὰν ἢ φυλάττοντα· καὶ πρὸς τούτοις 
-Z/18b/649/6	ἔτι, καθάπερ ἐπὶ τοῦ κατ' ὦμον ἄρθρου, κοιλότητα μὲν 
-Z/18b/649/7	ἐπωμίδος, ἀκρωμίου δὲ ἀνάτασιν ἰδεῖν ἐστι· θιγεῖν δὲ τῆς 
-Z/18b/649/8	ἐν μασχάλῃ κεφαλῆς, ἀκοῦσαι δὲ τῶν γιγνομένων ψόφων ἐν 
-Z/18b/649/9	τῷ κάμνοντος σώματι, καθάπερ ἐπὶ θώρακος συντετρημέ-
-Z/18b/649/10	νου, πνεύματος ἐκφυσωμένου πρὸς τὸ τραῦμα. 
-Z/18b/649/11	          — — — 
-Z/18b/649/12	            γʹ. 
-Z/18b/649/13	Ἃ καὶ τῇ ὄψει καὶ τῇ ἁφῇ καὶ τῇ ἀκοῇ καὶ τῇ ῥινὶ καὶ 
-Z/18b/649/14	  τῇ γλώσσῃ καὶ τῇ γνώμῃ ἐστὶν αἰσθέσθαι. 
-Z/18b/649/15	          — — — 
-Z/18b/649/16	    Τῶν αἰσθήσεων ἁπάσαις τὴν γνώμην ἐφεξῆς ἔταξεν, 
-Z/18b/649/17	ὅπερ ἐστὶ τὴν διάνοιαν, ἥν τε καὶ νοῦν καὶ φρένα καὶ 
-Z/18b/649/18	λόγον κοινῶς οἱ ἄνθρωποι καλοῦσιν. ἐπεὶ δὲ καὶ τῶν κατὰ  
-Z/18b/650/1	φωνὴν ἐστί τις λόγος, ἀφορίζοντες οὖν τοῦτον τὸν προει-
-Z/18b/650/2	ρημένον λόγον οἱ φιλόσοφοι καλοῦσιν ἐνδιάθετον, ᾧ λόγῳ 
-Z/18b/650/3	τά τε ἀκόλουθα καὶ τὰ μαχόμενα γιγνωσκομένοις ἐμπεριέ-
-Z/18b/650/4	χεται καὶ διαίρεσις καὶ σύνθεσις καὶ ἀνάλυσις καὶ ἀπόδειξις, 
-Z/18b/650/5	ὅσα τ' ἄλλα τοιαῦτα. διὰ τί δὲ τῶν ῥινῶν καὶ τῆς γλώττης 
-Z/18b/650/6	αἰσθήσεων ἰδίᾳ πρότερον οὐ μνημονεύσας ἐν τῷ φάναι, ἃ 
-Z/18b/650/7	καὶ ἰδεῖν καὶ θιγεῖν καὶ ἀκοῦσαί ἐστιν, ἑξῆς τῶν πέντε μετὰ 
-Z/18b/650/8	τῆς γνώμης ἐμνημόνευσεν, εἰκότως ἐζήτηται. καὶ δὴ καὶ 
-Z/18b/650/9	λέλεκται πολλοῖς τὰ μὲν ἀπίθανα καὶ ἀνάξια μνήμης, τὰ 
-Z/18b/650/10	δὲ πιθανὰ καὶ μνήμης ἄξια, τὴν ἀρχὴν ποιησαμένοις ἐν-
-Z/18b/650/11	θένδε. τὸν Ἱπποκράτην φασὶ κελεύειν ἡμᾶς τὰς διαγνώσεις 
