
[0057]  [009]  []  []

-Z/1/509/t1	    {ΓΑΛΗΝΟΥ ΠΕΡΙ ΚΡΑΣΕΩΝ} 
-Z/1/522/3	ἀπ' Ἀθηναίου τοῦ Ἀτταλέως ὁμόσε χωροῦσιν οὔτε κατά-
-Z/1/522/4	στασιν ὑγρὰν καὶ θερμὴν μέμφεσθαι λέγοντες οὔθ' εὑρε-
-Z/1/522/5	θῆναί τι νόσημα φάσκοντες ὑγρὸν καὶ θερμόν, ἀλλὰ πάντως 
-Z/1/522/6	ἢ θερμὸν καὶ ξηρὸν ὑπάρχειν ὡς τὸν πυρετόν, ἢ ψυχρὸν 
-Z/1/522/7	καὶ ὑγρὸν ὡς τὸν ὕδερον, ἢ ψυχρὸν καὶ ξηρὸν ὡς τὴν 
-Z/1/522/8	μελαγχολίαν. ἐπιμέμνηνται δ' ἐνταῦθα καὶ τῶν ὡρῶν τοῦ 
-Z/1/522/9	ἔτους, ὑγρὸν μὲν καὶ ψυχρὸν εἶναι τὸν χειμῶνα φάσκοντες, 
-Z/1/522/10	ξηρὸν δὲ καὶ θερμὸν τὸ θέρος καὶ ψυχρὸν καὶ ξηρὸν τὸ 
-Z/1/522/11	φθινόπωρον, εὔκρατον δ' ἅμα καὶ θερμὴν καὶ ὑγρὰν ὥραν 
-Z/1/522/12	εἶναί φασι τὸ ἔαρ. οὕτω δὲ καὶ τῶν ἡλικιῶν τὴν παιδικὴν 
-Z/1/522/13	εὔκρατον θ' ἅμα καὶ θερμὴν καὶ ὑγρὰν εἶναί φασιν. δη-
-Z/1/522/14	λοῦσθαι δὲ τὴν εὐκρασίαν αὐτῆς νομίζουσι κἀκ τῶν ἐνερ-
-Z/1/522/15	γειῶν τῆς φύσεως ἐρρωμένων τηνικαῦτα μάλιστα. καὶ μὲν 
-Z/1/522/16	δὴ καὶ τὸν θάνατόν φασιν εἰς ξηρότητα καὶ ψῦξιν ἄγειν 
-Z/1/522/17	τὰ τῶν ζῴων σώματα. καλεῖσθαι γοῦν ἀλίβαντας τοὺς 
-Z/1/522/18	νεκροὺς ὡς ἂν οὐκέτι λιβάδα καὶ ὑγρότητα κεκτημένους 
-Z/1/523/1	οὐδεμίαν, ἐξατμισθέντας θ' ἅμα διὰ | τὴν ἀποχώρησιν τοῦ 
-Z/1/523/2	θερμοῦ καὶ παγέντας ὑπὸ τῆς ψύξεως. ἀλλ' εἴπερ ὁ θάνα-
-Z/1/523/3	τος, φασί, τοιοῦτος, ἀναγκαῖον ἤδη τὴν ζωήν, ὡς ἂν ἐναντίαν 
-Z/1/523/4	οὖσαν αὐτῷ, θερμήν τ' εἶναι καὶ ὑγράν· καὶ μὴν εἴπερ ἡ 
-Z/1/523/5	ζωή, φασί, θερμόν τι χρῆμα καὶ ὑγρόν, ἀνάγκη πᾶσα καὶ 
-Z/1/523/6	τὴν ὁμοιοτάτην αὐτῇ κρᾶσιν ἀρίστην ὑπάρχειν· εἰ δὲ τοῦτο, 
-Z/1/523/7	παντί που δῆλον, ὡς εὐκρατοτάτην, ὥστ' εἰς ταὐτὸ συμβαί-
-Z/1/523/8	νειν ὑγρὰν καὶ θερμὴν φύσιν εὐκράτῳ καὶ μηδὲν ἄλλ' εἶναι 
-Z/1/523/9	τὴν εὐκρασίαν ἢ τῆς ὑγρότητός τε καὶ θερμότητος ἐπικρα-
-Z/1/523/10	τούσης. οἱ μὲν δὴ τῶν ἀμφὶ τὸν Ἀθήναιον λόγοι τοιοίδε. 
-Z/1/523/11	δοκεῖ δέ πως ἡ αὐτὴ δόξα καὶ Ἀριστοτέλους εἶναι τοῦ 
-Z/1/523/12	φιλοσόφου καὶ Θεοφράστου γε μετ' αὐτὸν καὶ τῶν Στωϊκῶν, 
-Z/1/523/13	ὥστε καὶ τῷ πλήθει τῶν μαρτύρων ἡμᾶς δυσωποῦσιν. ἐγὼ  
-Z/1/523/14	δὲ περὶ μὲν Ἀριστοτέλους, ὅπως ἐγίγνωσκεν ὑπὲρ θερμῆς 
-Z/1/523/15	καὶ ὑγρᾶς κράσεως, ἴσως ἄν, εἰ δεηθείην, ἐπὶ προήκοντι 
-Z/1/523/16	τῷ λόγῳ δείξαιμι· δοκοῦσι γάρ μοι παρακούειν αὐτοῦ. 
-Z/1/524/1	  Τὸ δέ γε νῦν ἔχον πειράσομαι πρῶτον | ἐν-
-Z/1/524/2	δείξασθαι τοῖς λέγουσι ταῦτα, πῇ ποτε σοφίζονται σφᾶς 
-Z/1/524/3	αὐτούς, εἶτ' ἐφεξῆς ἀποδεῖξαι τὸν ἅπαντα λόγον εἰς ἓν 
-Z/1/524/4	ἀθροίσας κεφάλαιον. ὅτι μὲν δὴ τὸ ἔαρ οἴονται θερμὸν 
-Z/1/524/5	εἶναι καὶ ὑγρὸν ἅμα καὶ εὔκρατον, ἐνταῦθα σοφίζονται προ-
-Z/1/524/6	φανῶς. οὔτε γὰρ ὑγρὸν ὡς ὁ χειμὼν οὔτε θερμὸν ὡς τὸ 
-Z/1/524/7	θέρος, ὥστ' οὐδέτερον ἀμέτρως. ἀμετρίας δ' ἦν ἕκαστον τῶν 
-Z/1/524/8	τοιούτων ὀνομάτων καὶ κατ' αὐτοὺς ἐκείνους δηλωτικόν. 
-Z/1/524/9	ἐσφάλησαν δὲ διχῶς, πρῶτον μὲν ἐκ τοῦ βούλεσθαι πάντως 
-Z/1/524/10	ἐν ταῖς ὥραις εὑρεῖν τὴν τετάρτην συζυγίαν τῶν κράσεων, 
-Z/1/524/11	ἔπειτα δ' ἐκ τοῦ θερμότερον ἢ κατὰ τὸν χειμῶνα καὶ ὑγρό-
-Z/1/524/12	τερον ἢ κατὰ τὸ θέρος ὑπολαμβάνειν ὑπάρχειν τὸ ἔαρ. 
-Z/1/524/13	ἀλλ' οὔτ' ἀναγκαῖον ἐν ταῖς ὥραις ὑποτίθεσθαι τὴν τετάρ-
-Z/1/524/14	την συζυγίαν τῶν κράσεων, εἰ μὴ καὶ φαίνοιτο, καὶ τὸ 
-Z/1/524/15	παραβάλλειν αὐτὸ ταῖς ἑκατέρωθεν ὥραις οὐδὲν μᾶλλον ὑγρὸν 
-Z/1/524/16	καὶ θερμὸν ἢ ξηρὸν ἀποδείξει καὶ ψυχρόν. εἰ μὲν γὰρ 
-Z/1/524/17	ἀμετρίας ἐστὶν ὀνόματα τὸ θερμὸν καὶ τὸ ὑγρόν, οὐκ ἀλη-
-Z/1/525/1	θεύεται κατ' αὐτούς· σύμμετρον γὰρ ἐν ἅπασι τὸ ἔαρ. | εἰ 
-Z/1/525/2	δ' ὅτι θέρους μέν ἐστιν ὑγρότερον, χειμῶνος δὲ θερμότερον, 
-Z/1/525/3	ὑγρόν ἐστι καὶ θερμόν, οὐδὲν ἧττον αὐτὸ ψυχρὸν καὶ ξηρὸν 
-Z/1/525/4	νομίζεσθαι προσήκει, διότι θέρους μέν ἐστι ψυχρότερον, 
-Z/1/525/5	χειμῶνος δὲ ξηρότερον. ἢ τίς ἀποκλήρωσις, ἓν μὲν τῶν ἐκ 
-Z/1/525/6	τῆς ἀντιθέσεως ἀπὸ τοῦ χειμῶνος, ἓν δ' ἀπὸ τοῦ θέρους 
-Z/1/525/7	λαμβάνειν; ἐν ἑκατέροις γὰρ ἀμφοτέρων διαφέρον οὐκ ἐξ 
-Z/1/525/8	ἡμίσεος ὀφείλει τὴν παραβολὴν ἀλλ' ὁλόκληρον ἴσχειν. καὶ 
-Z/1/525/9	μὴν εἴπερ οὕτω γίγνοιτο, τἀναντία φήσομεν ὑπάρχειν αὐτό.  
-Z/1/525/10	θερμὸν μὲν γὰρ ἔσται καὶ ξηρόν, εἰ τῷ χειμῶνι, ψυχρὸν 
-Z/1/525/11	δ' αὖ καὶ ὑγρόν, εἰ τῷ θέρει παραβάλλοιτο. κατ' οὐδετέραν 
-Z/1/525/12	οὖν τῶν παραβολῶν ὁλοκλήρως γιγνομένην ὑγρὸν ἔσται καὶ 
-Z/1/525/13	θερμόν. εἰ δ' ἔξεστιν ἐκείνοις ἐξ ἑκατέρας αὐτῶν ἥμισυ λα-
-Z/1/525/14	βοῦσιν ὑγρὸν ἀποφαίνειν αὐτὸ καὶ θερμόν, ἐξέσται δήπου 
-Z/1/525/15	καὶ ἡμῖν ἐπὶ θάτερον ἥμισυ μετελθοῦσι ξηρὸν καὶ ψυχρὸν 
-Z/1/525/16	ἀποφῆναι, ξηρὸν μὲν ὡς πρὸς τὸν χειμῶνα, ψυχρὸν δ' ὡς 
-Z/1/525/17	πρὸς τὸ θέρος. ἅπαντ' οὖν οὕτως ἔσται τὸ ἔαρ, ὑγρὸν καὶ 
-Z/1/525/18	ξηρὸν καὶ ψυχρὸν καὶ θερμόν. 
-Z/1/526/1	  Ἀλλ' οὐδὲ | κατ' αὐτοὺς ἐκείνους οἷόν τ' ἐστὶν ἐν ἑνὶ 
-Z/1/526/2	καὶ ταὐτῷ πράγματι τὰς τέτταρας ἐπικρατῆσαι ποιότητας. 
-Z/1/526/3	οὔκουν οὔτε θέρει παραβάλλειν οὔτε χειμῶνι τὸ ἔαρ, ἀλλ' 
-Z/1/526/4	αὐτὸ καθ' ἑαυτὸ σκοπεῖσθαι δίκαιον. οὐδὲ γὰρ οὐδὲ τὸν 
-Z/1/526/5	χειμῶνα διὰ τοῦτο λέγομεν ὑγρὸν εἶναι καὶ ψυχρόν, ὅτι 
-Z/1/526/6	τῶν ἄλλων ὡρῶν ἐστιν ὑγρότατός τε καὶ ψυχρότατος, ἀλλὰ 
-Z/1/526/7	τοῦτο μὲν ἄλλως αὐτῷ συμβέβηκεν· ὅτι δὲ πλεονεκτεῖ κατ' 
-Z/1/526/8	αὐτὸν ἡ μὲν ὑγρότης τῆς ξηρότητος, ἡ δὲ ψυχρότης τῆς 
-Z/1/526/9	θερμότητος, διὰ τοῦθ' ὑγρὸς καὶ ψυχρὸς εἶναι λέγεται. κατὰ 
-Z/1/526/10	ταὐτὰ δὲ καὶ τὸ θέρος, ὅτι κἀν τούτῳ τὸ μὲν ὑγρὸν ἀπο-
-Z/1/526/11	λείπεται τοῦ ξηροῦ, τὸ δὲ ψυχρὸν τοῦ θερμοῦ, διὰ τοῦτο 
-Z/1/526/12	θερμὸν εἶναι λέγεται καὶ ξηρόν. καὶ γὰρ καὶ δίκαιον ἐκ 
-Z/1/526/13	τῆς οἰκείας φύσεως ἑκάστην τῶν ὡρῶν ἐξεταζομένην, ἀλλὰ 
-Z/1/526/14	μὴ πρὸς ἄλλην τινὰ παραβαλλομένην ἢ θερμὴν ἢ ψυχρὰν ἢ 
-Z/1/526/15	ξηρὰν ἢ ὑγρὰν ὀνομάζεσθαι. καὶ δὴ καὶ σκοπουμένῳ σοι 
-Z/1/526/16	κατὰ τάδε φανεῖται τὸ ἔαρ ἀκριβῶς μέσον ἁπασῶν τῶν  
-Z/1/526/17	ὑπερβολῶν. οὔτε γὰρ ὡς ἐν χειμῶνι πλεονεκτεῖ τὸ ψυχρὸν 
-Z/1/527/1	| ἐν αὐτῷ τοῦ θερμοῦ οὔθ' ὡς ἐν θέρει πλεονεκτεῖται. 
-Z/1/527/2	κατὰ ταὐτὰ δὲ καὶ ξηρότητός τε καὶ ὑγρότητος ἰσομοιρία 
-Z/1/527/3	τίς ἐστιν ἐν αὐτῷ μήθ' ὡς ἐν θέρει κρατοῦντος τοῦ ξηροῦ 
-Z/1/527/4	μήθ' ὡς ἐν χειμῶνι τοῦ ὑγροῦ καὶ διὰ τοῦτ' ὀρθῶς εἴρη-
-Z/1/527/5	ται πρὸς Ἱπποκράτους· ‘ἦρ δὲ ὑγιεινότατον καὶ ἥκιστα 
-Z/1/527/6	θανατῶδες’. 
-Z/1/527/7	  Ἀλλὰ καὶ τὸ φθινόπωρον ἧττον μὲν ἢ τὸ θέρος θερ-
-Z/1/527/8	μόν, ἧττον δ' ἢ ὁ χειμὼν ψυχρόν. ὥστε ταύτῃ μὲν οὔτε 
-Z/1/527/9	θερμὸν ἁπλῶς οὔτε ψυχρόν, ἀμφότερα γάρ ἐστι, καὶ οὐ-
-Z/1/527/10	δέτερον ἄκρως. ἕτερον δέ τι πρόσεστιν αὐτῷ κακόν, ὅπερ 
-Z/1/527/11	ἐπεσημήνατο καὶ Ἱπποκράτης ἐν Ἀφορισμοῖς εἰπών· ‘ὁκόταν 
-Z/1/527/12	τῆς αὐτῆς ἡμέρης ὁτὲ μὲν θάλπος, ὁτὲ δὲ ψῦχος ποιέῃ, 
-Z/1/527/13	φθινοπωρινὰ τὰ νοσήματα προσδέχεσθαι χρή’. καὶ τοῦτό γ' 
-Z/1/527/14	ἐστὶ τὸ μάλιστα νοσῶδες ἐργαζόμενον τὸ φθινόπωρον, ἡ 
-Z/1/527/15	ἀνωμαλία τῆς κράσεως. οὐκ ὀρθῶς οὖν εἴρηται ψυχρὸν καὶ 
-Z/1/527/16	ξηρόν, οὐ γάρ ἐστι ψυχρὸν αὐτὸ καθ' αὑτὸ θεωρούμενον, 
-Z/1/528/1	ὥσπερ ὁ χειμών, ἀλλὰ τῷ θέρει παραβαλ|λόμενον ἐκείνου 
-Z/1/528/2	ψυχρότερον. οὐ μὴν οὐδ' ὁμαλῶς εὔκρατον, ὡς τὸ ἔαρ, ἀλλ' 
-Z/1/528/3	ἐν τούτῳ δὴ καὶ μάλιστα διενήνοχεν ἐκείνης τῆς ὥρας, ὅτι 
-Z/1/528/4	τὴν εὐκρασίαν τε καὶ τὴν ὁμαλότητα διὰ παντὸς ἴσην οὐ 
-Z/1/528/5	κέκτηται. πολὺ γὰρ θερμότερόν ἐστι κατὰ τὴν μεσημβρίαν 
-Z/1/528/6	ἢ κατὰ τὴν ἕω τε καὶ τὴν ἑσπέραν. ὑγρότητος δὲ καὶ 
-Z/1/528/7	ξηρότητος οὐκ ἀκριβῶς μέν ἐστι μέσον, ὡς τὸ ἔαρ, ἀλλ' 
-Z/1/528/8	ἐπὶ τὸ ξηρότερον ῥέπει. λείπεται δὲ κἀν τούτῳ τοῦ θέρους, 
-Z/1/528/9	οὐ μὴν τοσοῦτόν γ' ὅσον θερμότητι. δῆλον οὖν, ὡς οὐδὲ 
-Z/1/528/10	τὸ φθινόπωρον ἁπλῶς οὕτω ῥητέον, ὡς ἐκεῖνοι λέγουσι,  
-Z/1/528/11	ψυχρόν τ' εἶναι καὶ ξηρόν. ἄκρως μὲν γὰρ οὐδέτερόν ἐστιν, 
-Z/1/528/12	ἐπικρατεῖ δ' ἐν αὐτῷ τὸ ξηρὸν τοῦ ὑγροῦ καὶ δικαίως ἂν 
-Z/1/528/13	λεχθείη ταύτῃ μὲν ξηρόν, ἐν δὲ τῇ κατὰ θερμότητα καὶ 
[0057]  [009]  []  []

-Z/1/528/14	ψυχρότητα διαφορᾷ μικτὸν ἐξ ἀμφοῖν καὶ ἀνώμαλον. 
-Z/1/528/15	  Ὥστ' εἴπερ τὰς τέτταρας συζυγίας τῶν κράσεων εἰς τὰς 
-Z/1/528/16	τέτταρας ὥρας διανεῖμαι σπουδάζουσιν, ἴστωσαν οὐ μόνον 
-Z/1/528/17	ἦρι κακῶς προσάψαντες ὑγρότητα καὶ θερμότητα κράσεως, 
-Z/1/529/1	ἀλλὰ καὶ φθινοπώρῳ ψυχρότητα καὶ ξηρότητα. | καίτοι γ', 
-Z/1/529/2	εἰ καὶ τοῦτο συνεχωρεῖτο ξηρὸν εἶναι καὶ ψυχρόν, οὐκ ἦν 
-Z/1/529/3	ἀναγκαῖον εὐθέως ὑγρὸν εἶναι καὶ θερμὸν τὸ ἔαρ. οὐ γὰρ 
-Z/1/529/4	εἰ τέτταρες αἱ πᾶσαι συζυγίαι κράσεών εἰσιν ἀμέτρων, ἤδη 
-Z/1/529/5	καὶ πάσας ἀναγκαῖον εἰς τὰς τέτταρας ὥρας νενεμῆσθαι. 
-Z/1/529/6	ἀλλ' εἴπερ ἄρα τάξις τίς ἐστιν ἐν τῷ κόσμῳ καὶ κατὰ τὸ 
-Z/1/529/7	βέλτιον, οὐ τὸ χεῖρον ἅπαντα κεκόσμηται, πιθανώτερον ἦν, 
-Z/1/529/8	εὐκράτους μὲν τὰς πλείους ὥρας γίγνεσθαι, μίαν δ' ἐξ αὐ-
-Z/1/529/9	τῶν, εἴπερ ἄρα, τὴν δύσκρατον· οἱ δὲ τοὐναντίον ἐπιδεῖξαι 
-Z/1/529/10	σπεύδουσιν, ὡς οὐδεμία τῶν ὡρῶν ἐστιν εὔκρατος, ἀλλ' ἐξ 
-Z/1/529/11	ἀνάγκης ἐν αὐταῖς ἐπικρατεῖ νῦν μὲν τὸ ψυχρόν, αὖθις δὲ 
-Z/1/529/12	τὸ θερμόν, καὶ νῦν μέν, εἰ τύχοι, τὸ ξηρόν, αὖθις δὲ τὸ 
-Z/1/529/13	ὑγρόν. ἐγὼ δὲ τοσοῦτον ἀποδέω ἢ θερμὸν καὶ ὑγρὸν ἀπο-
-Z/1/529/14	φαίνειν τὸ ἔαρ, ἢ ὅ τί περ ἂν εὔκρατον ᾖ, θερμὸν καὶ 
-Z/1/529/15	ὑγρὸν εἶναι συγχωρεῖν, ὥστε πᾶν τοὐναντίον ἀποφαίνομαι 
-Z/1/529/16	χειρίστην εἶναι κατάστασιν κράσεως τοῦ περιέχοντος ἡμᾶς 
-Z/1/529/17	ἀέρος τὴν θερμὴν καὶ ὑγράν, ἣν ἐν μὲν ταῖς ὥραις οὐκ 
-Z/1/530/1	ἂν εὕροις ὅλως, ἐν δὲ ταῖς νοσώδεσι καὶ | λοιμώδεσι κατα-
-Z/1/530/2	στάσεσιν ἐνίοτε συμπίπτει, καθάπερ που καὶ Ἱπποκράτης  
-Z/1/530/3	ἐμνημόνευσε λέγων· ‘ὗεν ἐν καύμασιν ὕδατι λάβρῳ δι' ὅλου’. 
-Z/1/530/4	τοῦτο γὰρ ἴδιόν ἐστιν ὑγρᾶς καὶ θερμῆς καταστάσεως ὕειν 
-Z/1/530/5	συνεχῶς ἐν καύμασιν. εἰ δ' ἤτοι μόνον εἴη καῦμα, καθάπερ 
-Z/1/530/6	ἐπὶ τοῦ κατὰ φύσιν ἔχοντος θέρους, ἢ ὕοι μὲν ἀλλ' ἐν 
-Z/1/530/7	κρύει, καθάπερ ἐν χειμῶνι, θερμὴν καὶ ὑγρὰν οὐχ οἷόν τε 
-Z/1/530/8	τὴν τοιαύτην εἶναι κατάστασιν. ἆρ' οὖν ἄνοσον ἐκεῖνο τὸ 
-Z/1/530/9	θέρος, ἐν ᾧ, φησίν, ὗεν ἐν καύμασιν ὕδατι λάβρῳ δι' ὅλου; 
-Z/1/530/10	καὶ μὴν ἄνθρακας ἐν τούτῳ γενέσθαι διηγεῖται, σαπέντων 
-Z/1/530/11	δηλονότι τῶν ἐν τῷ σώματι περιττωμάτων καί τινας ἰχῶρας 
-Z/1/530/12	θερμοὺς καὶ ὑγροὺς ἀμέτρως γεννησάντων. εἴσῃ δ' ἐξ αὐ-
-Z/1/530/13	τῆς τῆς ῥήσεως, εἰ πᾶσαν αὐτήν σοι παραγράψαιμι, τόνδε 
-Z/1/530/14	τὸν τρόπον ἔχουσαν· ‘ἄνθρακες ἐν Κρανῶνι θερινοί. ὗεν 
-Z/1/530/15	ἐν καύμασιν ὕδατι λάβρῳ δι' ὅλου. ἐγίνοντο δὲ μᾶλλον 
-Z/1/530/16	νότῳ καὶ ὑπεγίνοντο μὲν ὑπὸ τὸ δέρμα ἰχῶρες. ἐγκατα-
-Z/1/530/17	λαμβανόμενοι δ' ἐθερμαίνοντο καὶ κνησμὸν ἐνεποίεον· εἶτα 
-Z/1/531/1	φλύκταιναι ὥσπερ πυρίκαυστοι | ἐπανίσταντο καὶ ὑπὸ τὸ 
-Z/1/531/2	δέρμα καίεσθαι ἐδόκεον’. 
-Z/1/531/3	  Ἀλλ' ἐνταῦθα μὲν ὡς ἂν μιᾶς ὥρας μετακοσμηθείσης 
-Z/1/531/4	ἧττον τὸ κακόν. εἰ δὲ δύο ἢ τρεῖς ὑπαλλαχθεῖεν ἢ καὶ 
-Z/1/531/5	σύμπαν τὸ ἔτος ὑγρὸν καὶ θερμὸν γένοιτο, μέγιστον ἀνάγκη 
-Z/1/531/6	συμπεσεῖν οὕτω λοιμόν, οἷον ἐν τῷ τρίτῳ τῶν Ἐπιδημιῶν 
-Z/1/531/7	διηγεῖται. παραγράψω δὲ πρῶτα μὲν ἃ περὶ τῆς τῶν ὡρῶν 
-Z/1/531/8	ἀκοσμίας εἶπεν, ἐφεξῆς δὲ καὶ τὰ περὶ τῆς ἐπιγενομένης 
-Z/1/531/9	φθορᾶς τῶν ἀνθρώπων. ἐν ἅπασι δ' αὐτοῖς προσέχειν σε 
-Z/1/531/10	τὸν νοῦν ἀκριβῶς ἀξιῶ καὶ σκοπεῖσθαι πρῶτον μέν, ὁποῖόν 
