
[0086]  [035]  [Pol]  []

-Z//1252a/t	                {ΠΟΛΙΤΙΚΩΝ Α} 
-Z//1254b/29	πρὸς τὴν ἀναγκαίαν χρῆσιν, τὰ δ' ὀρθὰ καὶ ἄχρηστα πρὸς 
-Z//1254b/30	τὰς τοιαύτας ἐργασίας, ἀλλὰ χρήσιμα πρὸς πολιτικὸν 
-Z//1254b/31	βίον (οὗτος δὲ καὶ γίνεται διῃρημένος εἴς τε τὴν πολεμικὴν 
-Z//1254b/32	χρείαν καὶ τὴν εἰρηνικήν), συμβαίνει δὲ πολλάκις καὶ τοὐ-
-Z//1254b/33	ναντίον, τοὺς μὲν τὰ σώματα ἔχειν ἐλευθέρων τοὺς δὲ τὰς  
-Z//1254b/34	ψυχάς· ἐπεὶ τοῦτό γε φανερόν, ὡς εἰ τοσοῦτον γένοιντο διά-
-Z//1254b/35	φοροι τὸ σῶμα μόνον ὅσον αἱ τῶν θεῶν εἰκόνες, τοὺς ὑπο-
-Z//1254b/36	λειπομένους πάντες φαῖεν ἂν ἀξίους εἶναι τούτοις δουλεύειν. 
-Z//1254b/37	εἰ δ' ἐπὶ τοῦ σώματος τοῦτ' ἀληθές, πολὺ δικαιότερον ἐπὶ 
-Z//1254b/38	τῆς ψυχῆς τοῦτο διωρίσθαι· ἀλλ' οὐχ ὁμοίως ῥᾴδιον ἰδεῖν 
-Z//1254b/39	τό τε τῆς ψυχῆς κάλλος καὶ τὸ τοῦ σώματος. ὅτι μὲν 
-Z//1255a/1	τοίνυν εἰσὶ φύσει τινὲς οἱ μὲν ἐλεύθεροι οἱ δὲ δοῦλοι, φα-
-Z//1255a/2	νερόν, οἷς καὶ συμφέρει τὸ δουλεύειν καὶ δίκαιόν ἐστιν. 
-Z//1255a/3	  Ὅτι δὲ καὶ οἱ τἀναντία φάσκοντες τρόπον τινὰ λέγουσιν 
-Z//1255a/4	ὀρθῶς, οὐ χαλεπὸν ἰδεῖν. διχῶς γὰρ λέγεται τὸ δουλεύειν 
-Z//1255a/5	καὶ ὁ δοῦλος. ἔστι γάρ τις καὶ κατὰ νόμον δοῦλος καὶ 
-Z//1255a/6	δουλεύων· ὁ γὰρ νόμος ὁμολογία τίς ἐστιν ἐν ᾗ τὰ κατὰ 
-Z//1255a/7	πόλεμον κρατούμενα τῶν κρατούντων εἶναί φασιν. τοῦτο δὴ 
-Z//1255a/8	τὸ δίκαιον πολλοὶ τῶν ἐν τοῖς νόμοις ὥσπερ ῥήτορα γρά-
-Z//1255a/9	φονται παρανόμων, ὡς δεινὸν 〈ὂν〉 εἰ τοῦ βιάσασθαι δυναμένου 
-Z//1255a/10	καὶ κατὰ δύναμιν κρείττονος ἔσται δοῦλον καὶ ἀρχόμενον 
-Z//1255a/11	τὸ βιασθέν. καὶ τοῖς μὲν οὕτως δοκεῖ τοῖς δ' ἐκείνως, καὶ 
-Z//1255a/12	τῶν σοφῶν. αἴτιον δὲ ταύτης τῆς ἀμφισβητήσεως, καὶ ὃ 
-Z//1255a/13	ποιεῖ τοὺς λόγους ἐπαλλάττειν, ὅτι τρόπον τινὰ ἀρετὴ τυγ-
-Z//1255a/14	χάνουσα χορηγίας καὶ βιάζεσθαι δύναται μάλιστα, καὶ 
-Z//1255a/15	ἔστιν ἀεὶ τὸ κρατοῦν ἐν ὑπεροχῇ ἀγαθοῦ τινος, ὥστε δοκεῖν 
-Z//1255a/16	μὴ ἄνευ ἀρετῆς εἶναι τὴν βίαν, ἀλλὰ περὶ τοῦ δικαίου μό-
-Z//1255a/17	νον εἶναι τὴν ἀμφισβήτησιν (διὰ γὰρ τοῦτο τοῖς μὲν ἄνοια 
-Z//1255a/18	δοκεῖ τὸ δίκαιον εἶναι, τοῖς δ' αὐτὸ τοῦτο δίκαιον, τὸ τὸν 
-Z//1255a/19	κρείττονα ἄρχειν)· ἐπεὶ διαστάντων γε χωρὶς τούτων τῶν λό-
-Z//1255a/20	γων οὔτε ἰσχυρὸν οὐθὲν ἔχουσιν οὔτε πιθανὸν ἅτεροι λόγοι, ὡς 
-Z//1255a/21	οὐ δεῖ τὸ βέλτιον κατ' ἀρετὴν ἄρχειν καὶ δεσπόζειν. ὅλως 
-Z//1255a/22	δ' ἀντεχόμενοί τινες, ὡς οἴονται, δικαίου τινός (ὁ γὰρ νόμος 
-Z//1255a/23	δίκαιόν τι) τὴν κατὰ πόλεμον δουλείαν τιθέασι δικαίαν, 
-Z//1255a/24	ἅμα δ' οὔ φασιν· τήν τε γὰρ ἀρχὴν ἐνδέχεται μὴ δι- 
-Z//1255a/25	καίαν εἶναι τῶν πολέμων, καὶ τὸν ἀνάξιον δουλεύειν οὐδα-
-Z//1255a/26	μῶς ἂν φαίη τις δοῦλον εἶναι· εἰ δὲ μή, συμβήσεται τοὺς 
-Z//1255a/27	εὐγενεστάτους εἶναι δοκοῦντας δούλους εἶναι καὶ ἐκ δούλων, ἐὰν 
-Z//1255a/28	συμβῇ πραθῆναι ληφθέντας. διόπερ αὐτοὺς οὐ βούλονται 
-Z//1255a/29	λέγειν δούλους, ἀλλὰ τοὺς βαρβάρους. καίτοι ὅταν τοῦτο λέ-
-Z//1255a/30	γωσιν, οὐθὲν ἄλλο ζητοῦσιν ἢ τὸ φύσει δοῦλον ὅπερ ἐξ 
-Z//1255a/31	ἀρχῆς εἴπομεν· ἀνάγκη γὰρ εἶναί τινας φάναι τοὺς μὲν 
-Z//1255a/32	πανταχοῦ δούλους τοὺς δ' οὐδαμοῦ. τὸν αὐτὸν δὲ τρόπον καὶ 
-Z//1255a/33	περὶ εὐγενείας· αὑτοὺς μὲν γὰρ οὐ μόνον παρ' αὑτοῖς εὐ-
-Z//1255a/34	γενεῖς ἀλλὰ πανταχοῦ νομίζουσιν, τοὺς δὲ βαρβάρους οἴκοι μό-
-Z//1255a/35	νον, ὡς ὄν τι τὸ μὲν ἁπλῶς εὐγενὲς καὶ ἐλεύθερον τὸ δ' 
-Z//1255a/36	οὐχ ἁπλῶς, ὥσπερ καὶ ἡ Θεοδέκτου Ἑλένη φησὶ 
-Z//1255a/37	          “θείων δ' ἀπ' ἀμφοῖν ἔκγονον ῥιζωμάτων 
-Z//1255a/38	            τίς ἂν προσειπεῖν ἀξιώσειεν λάτριν;” 
-Z//1255a/39	ὅταν δὲ τοῦτο λέγωσιν, οὐθενὶ ἀλλ' ἢ ἀρετῇ καὶ κακίᾳ δι-
-Z//1255a/40	ορίζουσι τὸ δοῦλον καὶ ἐλεύθερον, καὶ τοὺς εὐγενεῖς καὶ τοὺς 
-Z//1255b/1	δυσγενεῖς. ἀξιοῦσι γάρ, ὥσπερ ἐξ ἀνθρώπου ἄνθρωπον καὶ 
-Z//1255b/2	ἐκ θηρίων γίνεσθαι θηρίον, οὕτω καὶ ἐξ ἀγαθῶν ἀγαθόν. 
-Z//1255b/3	ἡ δὲ φύσις βούλεται μὲν τοῦτο ποιεῖν πολλάκις, οὐ μέντοι 
-Z//1255b/4	δύναται. 
-Z//1255b/4	        ὅτι μὲν οὖν ἔχει τινὰ λόγον ἡ ἀμφισβήτησις, 
-Z//1255b/5	καὶ οὐκ 〈ἀεί〉 εἰσιν οἱ μὲν φύσει δοῦλοι οἱ δ' ἐλεύθεροι, δῆλον, 
-Z//1255b/6	καὶ ὅτι ἔν τισι διώρισται τὸ τοιοῦτον, ὧν συμφέρει τῷ μὲν τὸ 
-Z//1255b/7	δουλεύειν τῷ δὲ τὸ δεσπόζειν [καὶ δίκαιον], καὶ δεῖ τὸ μὲν 
-Z//1255b/8	ἄρχεσθαι τὸ δ' ἄρχειν ἣν πεφύκασιν ἀρχὴν ἄρχειν, ὥστε 
-Z//1255b/9	καὶ δεσπόζειν, τὸ δὲ κακῶς ἀσυμφόρως ἐστὶν ἀμφοῖν (τὸ 
-Z//1255b/10	γὰρ αὐτὸ συμφέρει τῷ μέρει καὶ τῷ ὅλῳ, καὶ σώματι καὶ  
-Z//1255b/11	ψυχῇ, ὁ δὲ δοῦλος μέρος τι τοῦ δεσπότου, οἷον ἔμψυχόν τι 
-Z//1255b/12	τοῦ σώματος κεχωρισμένον δὲ μέρος· διὸ καὶ συμφέρον 
-Z//1255b/13	ἐστί τι καὶ φιλία δούλῳ καὶ δεσπότῃ πρὸς ἀλλήλους τοῖς 
-Z//1255b/14	φύσει τούτων ἠξιωμένοις, τοῖς δὲ μὴ τοῦτον τὸν τρόπον, 
-Z//1255b/15	ἀλλὰ κατὰ νόμον καὶ βιασθεῖσι, τοὐναντίον). 
-Z//1255b/16	  Φανερὸν δὲ καὶ ἐκ τούτων ὅτι οὐ ταὐτόν ἐστι δεσποτεία 
-Z//1255b/17	καὶ πολιτική, οὐδὲ πᾶσαι ἀλλήλαις αἱ ἀρχαί, ὥσπερ τινές 
-Z//1255b/18	φασιν. ἡ μὲν γὰρ ἐλευθέρων φύσει ἡ δὲ δούλων ἐστίν, καὶ 
-Z//1255b/19	ἡ μὲν οἰκονομικὴ μοναρχία (μοναρχεῖται γὰρ πᾶς οἶκος), 
-Z//1255b/20	ἡ δὲ πολιτικὴ ἐλευθέρων καὶ ἴσων ἀρχή. ὁ μὲν οὖν δεσπό-
-Z//1255b/21	της οὐ λέγεται κατ' ἐπιστήμην, ἀλλὰ τῷ τοιόσδ' εἶναι, 
-Z//1255b/22	ὁμοίως δὲ καὶ ὁ δοῦλος καὶ ὁ ἐλεύθερος. ἐπιστήμη δ' ἂν 
-Z//1255b/23	εἴη καὶ δεσποτικὴ καὶ δουλική, δουλικὴ μὲν οἵαν περ ὁ ἐν 
-Z//1255b/24	Συρακούσαις ἐπαίδευεν· ἐκεῖ γὰρ λαμβάνων τις μισθὸν 
-Z//1255b/25	ἐδίδασκε τὰ ἐγκύκλια διακονήματα τοὺς παῖδας· εἴη δ' 
-Z//1255b/26	ἂν καὶ ἐπὶ πλεῖον τῶν τοιούτων μάθησις, οἷον ὀψοποιικὴ 
-Z//1255b/27	καὶ τἆλλα τὰ τοιαῦτα γένη τῆς διακονίας. ἔστι γὰρ ἕτερα 
-Z//1255b/28	ἑτέρων τὰ μὲν ἐντιμότερα ἔργα τὰ δ' ἀναγκαιότερα, καὶ 
-Z//1255b/29	κατὰ τὴν παροιμίαν “δοῦλος πρὸ δούλου, δεσπότης πρὸ δε-
-Z//1255b/30	σπότου”. αἱ μὲν οὖν τοιαῦται πᾶσαι δουλικαὶ ἐπιστῆμαί εἰσι· 
-Z//1255b/31	δεσποτικὴ δ' ἐπιστήμη ἐστὶν ἡ χρηστικὴ δούλων. ὁ γὰρ δε-
-Z//1255b/32	σπότης οὐκ ἐν τῷ κτᾶσθαι τοὺς δούλους, ἀλλ' ἐν τῷ χρῆσθαι 
-Z//1255b/33	δούλοις. ἔστι δ' αὕτη ἡ ἐπιστήμη οὐδὲν μέγα ἔχουσα οὐδὲ 
-Z//1255b/34	σεμνόν· ἃ γὰρ τὸν δοῦλον ἐπίστασθαι δεῖ ποιεῖν, ἐκεῖνον δεῖ 
-Z//1255b/35	ταῦτα ἐπίστασθαι ἐπιτάττειν. διὸ ὅσοις ἐξουσία μὴ αὐτοὺς 
-Z//1255b/36	κακοπαθεῖν, ἐπίτροπός 〈τις〉 λαμβάνει ταύτην τὴν τιμήν, αὐτοὶ 
[0086]  [035]  [Pol]  []

-Z//1255b/37	δὲ πολιτεύονται ἢ φιλοσοφοῦσιν. ἡ δὲ κτητικὴ ἑτέρα ἀμφο-
-Z//1255b/38	τέρων τούτων, οἷον ἡ δικαία, πολεμική τις οὖσα ἢ θηρευ- 
-Z//1255b/39	τική. περὶ μὲν οὖν δούλου καὶ δεσπότου τοῦτον διωρίσθω τὸν 
-Z//1255b/40	τρόπον. 
-Z//1256a/1	  Ὅλως δὲ περὶ πάσης κτήσεως καὶ χρηματιστικῆς θεω-
-Z//1256a/2	ρήσωμεν κατὰ τὸν ὑφηγημένον τρόπον, ἐπείπερ καὶ ὁ δοῦ-
-Z//1256a/3	λος τῆς κτήσεως μέρος τι ἦν. πρῶτον μὲν οὖν ἀπορήσειεν 
-Z//1256a/4	ἄν τις πότερον ἡ χρηματιστικὴ ἡ αὐτὴ τῇ οἰκονομικῇ ἐστιν 
-Z//1256a/5	ἢ μέρος τι, ἢ ὑπηρετική, καὶ εἰ ὑπηρετική, πότερον ὡς ἡ 
-Z//1256a/6	κερκιδοποιικὴ τῇ ὑφαντικῇ ἢ ὡς ἡ χαλκουργικὴ τῇ ἀνδρι-
-Z//1256a/7	αντοποιίᾳ (οὐ γὰρ ὡσαύτως ὑπηρετοῦσιν, ἀλλ' ἡ μὲν ὄργανα 
-Z//1256a/8	παρέχει, ἡ δὲ τὴν ὕλην· λέγω δὲ ὕλην τὸ ὑποκείμε-
-Z//1256a/9	νον ἐξ οὗ τι ἀποτελεῖται ἔργον, οἷον ὑφάντῃ μὲν ἔρια 
-Z//1256a/10	ἀνδριαντοποιῷ δὲ χαλκόν). ὅτι μὲν οὖν οὐχ ἡ αὐτὴ ἡ οἰκο-
-Z//1256a/11	νομικὴ τῇ χρηματιστικῇ, δῆλον (τῆς μὲν γὰρ τὸ πορίσα-
-Z//1256a/12	σθαι, τῆς δὲ τὸ χρήσασθαι· τίς γὰρ ἔσται ἡ χρησομένη 
-Z//1256a/13	τοῖς κατὰ τὴν οἰκίαν παρὰ τὴν οἰκονομικήν;)· πότερον δὲ 
-Z//1256a/14	μέρος αὐτῆς ἐστί τι ἢ ἕτερον εἶδος, ἔχει διαμφισβήτησιν· 
-Z//1256a/15	εἰ γάρ ἐστι τοῦ χρηματιστικοῦ θεωρῆσαι πόθεν χρήματα καὶ 
-Z//1256a/16	κτῆσις ἔσται, ἥ γε κτῆσις πολλὰ περιείληφε μέρη καὶ ὁ 
-Z//1256a/17	πλοῦτος, ὥστε πρῶτον ἡ γεωργικὴ πότερον μέρος τι τῆς χρη-
-Z//1256a/18	ματιστικῆς ἢ ἕτερόν τι γένος, καὶ καθόλου ἡ περὶ τὴν τρο-
-Z//1256a/19	φὴν ἐπιμέλεια καὶ κτῆσις; ἀλλὰ μὴν εἴδη γε πολλὰ τρο-
-Z//1256a/20	φῆς, διὸ καὶ βίοι πολλοὶ καὶ τῶν ζῴων καὶ τῶν ἀνθρώπων 
-Z//1256a/21	εἰσίν· οὐ γὰρ οἷόν τε ζῆν ἄνευ τροφῆς, ὥστε αἱ διαφοραὶ 
-Z//1256a/22	τῆς τροφῆς τοὺς βίους πεποιήκασι διαφέροντας τῶν ζῴων. 
-Z//1256a/23	τῶν τε γὰρ θηρίων τὰ μὲν ἀγελαῖα τὰ δὲ σποραδικά ἐστιν, 
-Z//1256a/24	ὁποτέρως συμφέρει πρὸς τὴν τροφὴν αὐτοῖς διὰ τὸ τὰ μὲν 
-Z//1256a/25	ζῳοφάγα τὰ δὲ καρποφάγα τὰ δὲ παμφάγα αὐτῶν εἶναι, 
-Z//1256a/26	ὥστε πρὸς τὰς ῥᾳστώνας καὶ τὴν αἵρεσιν τὴν τούτων ἡ φύσις τοὺς  
-Z//1256a/27	βίους αὐτῶν διώρισεν, ἐπεὶ δ' οὐ ταὐτὸ ἑκάστῳ ἡδὺ κατὰ φύ-
-Z//1256a/28	σιν ἀλλὰ ἕτερα ἑτέροις, καὶ αὐτῶν τῶν ζῳοφάγων καὶ τῶν 
-Z//1256a/29	καρποφάγων οἱ βίοι πρὸς ἄλληλα διεστᾶσιν· ὁμοίως δὲ 
-Z//1256a/30	καὶ τῶν ἀνθρώπων. πολὺ γὰρ διαφέρουσιν οἱ τούτων βίοι. 
-Z//1256a/31	οἱ μὲν οὖν ἀργότατοι νομάδες εἰσίν (ἡ γὰρ ἀπὸ τῶν ἡμέ-
-Z//1256a/32	ρων τροφὴ ζῴων ἄνευ πόνου γίνεται σχολάζουσιν· ἀναγκαίου 
-Z//1256a/33	δ' ὄντος μεταβάλλειν τοῖς κτήνεσι διὰ τὰς νομὰς καὶ 
-Z//1256a/34	αὐτοὶ ἀναγκάζονται συνακολουθεῖν, ὥσπερ γεωργίαν ζῶσαν 
-Z//1256a/35	γεωργοῦντες)· οἱ δ' ἀπὸ θήρας ζῶσι, καὶ θήρας ἕτεροι ἑ-
-Z//1256a/36	τέρας, οἷον οἱ μὲν ἀπὸ λῃστείας, οἱ δ' ἀφ' ἁλιείας, ὅσοι λί-
-Z//1256a/37	μνας καὶ ἕλη καὶ ποταμοὺς ἢ θάλατταν τοιαύτην προσ-
-Z//1256a/38	οικοῦσιν, οἱ δ' ἀπ' ὀρνίθων ἢ θηρίων ἀγρίων· τὸ δὲ πλεῖστον 
-Z//1256a/39	γένος τῶν ἀνθρώπων ἀπὸ τῆς γῆς ζῇ καὶ τῶν ἡμέρων καρ-
-Z//1256a/40	πῶν. 
-Z//1256a/40	    οἱ μὲν οὖν βίοι τοσοῦτοι σχεδόν εἰσιν, ὅσοι γε αὐτό-
-Z//1256a/41	φυτον ἔχουσι τὴν ἐργασίαν καὶ μὴ δι' ἀλλαγῆς καὶ καπη-
-Z//1256b/1	λείας πορίζονται τὴν τροφήν, νομαδικὸς λῃστρικὸς ἁλιευ-
-Z//1256b/2	τικὸς θηρευτικὸς γεωργικός. οἱ δὲ καὶ μιγνύντες ἐκ τού-
-Z//1256b/3	των ἡδέως ζῶσι, προσαναπληροῦντες τὸν ἐνδεέστερον βίον, ᾗ 
-Z//1256b/4	τυγχάνει ἐλλείπων πρὸς τὸ αὐτάρκης εἶναι, οἷον οἱ μὲν 
-Z//1256b/5	νομαδικὸν ἅμα καὶ λῃστρικόν, οἱ δὲ γεωργικὸν καὶ θηρευ-
-Z//1256b/6	τικόν· ὁμοίως δὲ καὶ περὶ τοὺς ἄλλους· ὡς ἂν ἡ χρεία 
-Z//1256b/7	συναναγκάζῃ, τοῦτον τὸν τρόπον διάγουσιν. ἡ μὲν οὖν τοιαύτη 
-Z//1256b/8	κτῆσις ὑπ' αὐτῆς φαίνεται τῆς φύσεως διδομένη πᾶσιν, 
-Z//1256b/9	ὥσπερ κατὰ τὴν πρώτην γένεσιν εὐθύς, οὕτω καὶ τελειω-
-Z//1256b/10	θεῖσιν. καὶ γὰρ κατὰ τὴν ἐξ ἀρχῆς γένεσιν τὰ μὲν συνεκ-
-Z//1256b/11	τίκτει τῶν ζῴων τοσαύτην τροφὴν ὥσθ' ἱκανὴν εἶναι μέχρις 
-Z//1256b/12	οὗ ἂν δύνηται αὐτὸ αὑτῷ πορίζειν τὸ γεννηθέν, οἷον ὅσα 
-Z//1256b/13	σκωληκοτοκεῖ ἢ ᾠοτοκεῖ· ὅσα δὲ ζῳοτοκεῖ, τοῖς γεννωμένοις  
-Z//1256b/14	ἔχει τροφὴν ἐν αὑτοῖς μέχρι τινός, τὴν τοῦ καλουμένου γά-
-Z//1256b/15	λακτος φύσιν. ὥστε ὁμοίως δῆλον ὅτι καὶ γενομένοις οἰη-
-Z//1256b/16	τέον τά τε φυτὰ τῶν ζῴων ἕνεκεν εἶναι καὶ τὰ ἄλλα ζῷα 
-Z//1256b/17	τῶν ἀνθρώπων χάριν, τὰ μὲν ἥμερα καὶ διὰ τὴν χρῆσιν 
