
[0057]  [050]  []  []

-Z/7/513/t	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΠΛΗΘΟΥΣ ΒΙΒΛΙΟΝ.} 
-Z/7/561/6	  Ἐάσας οὖν ἐν τῷ παρόντι τὸ πρὸς τοὺς 
-Z/7/561/7	ἐμπειρικοὺς, αὖθις ἐπάνειμι πρὸς τοὺς λογικοὺς, ἕκαστον 
-Z/7/561/8	τῶν συμπτωμάτων ὧν ἔγραψαν ἐπισκοπούμενος. ἔνια μὲν 
-Z/7/561/9	γὰρ αὐτῶν τοῦ πρὸς τὴν δύναμίν εἰσι πλήθους, ἔνια δὲ τοῦ 
-Z/7/561/10	κατὰ τὸ ἔγχυμα, τινὰ δὲ οὐχ ἁπλῶς ἐστι σημεῖα πλήθους, 
-Z/7/561/11	ἀλλὰ τοιοῦδε πλήθους, τινὰ δὲ ὅλως οὐδενὸς πλήθους, ἀλλ' 
-Z/7/561/12	ἤτοι κακοχυμίας τε καὶ διαφθορᾶς, ἢ ἀῤῥώστου δυνάμεως, 
-Z/7/561/13	ἢ ὄγκου τῶν στερεῶν σωμάτων. ὅτι δὲ οὕτω τοῦτ' ἔχει, μά-
-Z/7/561/14	θοις ἂν, εἰ προσέχοις τοῖς λεχθησομένοις τὸν νοῦν. ἡ μὲν δὴ 
-Z/7/561/15	τονώδης διάθεσις, ὅταν ἄνευ γυμνασίων συμπίπτῃ, ἐνδείκνυ-
-Z/7/561/16	ται μὲν πάντως πολλὴν οὐσίαν ἐν αἰσθητικῷ σώματι περιέχε-
-Z/7/561/17	σθαι, οὐ μὴν ἥτίς γέ ἐστιν ἡ οὐσία, ἢ τὸ εἶδος αὐτῆς, ἔτ' 
-Z/7/561/18	ἐνδείκνυται, κατά γε τοῦτο μόνον αὐτὸ τὸ τείνεσθαι, κοινὸν  
-Z/7/562/1	κοινὸν ὑπάρχον ἁπάσης οὐσίας, καὶ λεπτῆς, καὶ παχείας, 
-Z/7/562/2	καὶ μέσης τῇ συστάσει, καὶ πνευματώδους, ἔτι τε θερμῆς 
-Z/7/562/3	τε καὶ ψυχρᾶς, ἢ μέσης, ἀλλ' ἑτέρων τινῶν δεῖται δια-
-Z/7/562/4	γνωρισμάτων εἰς τὸν τούτου διορισμόν. ἡ δὲ ἐν ταῖς ἐνερ-
-Z/7/562/5	γείαις ἀτονία τὴν δύναμιν ἀῤῥωστοτέραν δείκνυσι, τῷ 
-Z/7/562/6	ἐπισχεῖν τὸ κινοῦν, ὡς ἐπὶ χειρῶν κινήσεως ἀσθενοῦς· 
-Z/7/562/7	πολλαῖς γὰρ ἀκολουθεῖ καταστάσεσιν· εἴτε γὰρ αὐξηθείη 
-Z/7/562/8	τινὶ τό τε σαρκῶδες καὶ τὸ πιμελῶδες γένος, ἐν τοῖς 
-Z/7/562/9	αὐτοῖς ὅροις διαμενούσης τῆς δυνάμεως, ἀνάγκη τὰς κι-
-Z/7/562/10	νήσεις ἀτονωτέρας γίγνεσθαι, μένοντος μὲν ἴσου τοῦ 
-Z/7/562/11	κινοῦντος, αὐξηθέντος δὲ τοῦ κινουμένου· εἴτε τῶν χυ-
-Z/7/562/12	μῶν τις εἷς, ἢ καὶ πάντες ἅμα πλεονάσειαν, μὴ συν-
-Z/7/562/13	αυξηθείσης αὐτοῖς τῆς δυνάμεως, ἀνάγκη καὶ νῦν ἀτο-
-Z/7/562/14	νωτέρας γενέσθαι τὰς ἐνεργείας· εἴτ' ἄμφω μὲν συναυξη-
-Z/7/562/15	θείη, τά τε παρεγχύματα καλούμενα καὶ τὰ ὑγρὰ, μὴ 
-Z/7/562/16	συναυξηθείη δὲ ἡ δύναμις, εἴτε τούτων ὡσαύτως ἐχόντων, 
-Z/7/562/17	ἡ δύναμις ἀσθενεστέρα γένοιτο. δύναιτο δ' ἄν ποτε καὶ 
-Z/7/562/18	ἄμφω συνελθεῖν, ὥστε τὴν δύναμιν ἀῤῥωστοτέραν γενέσθαι,  
-Z/7/563/1	καὶ τοὺς χυμοὺς ἅμα τοῖς παρεγχύμασιν ἢ πλέονας ἢ 
-Z/7/563/2	ἐλάττους εἶναι, θάτερον αὐτῶν ὁποτερονοῦν, ἀτονώτεραι αἱ 
-Z/7/563/3	ἐνέργειαι καὶ διὰ ταῦτα γίγνονται, καθ' ἕν τε συμβαῖνον 
-Z/7/563/4	ἕκαστον αὐτῶν, καὶ κατὰ δύο, καὶ πλείω, καὶ πάνθ' ἅμα. 
-Z/7/563/5	τὸ γὰρ ἐπὶ τῇ τῶν στερεῶν σωμάτων εὐτροφίᾳ νομίζειν 
-Z/7/563/6	ποτὲ δύνασθαι κίνησιν ἀτονωτέραν ἀπεργασθῆναι μὴ γι-
-Z/7/563/7	νωσκόντων ἐστὶν ἀνθρώπων, ὡς δι' ὅλων τῶν στερεῶν σω-
-Z/7/563/8	μάτων αἱ δυνάμεις διήκουσιν, ἀλλ' ὥσπερ αὐλοὺς ἢ σωλῆνας 
-Z/7/563/9	πνεύματι τὰς ἀρτηρίας καὶ τὰ νεῦρα παρασκευαζόντων. εἴσῃ 
-Z/7/563/10	δὲ τὸ τῆσδε τῆς δόξης μοχθηρὸν ἐξ ἄλλων τε πολλῶν, ἀτὰρ 
-Z/7/563/11	οὐχ ἥκιστα καὶ δυοῖν ἡμετέρων πραγματειῶν, τῆς τῶν Ἱππο-
-Z/7/563/12	κράτους καὶ Πλάτωνος δογμάτων καὶ τῆς τῶν φυσικῶν δυ-
-Z/7/563/13	νάμεων. εὐεξίας μὲν οὖν ἴδιον ἡ τῶν στερεῶν σωμάτων εὐ-
-Z/7/563/14	τροφία, εὐσαρκίας δὲ καὶ πολυσαρκίας ἡ τῶν σαρκῶν αὔξη-
-Z/7/563/15	σις. ὡς τὰ πολλὰ μὲν οὖν ἀνάλογον ἡ πιμελὴ μᾶλλον αὔξεται, 
-Z/7/563/16	ποτὲ δὲ ἐν πιμελῇ μᾶλλον ἡ σὰρξ ἢ μόνη πιμελή. εἴρηται δὲ 
-Z/7/563/17	περὶ τούτων ἐν τοῖς περὶ κράσεων ὑπομνήμασι. καθάπερ 
-Z/7/563/18	δὲ ἐν σαρκὶ τὸ μέν ἐστιν εὐσαρκία, τὸ δὲ πολυσαρκία,  
-Z/7/564/1	κατὰ τὸν αὐτὸν τρόπον ἐν αἵματι τὸ μὲν οἷον εὐαιμία τίς 
-Z/7/564/2	ἐστι, τὸ δὲ πολυαιμία. τὸ μὲν δὴ τῆς εὐαιμίας οὐκ ἄδη-
-Z/7/564/3	λον ὅτι καὶ ποιότητι καὶ ποσότητι κατὰ φύσιν ἐστὶν ἀκρι-
-Z/7/564/4	βῶς· τὸ δὲ τῆς πολυαιμίας ἄμεμπτον μὲν τῷ ποιῷ, τῷ ποσῷ 
-Z/7/564/5	δὲ οὐκ ἄμεμπτον, ἀλλὰ πάντως μὲν πλέον, ἤτοι γε τοῦ κατὰ 
-Z/7/564/6	φύσιν ἐκ γενετῆς ὑπάρχοντος, ἢ τοῦ πρὸς τὴν δύναμιν. ἐγχω-
-Z/7/564/7	ρεῖ γάρ ποτε ἀλλήλοις συναύξεσθαι παρὰ τὴν ἐκ γενετῆς φύσιν 
-Z/7/564/8	ἀμφότερα, καὶ τὴν τῆς δυνάμεως ῥώμην καὶ τὸ πλῆθος τοῦ 
-Z/7/564/9	αἵματος, ὥσπερ ἐν ταῖς ἀθλητικαῖς εὐεξίαις· καὶ γὰρ τὰ 
-Z/7/564/10	ὑγρὰ καὶ σαρκώδη καὶ ἡ δύναμις ἀνάλογον ἀλλήλοις ἐπ' 
-Z/7/564/11	αὐτῶν συναύξονται. καὶ τοίνυν ἤδη πρόδηλον, ὡς οὐδ' οἱ 
-Z/7/564/12	τὸν ὄγκον εἰπόντες τοῦ σώματος ἓν τῶν πληθωρικῶν σημείων 
-Z/7/564/13	ἀληθεύουσιν· ὄγκος μὲν γὰρ φλεβῶν πληθωρικὸν ἂν εἴη ση-
-Z/7/564/14	μεῖον, ὄγκος δὲ σαρκῶν καὶ πιμελῆς ἐκείνων ἂν εἴη πλῆθος 
-Z/7/564/15	αὐτῶν, οὐ μὴν ὅ γε νῦν ἡμεῖς ζητοῦμεν, ὃ δὴ καὶ πληθώρα 
-Z/7/564/16	καλεῖται. περὶ γὰρ τούτου τοῦ πλήθους, ὃ δηλονότι κένω-
-Z/7/564/17	σιν ἐνδείκνυται, προθέμενοι λέγειν ἐς τοσοῦτον, ὅ ποτε  
-Z/7/565/1	ὁμωνυμίαις ἐνδείκνυται, ἐσφάλησαν ἔνιοί τινες ἐξ αὐτῶν, 
-Z/7/565/2	ὥστε εἰς τὸ τῶν σαρκῶν τε καὶ τῆς πιμελῆς ἀπενεχθῆναι πλῆ-
-Z/7/565/3	θος. οὕτω μὲν δὴ μοχθηρὸν πλήθους γνώρισμα, σώματος 
-Z/7/565/4	ὄγκος· αὐτῶν μὲν γὰρ ἂν ἐκείνων εἴη τῶν φλεβῶν ὧν ὁρῶ-
-Z/7/565/5	μεν ἐνδεικτικὸς τῆς πληρώσεως, οὐ μὴν ἐξ ἀνάγκης γε τῶν 
-Z/7/565/6	ἐν τῷ βάθει· ἀλλ' ἐνδέχεταί ποτε καὶ τῶν ἔξω φλεβῶν διατε-
-Z/7/565/7	ταμένων οὐχ ὡσαύτως διατετάσθαι καὶ τὰς ἔνδον, οἷον αὐ-
-Z/7/565/8	τίκα κρύους μὲν κατασχόντος, εἰς τὸ βάθος ἀπελαύνεται τὸ 
-Z/7/565/9	αἷμα, καὶ λειφαιμοῦσι μὲν οὕτω δὴ αἱ ἐκτὸς, ὡς μηδὲ φαί-
-Z/7/565/10	νεσθαι· πάλιν δὲ ἀλέας γενομένης, ἢ λουσαμένων, ἐπὶ τὸ 
-Z/7/565/11	δέρμα καὶ τὰ ἐκτὸς τοῦ σώματος φέρεται τὸ αἷμα, καταλιπὸν 
-Z/7/565/12	τὸ βάθος· εἰ δὲ καὶ περικαὴς εἴη πυρετὸς, ἀναγκαῖον καὶ τότε 
-Z/7/565/13	καίεσθαι τῷ σώματι, καθάπερ ζέοντι, πνευματοῦσθαί τε καὶ 
-Z/7/565/14	χεῖσθαι. ὥστε ὁ τῶν φλεβῶν ὄγκος οὐκ ἔστιν ἀχώριστον 
-Z/7/565/15	γνώρισμα πλήθους χυμῶν, ἀλλὰ πρῶτον μὲν χρὴ τοιαύτην 
-Z/7/565/16	ὑπάρχειν τῷ σώματι κατάστασιν, ὡς μήτε τὰ ἔνδον τῶν 
-Z/7/565/17	ἔξω μήτε ἐκείνων ταῦτα πλεονεκτεῖν θερμότητι· δεύτερον 
-Z/7/565/18	δὲ, μηδ' ἄμετρον εἶναι καθ' ὅλον τὸ ζῶον θερμότητα.  
-Z/7/566/1	ἐπὶ τούτοις προδιορισθεῖσιν εἴη ἄν ποτε σημεῖον ὁ τῶν φλε-
-Z/7/566/2	βῶν ὄγκος αἱματικοῦ πλήθους νῦν λεγομένου, τοῦ 
-Z/7/566/3	κατ' ἐπικράτησιν· ἀδύνατον γὰρ οὕτως ἀκριβὲς αἷμά ποτε 
-Z/7/566/4	περιέχεσθαι κατὰ τὰς φλέβας, ὡς μηδὲν αὐτῷ μήτε χολῆς ἐμ-
-Z/7/566/5	φέρεσθαι, μήτε φλέγματος, μήτε ὀῤῥώδους ἰχῶρος, ὅθεν ἐγὼ 
-Z/7/566/6	κᾀν τοῖς ἔμπροσθεν ἠξίουν ὡσαύτως ἀκούειν, εἴτε τοὺς χυ-
-Z/7/566/7	μοὺς πλεονάζειν, εἴθ' αἷμα φήσαιμι. τοῦ γὰρ ἀμίκτου καὶ 
-Z/7/566/8	καθαροῦ τῶν ἄλλων ὑγρῶν αἵματος οὐδέποτε ἐν ταῖς φλεψὶ 
[0057]  [050]  []  []

-Z/7/566/9	περιεχομένου, δέδεικται γὰρ τοῦθ' ἡμῖν ἑτέρωθι, ὡς τοῦ μέν-
-Z/7/566/10	τοι μικτοῦ, μὴ μέντοι γε ὡς ἔτυχεν, ἀλλ' ὡς ἐν συμμετρίᾳ 
-Z/7/566/11	τινι τοῖς κατὰ φύσιν ἔχουσι ζώοις, ἐπιμεμιγμένων αὐτῷ τῶν 
-Z/7/566/12	ἄλλων, οὐδὲν διοίσει χυμοὺς ἢ αἷμα προσαγορεύειν. συναυξα-
-Z/7/566/13	νομένων γὰρ ἁπάντων ἐν τῇ κατὰ φύσιν συμμετρίᾳ τῷ 
-Z/7/566/14	κατ' ἐπικράτειαν αἵματι, ταὐτὸν σημαίνει τὸ τῶν χυμῶν 
-Z/7/566/15	ὄνομα, καὶ οὐδὲν διαφέρει τοὺς χυμοὺς ηὐξῆσθαι λέγειν, ἢ 
-Z/7/566/16	τὸ αἷμα, τοῦ λόγου τοῦ φάσκοντος τοὺς χυμοὺς αὐτὸ τοῦτ' 
-Z/7/566/17	ἐπιδεικνυμένου, τὸ περὶ τὴν ἀρχαίαν ἀναλογίαν πάντως πλεο-
-Z/7/566/18	νάσαι. τουτὶ μὲν οὖν ἡμῖν οὕτω διοριζέσθω, πάλιν δ' ἐπὶ  
-Z/7/567/1	τὸ προκείμενον ἴωμεν. ὁ γὰρ τῶν φλεβῶν ὄγκος ἂν μήτε 
-Z/7/567/2	δι' ἐπικράτησιν τῆς ἔξωθεν καταστάσεως, μήτε διάχυσίν τε 
-Z/7/567/3	καὶ ζέσιν ᾖ γενόμενος, αἱματικὸν εἶναι τὸ πλῆθος ἐνδείκνυται. 
-Z/7/567/4	χρὴ δὲ μηδὲ κατάῤῥοπον ἐσχηματίσθαι τὸ τοιοῦτον μόριον, 
-Z/7/567/5	ἢ κεκινῆσθαι προσφάτως ὑπὲρ τὰ ἄλλα· διὸ καί τινι λόγῳ 
-Z/7/567/6	περιλαβὼν ἄν τις ἅπαντας τοὺς κατὰ μέρος διορισμοὺς, τότ' 
-Z/7/567/7	ἐνδείκνυσθαι φήσει τὸν ὄγκον τῶν φλεβῶν αἵματος πλῆθος, 
-Z/7/567/8	ὅταν ἅπαντα τὰ μόρια τὴν αὐτὴν κατάστασιν ἔχῃ μετὰ συμ-
-Z/7/567/9	μέτρου θερμασίας, ὡς εἴγε ὡσαύτως μὲν ἅπαντα διακέοιτο, 
-Z/7/567/10	θερμότης δὲ ἄμετρος ὑπάρχοι, χύσις ἐν τῷδε γίγνεται τῶν χυ-
-Z/7/567/11	μῶν εἰς ὄγκον αἴρουσα τὰς φλέβας, οὐ μὴν αἱματικόν γε τὸ 
-Z/7/567/12	πλῆθος, ἀλλὰ πνευματικὸν ἐνδείκνυται· πνευματοῦνται γὰρ 
-Z/7/567/13	οἱ χυμοὶ θερμαινόμενοι, διὸ καὶ ὅσοι τὸν ὄγκον τῶν φλεβῶν 
-Z/7/567/14	ἀπεφήναντο πλῆθος σημαίνειν, ἐὰν δὴ προσυπακούσῃ τις ἐν 
-Z/7/567/15	τῷ λόγῳ τὸ κατ' ἐκείνας τὰς φλέβας, ἐν αἷσπερ ἂν ᾖ τοῦτο 
-Z/7/567/16	γινόμενον, ὀρθῶς εἰρηκέναι δόξουσι· πλείων γὰρ ἡ οὐσία 
-Z/7/567/17	τῆς πρόσθεν ἐξ ἀνάγκης ἐστὶν ἡ τὸν ὄγκον ἐργασαμένη ταῖς 
-Z/7/567/18	φλεψὶν, οὐ μὴν ἤδη γέ πω δῆλον, ὁποῖόν τι τὸ πλῆθός  
-Z/7/568/1	ἐστιν· ἁπάσης γὰρ οὐσίας πολλῆς ὁ παρὰ φύσιν ὄγκος κοι-
-Z/7/568/2	νὸς, εἴτ' οὖν αἷμα καθαρὸν, εἴτε χολῶδες, εἴτε ὀῤῥῶδες, 
-Z/7/568/3	εἴτε φλεγματικὸν, εἴτε πνευματικὸν ὑπάρχοι. ὥσπερ δὲ τοῦτο 
-Z/7/568/4	κοινὸν ἁπάσης πλήθους διαφορᾶς, οὕτω καὶ τὸ τείνεσθαι 
-Z/7/568/5	τὰς φλέβας· ἕπεται γὰρ καὶ τοῦτο τῷ ποσῷ τοῦ πλήθους, 
-Z/7/568/6	οὐ τῇ κατ' εἶδος διαφορᾷ. ὥστε ὁ ὄγκος καὶ ἡ τονώδης αἴ-
-Z/7/568/7	σθησις οὐ μᾶλλόν τι χυμῶν ἢ πνεύματος ἐνδείξεται πλῆθος. 
-Z/7/568/8	εἰ μὲν οὖν τις ὧδέ πως ἀποφαίνοιτο, κατὰ τὰς τονώδεις αἰ-
-Z/7/568/9	σθήσεις ἐξ ἀνάγκης πλῆθός ἐστιν, ἀληθὲς ἐρεῖ· καὶ μέντοι 
-Z/7/568/10	κᾂν οὕτως φήσειε, τὸ ἐν αἰσθητικοῖς μέρεσι πλῆθος ἐπιφέρει 
-Z/7/568/11	τινὰ διάθεσιν, ἀληθὲς ἐρεῖ καὶ αὐτός· εἰ δέ τις ἐάσας τὸ γε-
-Z/7/568/12	νικὸν ὄνομα τὸ πλῆθος ἢ τοὺς χυμοὺς, αἷμα παραλάβοι κατὰ 
-Z/7/568/13	τὸν λόγον, οὐκ ἐξ ἀνάγκης ἀληθεύσει δι' ἃς εἴπομεν αἰτίας. 
-Z/7/568/14	ὅτι δ' οὐδὲ πλήθους ἁπλῶς, ἀλλὰ τοῦ τε μᾶλλόν τε καὶ ἧτ-
-Z/7/568/15	τον ἐν αὐτῷ, διαφορὰ κατά τε τοὺς ὄγκους ἐστὶ τῶν φλεβῶν 
-Z/7/568/16	καὶ τὴν τονώδη διάθεσιν, ἐνθένδε δῆλον. οὐδὲν μόριον ὀδυνᾶ-
-Z/7/568/17	ται πληρούμενον, ἄνευ τοῦ προγενέσθαι τάσιν αὐτῷ βιαίαν·  
-Z/7/569/1	εἰ δ' εἰς ὄγκον μὲν αἴροιτο, μηδέπω δέ γε βιαίως, οὐδέπω 
-Z/7/569/2	τείνεται· διὸ τῶν ὄγκων ὁ μὲν σὺν τῇ τάσει πλέον ἐνδείξε-
-Z/7/569/3	ται πλῆθος· ὁ δ' ἄνευ ταύτης, ἧττον. πῶς οὖν ἐνίοτε 
-Z/7/569/4	τὴν ἀρχὴν μὲν οὐδεὶς ὄγκος φαίνεται κατὰ τὰς φλέβας, ἡ το-
-Z/7/569/5	νώδης δέ ἐστιν ἰσχυρὰ αἴσθησις; χρὴ γὰρ δήπου τοῖς μεγίστοις 
-Z/7/569/6	ὄγκοις ἐζεῦχθαι τὴν τοῦ τείνεσθαι διάθεσιν. ἢ διότι ἔστιν 
-Z/7/569/7	ὅτε ὁ ὄγκος ἐν ταῖς διὰ βάθους φλεψὶ μόναις διατείνει, ἢ εἴπερ 
-Z/7/569/8	ἐν τῷ πρὸς τὶ τὸ πλῆθος, ὑπὲρ οὗ νῦν διαλεγόμεθα, τό 
-Z/7/569/9	τε πρὸς τὴν εὐρύτητα τῶν ἀγγείων, ὃ δὴ πλῆθος λέγομεν, 
-Z/7/569/10	οὐδέπω τεινομένων αὐτῶν, τό τε πρὸς τὴν τοῦ χιτῶνος τά-
-Z/7/569/11	σιν, δηλονότι τοῦ μὲν ὄγκου τῶν φλεβῶν ἡ γένεσις ἐπιδίδο-
-Z/7/569/12	ται, εἰς πλῆθος αὐξομένου τοῦ αἵματος ὑπὲρ τὴν φυσικὴν 
-Z/7/569/13	ἑκάστου συμμετρίαν, ὥστε πρὸς ἐκείνην λέγεσθαι τὸ πολύ· 
-Z/7/569/14	τὸ δὲ τείνεσθαι τὸν χιτῶνα τῆς ὡς πρὸς αὐτὸν συμμετρίας ἐν-
-Z/7/569/15	δείκνυται (διὰ) ὑπερβολήν. οὐ γὰρ ἔστι κατὰ φύσιν οὐδὲ 
-Z/7/569/16	τοῦτον τείνεσθαι. ἑκάτερον οὖν ἐστι πολὺ, τό τε ὡς πρὸς 
-Z/7/569/17	τὴν κατὰ φύσιν συμμετρίαν αἷμα καὶ πρὸς τὴν τοῦ χι-
-Z/7/569/18	τῶνος τάσιν. ἐμνημόνευσε δὲ Ἐρασίστρατος ἀμφοτέρων,  
-Z/7/570/1	οὐ διηρθρωμένως μὲν, οὐδ' οὕτω σαφῶς, ὡς ἐγὼ νῦν, ὅμως 
-Z/7/570/2	ὥστε ἐμφῆναι, διττὴν εἶναι φύσιν τοῦ πράγματος. ἐν μὲν 
-Z/7/570/3	γὰρ τῷ φάναι· κατ' ἀρχὰς μὲν οὖν καὶ μετρίως πληρουμένων 
-Z/7/570/4	τῶν ἀγγείων, εὐτονώτεροί τε καὶ ἰσχυρότεροι ἑαυτῶν φαίνον-
-Z/7/570/5	ται παρὰ τὸ εἰθισμένον· ἐνεδείξατο τὴν ὑπὲρ τὸ κατὰ φύσιν 
-Z/7/570/6	ἑκάστῳ τοῦ αἵματος ἀμετρίαν· ἐν οἷς δὲ ἑξῆς ἐπιφέρων φη-
-Z/7/570/7	σίν· ἐπιπλέον δὲ πληρώσεως ἐρχομένων, παρεμπίμπλανται 
-Z/7/570/8	βραχίονές τε καὶ χεῖρες καὶ κνῆμαι· τὴν ὡς πρὸς τοὺς 
-Z/7/570/9	περιέχοντας τὸ αἷμα χιτῶνας· ὥστε ὅρους εἶναι δύο τῆς τοῦ 
-Z/7/570/10	αἵματος ὑπὲρ τὸ κατὰ φύσιν αὐξήσεως, ἕνα μὲν ἐν τῷ πλη-
-Z/7/570/11	ροῦσθαι τῶν φλεβῶν τοὺς χιτῶνας εἰς ὄγκον αἰρομένους ὑπὲρ 
-Z/7/570/12	τὸ κατὰ φύσιν ἑκάστω, τὸν δὲ ἕτερον, ἐν ᾧ πρὸς τούτῳ 
-Z/7/570/13	τείνεσθαι συμβαίνει, μηδ' ἑτέρου τούτων ὁρωμένου ἐν τῷ 
-Z/7/570/14	πρὸς τὴν δύναμιν πλήθει. περὶ μὲν δὴ τούτων ἱκανὰ καὶ 
-Z/7/570/15	ταῦτα. 
-Z/7/570/16	  Τὸ δὲ ἔρευθος, οὗ καὶ αὐτοῦ μνημονεύου-
-Z/7/570/17	σιν, οὐ πλήθους μὲν ἁπλῶς, ἀλλ' αἱματικοῦ πλήθους γνώ-
-Z/7/570/18	ρισμα. δεήσεται δὲ καὶ αὐτὸ τῶν διορισμῶν, ὧνπερ ὁ ὄγκος·  
-Z/7/571/1	εἰ γὰρ διά τι τῶν ἔξωθεν, οἷον ἥλιον, ἢ λουτρὸν, ἢ γυμνά-
-Z/7/571/2	σιον, ἢ πορείαν, ἢ ἁπλῶς εἰπεῖν θερμασίαν, οὕτω δὲ καὶ 
-Z/7/571/3	θυμὸν, αἰδώ τε καὶ ὅσα τοιαῦτα, καὶ ὀξεῖς δὲ πυρετοὶ τού-
-Z/7/571/4	του τοῦ γένους εἰσίν. ὅταν οὖν ὁμαλὴ μὲν ὅλου τοῦ σώμα-
-Z/7/571/5	τος ἡ διάθεσις εἴη, μηδὲν δὲ ὧν εἴρηκα παρῇ, τότ' ἂν εἴη τὸ 
-Z/7/571/6	ἔρευθος αἱματικοῦ πλήθους γνώρισμα τοῦ καθ' ὅλον τὸ 
-Z/7/571/7	ζῶον· εἰ δὲ μὴ, ἀλλά γε κατ' ἐκεῖνο τὸ μέρος, ἐν ᾧ φαίνεται· 
-Z/7/571/8	καὶ γὰρ καὶ ταῖς φλεγμοναῖς, εἴτ' ἐν τοῖς μυσὶν εἴτ' ἐν τοῖς 
-Z/7/571/9	δέρμασι συνίστανται, τὸ τοιοῦτον ἕπεται χρῶμα, πλη-
-Z/7/571/10	θωρικοῖς ὑπάρχουσι νοσήμασιν. ἀλλὰ περὶ φλεγμονῶν αὐ-
-Z/7/571/11	τάρκως ἐν ἑτέρῳ λέλεκται γράμματι, καθ' ὃ περὶ τῶν παρὰ 
-Z/7/571/12	φύσιν ὄγκων ἐπεσκεπτόμεθα, δεικνύντες ἅπαντας αὐτοὺς ὑπὸ 
-Z/7/571/13	πλήθους ὑγρῶν ἄλλοτε εἰς ἄλλο μέρος κατασκηπτόντων 
-Z/7/571/14	συνίστασθαι· νυνὶ δὲ οὐ περὶ τούτων, ἀλλ' ὡς εἴρηται πρό-
-Z/7/571/15	σθεν, ὑπὲρ ἐκείνου τοῦ πλήθους ὁ λόγος ἐστὶν, ὃ καλεῖται 
-Z/7/571/16	πληθώρα, πλεονεξίας χυμῶν ἐν ὅλῳ τῷ σώματι συνιστα-
-Z/7/571/17	μένης. οὐχ οὕτω δέ φαμεν ἐν ὅλῳ τῷ σώματι συνίστασθαι  
-Z/7/572/1	πλῆθος, ὡς ἀμφότερα τὰ γένη τῶν σωμάτων βεβλάφθαι, τό 
-Z/7/572/2	τε τῶν ἀγγείων καὶ τῶν σαρκῶν· ἐγχωρεῖ γὰρ ἐνίοτε καὶ 
-Z/7/572/3	μόνον θάτερον, ὡς εἰ καὶ ὁπότερον ἂν καταληφθείη μέρος, 
-Z/7/572/4	οὐ καθ' ἕν τι μόριον ἢ δύο τούτου συμβεβηκότος, ἀλλ' ἤτοι 
-Z/7/572/5	καθ' ὅλον τὸ ζῶον, ἢ κατὰ τὰ πλεῖστά τε καὶ κυριώτατα 
-Z/7/572/6	μόρια. καὶ τοίνυν καὶ τὸν ὄγκον ὁποῖός τίς ἐστιν ἐξευρεῖν, 
-Z/7/572/7	ἱκανῶς γεγυμνασμένου περὶ τὰς διαγνώσεις ἀνδρὸς δεῖται. 
-Z/7/572/8	κατὰ γοῦν τὸ σαρκῶδες γένος ἕτερος μὲν ὄγκος ὁ τῶν σαρ-
-Z/7/572/9	κῶν αὐτῶν ἐστιν, ἕτερος δὲ ὁ τῶν ὑγρῶν, ὥσπερ ἐρίου τινὸς 
-Z/7/572/10	ἢ σπογγιᾶς τῆς σαρκὸς ἐμπεπλησμένης ὑγρότητος περιττῆς· 
-Z/7/572/11	ἀλλὰ τὸ μὲν τοιοῦτον πλῆθος ἐν ταῖς σαρξὶν ἀνάλογόν ἐστι 
-Z/7/572/12	τῷ κατὰ τὸ ἔγχυμα καλουμένῳ ἐπὶ τῶν ἀγγείων, τὸ δὲ ἕτερον 
-Z/7/572/13	πλῆθος τῷ πρὸς τὴν δύναμιν, ἢ μετὰ βάρους· μεμνημένων 
-Z/7/572/14	ἡμῶν, ὅτι μηδὲν διήνεγκεν, ἢ περὶ συνθέτου σαρκὸς, ἢ περὶ 
-Z/7/572/15	μυῶν διαλέγεσθαι, καὶ ὡς εἴ ποτε περὶ πλήθους ὁ λόγος γί-
-Z/7/572/16	γνοιτο τοῦ κατὰ τὰς σάρκας, τοὺς μῦς ἀκουστέον ἐστὶν, οὐ 
-Z/7/572/17	τὴν ἁπλῆν ἐκείνην σάρκα, τὴν ὑπό τινων ὀνομαζομένην πα-
-Z/7/572/18	ρέγχυμα. κατὰ μέντοι τὰς ἀρτηρίας καὶ τὰς φλέβας οὐχ  
-Z/7/573/1	ὁμοίως αἰσθητόν ἐστι τὸ πρὸς τὴν δύναμιν πλῆθος αὐτοῖς 
-Z/7/573/2	τοῖς κάμνουσιν, ἀλλ' ὅσοι περ ἂν ὦσιν αἰσθητικώτατοι φύσει, 
[0057]  [050]  []  []

-Z/7/573/3	μόνοις τοῖς τοιούτοις ἀμυδρόν τι καὶ βύθιον βάρος ἐμφαίνε-
-Z/7/573/4	ται κατὰ τὸ σῶμα· διὸ χρὴ ζητεῖν ἕτερά τινα σαφέστερα τοῦ 
-Z/7/573/5	τοιούτου πλήθους γνωρίσματα. ῥᾳθύμως δὲ τῶν πλείστων 
-Z/7/573/6	ἰατρῶν ἐσχηκότων ἀμφ' αὐτὸ, καὶ τῶν μὲν οὐδ' ὅλως ἐπι-
-Z/7/573/7	σκεψαμένων, ἐνίων δὲ ἐλλιπῶς, οὐδὲν εὕρηται βεβαιότερον 
-Z/7/573/8	γνώρισμα τῆς τῶν ἀρτηριῶν κινήσεως, ἣν ἐν ταῖς περὶ τῶν 
