
[0057]  [036]  []  []

-Z/6/1/t	        {ΓΑΛΗΝΟΥ ΥΓΙΕΙΝΩΝ ΛΟΓΟϹ Α} 
-Z/6/13/8	  Ἐπὶ τούτοιϲ ὑποκειμένοιϲ ἀρκτέον ἂν εἴη ἐνθένδε τῆϲ ὑγιει-
-Z/6/13/9	νῆϲ πραγματείαϲ. ἐπειδὴ ϲυμμετρία τίϲ ἐϲτιν ἡ ὑγεία, ϲυμμετρία δὲ 
-Z/6/13/10	πᾶϲα κατὰ διττὸν ἀποτελεῖται καὶ λέγεται τρόπον, ποτὲ μὲν εἰϲ ἄκρον 
-Z/6/13/11	ἥκουϲα καὶ ὄντωϲ οὖϲα ϲυμμετρία, ποτὲ δὲ ἀπολειπομένη βραχύ τι 
-Z/6/13/12	τῆϲ ἀκριβείαϲ, εἴη ἂν καὶ ἡ ὑγιεινὴ ϲυμμετρία διττή τιϲ· ἡ μὲν γὰρ 
-Z/6/13/13	ἀκριβήϲ τε καὶ ἀρίϲτη καὶ τελέα καὶ ἄκρα, ἡ δὲ ἀπολειπομένη μὲν 
-Z/6/13/14	ταύτηϲ, οὐ μὴν ἤδη γέ πω τοϲούτῳ, ὡϲ λυπεῖϲθαι τὸ ζῷον. ἔϲτι δὲ 
-Z/6/14/1	κἀνταῦθα λογική τιϲ μᾶλλον | ἢ κατὰ τὴν χρείαν τῆϲ τέχνηϲ ζήτηϲιϲ, 
-Z/6/14/2	οὐ ϲυγχωρούντων ἐνίων ἕτερον ἑτέρου μᾶλλον ὑγιαίνειν οὐδ' εἶναι 
-Z/6/14/3	πλάτοϲ ἱκανὸν ἐν τῇ διαθέϲει τοῦ ϲώματοϲ, ἣν ὑγείαν ὀνομάζομεν, 
-Z/6/14/4	ἀλλ' ἕν τι καὶ ἀπηκριβωμένον οὖϲαν αὐτὴν ἄτμητον εἰϲ τὸ μᾶλλόν τε 
-Z/6/14/5	καὶ ἧττον ὑπάρχειν. ἐμοὶ δὲ ὥϲπερ τὸ λευκὸν ϲῶμα τὸ μὲν ἧττον 
-Z/6/14/6	φαίνεται λευκὸν εἶναι, τὸ δὲ μᾶλλον, οὕτω καὶ τὸ ὑγιαῖνον ἧττόν τε 
-Z/6/14/7	καὶ μᾶλλον εἶναι δοκεῖ τοιοῦτον. διττὴ δὲ ἀπόδειξιϲ τοῦ λόγου· μία 
-Z/6/14/8	μὲν ἐκ τῆϲ κατὰ τὰϲ ἡλικίαϲ μεταπτώϲεωϲ· ἀφ' οὗ γὰρ ἂν ἀποκυηθῇ 
-Z/6/14/9	τὸ ζῷον, ἀεὶ μεταβάλλειν ἀναγκαῖον αὐτοῦ τὴν κρᾶϲιν, ὡϲ ἔμπροϲθεν 
-Z/6/14/10	ἐδείκνυμεν· ὥϲτ', εἴπερ ἐν μὲν τῷ ποιῷ τῆϲ κράϲεωϲ ἡ ὑγεία, τὸ ποιὸν 
-Z/6/14/11	δ' οὐ μένει ταὐτόν, οὐδὲ τὴν ὑγείαν ἐγχωρεῖ τὴν αὐτὴν φυλάττεϲθαι. 
-Z/6/14/12	δευτέρα δ' ἀπόδειξιϲ ἐκ τῆϲ κατὰ τὰϲ ἐνεργείαϲ διαφορᾶϲ· οὔτε γὰρ 
-Z/6/14/13	τοῖϲ ὀφθαλμοῖϲ ὡϲαύτωϲ ἅπαντεϲ οἱ ὑγιαίνοντεϲ ὁρῶϲιν, ἀλλ' οἱ μὲν 
-Z/6/14/14	μᾶλλον, οἱ δ' ἧττον, οὔτε τοῖϲ ὠϲὶν ὁμοίωϲ ἀκούουϲιν, ἀλλὰ κἀνταῦθα  
-Z/6/15/1	πάμπολυ τὸ μᾶλλόν | τε καὶ ἧττον, οὐ μὴν οὐδὲ τοῖϲ ϲκέλεϲιν ὡϲαύ-
-Z/6/15/2	τωϲ θέουϲιν οὐδὲ ἀντιλαμβάνονται ταῖϲ χερϲὶν οὐδὲ τοῖϲ ἄλλοιϲ ἅπα-
-Z/6/15/3	ϲιν ὀργάνοιϲ ὡϲαύτωϲ ἐνεργοῦϲιν, ἀλλ' ὁ μέν τιϲ βέλτιον, ὁ δὲ χεῖ-
-Z/6/15/4	ρον. εἴπερ οὖν αἱ διαφοραὶ τῶν ἐνεργειῶν ταῖϲ τῶν κράϲεων διαφο-
-Z/6/15/5	ραῖϲ ἀκολουθοῦϲιν, ἀνάγκη τοϲαύταϲ εἶναι τὰϲ τῶν κράϲεων διαφοράϲ, 
-Z/6/15/6	ὅϲαιπέρ εἰϲι καὶ αἱ τῶν ἐνεργειῶν. εἰ δὲ μὴ κράϲεων ἐθέλοι τιϲ λέ-
-Z/6/15/7	γειν, ἀλλὰ καταϲκευῶν, ἵν' ἐπὶ πάϲαιϲ ταῖϲ αἱρέϲεϲιν ὁ λόγοϲ ἐκτεί-
-Z/6/15/8	νοιτο, ϲυμπεραίνοιτ' ἂν ὡϲαύτωϲ. ϲυμμετρία γὰρ δή τιϲ ἡ ὑγεία κατὰ 
-Z/6/15/9	πάϲαϲ ἐϲτὶ τὰϲ αἱρέϲειϲ, ἀλλὰ καθ' ἡμᾶϲ μὲν ὑγροῦ καὶ ξηροῦ καὶ 
-Z/6/15/10	θερμοῦ καὶ ψυχροῦ, κατ' ἄλλουϲ δὲ ὄγκων καὶ πόρων, κατ' ἄλλουϲ 
-Z/6/15/11	δὲ ἀτόμων ἢ ἀνάρμων ἢ ἀμερῶν ἢ ὁμοιομερῶν ἢ ἀνομοιομερῶν ἢ 
-Z/6/15/12	ὅτου δὴ τῶν πρώτων ϲτοιχείων, ἀλλὰ κατὰ πάνταϲ γε διὰ τὴν ϲυμ-
-Z/6/15/13	μετρίαν αὐτῶν ἐνεργοῦμεν τοῖϲ μορίοιϲ. εἴπερ οὖν διαφόρωϲ ἐνερ-
-Z/6/15/14	γοῦμεν, διάφορόϲ ἐϲτι καὶ ἡ καθ' ἕκαϲτον ϲυμμετρία τῶν ϲτοιχείων, 
-Z/6/15/15	ἥπερ ἦν ἡ ὑγεία. 
-Z/6/16/1	  καὶ μὴν καὶ χωρὶϲ τοῦ τῶν ϲτοιχείων μνημονεύειν | ὧδ' ἂν ὁ λό-
-Z/6/16/2	γοϲ ἐρωτηθείη. εἴπερ ταῖϲ καταϲκευαῖϲ τῶν μορίων ἀκολουθοῦϲιν αἱ 
-Z/6/16/3	ἐνέργειαι, ὅϲαιπερ ἂν ὦϲιν ἐν ταῖϲ ἐνεργείαιϲ αἱ διαφοραί, τοϲαῦται 
-Z/6/16/4	κἀν ταῖϲ καταϲκευαῖϲ ἔϲονται· ἀλλὰ μὴν ἀκολουθοῦϲιν ταῖϲ καταϲκευαῖϲ 
-Z/6/16/5	αἱ ἐνέργειαι· ἀναγκαῖον ἄρα τοϲαύταϲ εἶναι τῶν καταϲκευῶν τὰϲ διαφο-
-Z/6/16/6	ράϲ, ὅϲαιπερ καὶ αἱ τῶν ἐνεργειῶν. εἰϲὶ δὲ αἱ τῶν ἐνεργειῶν πάμπολλαι· 
[0057]  [036]  []  []

-Z/6/16/7	〈πάμπολλαί〉 τινεϲ ἄρα καὶ τῶν καταϲκευῶν εἰϲιν. εἴπερ οὖν ἐν ἅπαϲι 
-Z/6/16/8	τοῖϲ ὑγιαίνουϲιν αἱ καταϲκευαὶ τῶν μορίων ὑπάρχουϲι ϲύμμετροι, διά-
-Z/6/16/9	φοροι δέ εἰϲιν αἱ καταϲκευαί, διότι καὶ αἱ ἐνέργειαι διάφοροι, πάμ-
-Z/6/16/10	πολλαί τινεϲ ἄρα ϲυμμετρίαι τῶν καταϲκευῶν ἔϲονται, ὥϲτε καὶ ὑγεῖαι 
-Z/6/16/11	πάμπολλαι. καὶ μὴν εἰ διαφέρουϲιν ἀλλήλων αἱ κατὰ μέροϲ ὑγεῖαι, 
-Z/6/16/12	ἤτοι κατὰ τὸ κοινὸν ἐν ἁπάϲαιϲ εἶδοϲ, ἀφ' οὗπερ ὑγεῖαι λέγονται, 
-Z/6/16/13	διοίϲουϲιν ἢ κατὰ τὸ μᾶλλόν τε καὶ ἧττον ἀλλήλων διαφέρουϲιν· ἀλλὰ 
-Z/6/16/14	μὴν οὐ κατὰ τὸ κοινὸν 〈εἶδοϲ〉· ἀδιάφοροι γάρ εἰϲιν αἱ ὑγεῖαι· κατὰ 
-Z/6/16/15	τὸ μᾶλλον ἄρα καὶ ἧττον ἀλλήλων διαφέρουϲιν. ὥϲπερ γὰρ ἡ ἐν τῇ 
-Z/6/17/1	χιόνι λευκότηϲ τῆϲ ἐν | τῷ γάλακτι λευκότητοϲ, ᾗ μὲν λευκόν ἐϲτιν, 
-Z/6/17/2	οὐ διαφέρει, τῷ μᾶλλον δὲ καὶ ἧττον διαφέρει, τὸν αὐτὸν δὴ τρόπον 
-Z/6/17/3	ἡ ἐν τῷ Ἀχιλλεῖ, φέρε εἰπεῖν, ὑγεία τῆϲ ἐν τῷ Θερϲίτῃ ὑγείαϲ, καθ' 
-Z/6/17/4	ὅϲον μὲν ὑγεία, ταὐτόν ἐϲτιν, ἑτέρῳ δέ τινι διάφοροϲ· καὶ τοῦτο τὸ 
-Z/6/17/5	ἕτερον οὐδὲν ἄλλο ἐϲτὶν ἢ τὸ μᾶλλόν τε καὶ ἧττον. οὔτε γὰρ ὡϲ οὐ  
-Z/6/17/6	διαφερόντωϲ ἐνεργοῦμεν ἅπαντεϲ ἔνεϲτιν εἰπεῖν οὔθ' ὡϲ δι' ἄλλο τι 
-Z/6/17/7	τὴν ἀνιϲότητα ταύτην ἔχομεν ἢ διὰ τὴν καταϲκευήν, ἀφ' ἧϲ ἐνεργοῦ-
-Z/6/17/8	μεν. εἰ δέ τιϲ φήϲει μόνουϲ μὲν τοὺϲ ἅπαϲι τοῖϲ μορίοιϲ ἄκρωϲ ἐνερ-
-Z/6/17/9	γοῦνταϲ ὑγιαίνειν, ἡμᾶϲ δὲ τοὺϲ ἄλλουϲ, ὅϲοι χεῖρον ἐκείνων ἔχομεν, 
-Z/6/17/10	οὐχ ὑγιαίνειν, ἴϲτω ϲυμπάϲηϲ οὗτοϲ τῆϲ ὑγιεινῆϲ πραγματείαϲ ἀνατρέ-
-Z/6/17/11	πων τὴν ὑπόθεϲιν. εἰ γὰρ δὴ τὸ φυλάττειν ἣν παρελάβομεν ὑγείαν ὁ 
-Z/6/17/12	ϲκοπόϲ ἐϲτιν αὐτῆϲ, οὐδεὶϲ δὲ ἡμῶν ὑγιαίνει, πρόδηλον, ὡϲ ἐπ' οὐδε-
-Z/6/17/13	νὸϲ ἐνεργοῦϲαν ἕξομεν ἣν νῦν ϲυϲτῆϲαι βουλόμεθα τέχνην ὑγιεινήν· 
-Z/6/18/1	οὐκοῦν οὐδὲ ζητητέον αὐτήν, ἀλλὰ ϲιωπητέον τε καὶ | καταπαυϲτέον 
-Z/6/18/2	ἤδη τὸν λόγον. ἁπάϲαϲ οὖν ἐκκόπτει τὰϲ τοιαύταϲ ἀπορίαϲ ἡ τοῦ 
-Z/6/18/3	ἀληθοῦϲ γνῶϲιϲ· οὐ γὰρ ἡ τελεία μόνον ἥτιϲ ἐϲτὶν ἄτμητοϲ ὑγεία λέ-
-Z/6/18/4	γεταί τε καὶ ἔϲτιν, ἀλλὰ καὶ ἡ τῆϲδε μὲν ἀποδέουϲα, μηδέπω δὲ τῆϲ 
-Z/6/18/5	χρείαϲ ἐκπεπτωκυῖα. χρῄζομεν γὰρ ἅπαντεϲ ἄνθρωποι τῆϲ ὑγείαϲ εἴϲ 
-Z/6/18/6	τε τὰϲ κατὰ τὸν βίον ἐνεργείαϲ, ἃϲ ἐμποδίζουϲί τε ἢ διακόπτουϲι καὶ 
-Z/6/18/7	καταπαύουϲιν αἱ νόϲοι, καὶ προϲέτι τῆϲ ἀνοχληϲίαϲ ἕνεκεν· ὀχλούμεθα 
-Z/6/18/8	γὰρ ἐν ταῖϲ ὀδύναιϲ οὐ ϲμικρά. τὴν δὲ τοιαύτην κατάϲταϲιν, ἐν ᾗ 
-Z/6/18/9	μήτε ὀδυνώμεθα μήτε ἐν ταῖϲ κατὰ τὸν βίον ἐνεργείαιϲ ἐμποδιζόμεθα, 
-Z/6/18/10	καλοῦμεν ὑγείαν, ἣν εἴ τιϲ ἑτέρῳ προϲαγορεύειν ὀνόματι βούλεται, 
-Z/6/18/11	πλέον οὐδὲν ἐκ τούτων ϲχήϲει, καθάπερ οὖν οὐδ' οἱ τὴν ‘ἀειπάθειαν’ 
-Z/6/18/12	εἰϲάγοντεϲ. εἰ μὲν γὰρ διὰ τοῦτ' εἰϲῆγον αὐτήν, ὅτι πᾶν ϲῶμα γεννη-
-Z/6/18/13	τόν, ὥϲπερ τὰϲ τῆϲ γενέϲεωϲ αἰτίαϲ, οὕτω καὶ τὰϲ τῆϲ φθορᾶϲ ἔχει 
-Z/6/18/14	ϲυμφύτουϲ ἐξ ἀρχῆϲ, ὡϲ ἡμεῖϲ ἐπεδείξαμεν ἔμπροϲθεν, ἐπῃνοῦμεν ἂν 
-Z/6/18/15	αὐτούϲ, ὡϲ ἀληθῆ τε ἅμα καὶ παλαιὰ πρεϲβεύονταϲ δόγματα. ἐπειδὴ 
-Z/6/19/1	δὲ ὁμοειδῆ τὴν τῶν ὑγιαινόντων ϲωμάτων κατάϲταϲιν εἶναι | βούλονται 
-Z/6/19/2	τοῖϲ τῶν νοϲούντων, οὐκέτ' ἐπαινοῦμεν οὐδὲ ἀποδεχόμεθα τὸ δόγμα· 
-Z/6/19/3	βέλτιον γὰρ ἦν μακρῷ πλάτοϲ ὑποθέϲθαι ϲυχνὸν ἔχειν τὴν ὑγείαν 
-Z/6/19/4	ἤπερ ἅπανταϲ ἡμᾶϲ ἀπαύϲτῳ νοϲήματι ϲυνέχεϲθαι. καὶ γὰρ εἰ τὰ ϲπέρ-
-Z/6/19/5	ματα τῶν νόϲων ἐνυπάρχειν ἡμῖν φαϲιν, ἀλλά τοι ϲυγχωροῦϲί γε καὶ 
-Z/6/19/6	αὐτοὶ διὰ τὴν ϲμικρότητα τὴν αἴϲθηϲιν ἡμῶν ἐκφεύγειν αὐτά. ἔϲτω 
-Z/6/19/7	τοίνυν, εἰ βούλονται, καὶ ὀδυνηρά τιϲ ἐν ἡμῖν διάθεϲιϲ, ἀλλ' οὕτω 
-Z/6/19/8	ϲμικρὰ καὶ ἀναίϲθητοϲ, ὡϲ μὴ λυπεῖν τοὺϲ ἔχονταϲ. ἔϲτωϲαν, εἰ βού-
-Z/6/19/9	λονται καὶ πυρετοί, ἀλλ' οὕτω ϲμικροί, ὡϲ μήτ' αἴϲθηϲιν ἀπ' αὐτῶν 
-Z/6/19/10	ἡμῖν γίνεϲθαι μηδεμίαν ἐξεῖναί τε καὶ πολιτεύεϲθαι καὶ λούεϲθαι καὶ 
-Z/6/19/11	πίνειν ἐϲθίειν τε καὶ τἄλλα πράττειν, ὧν δεόμεθα. τὸ γὰρ τῆϲ χρείαϲ 
-Z/6/19/12	ἀπαρεμπόδιϲτον ὁρίζει μᾶλλον τὴν ὑγείαν. οὐδὲ γὰρ ἡ τῶν ἐνεργειῶν 
-Z/6/19/13	ἀϲθένεια νόϲου γνώριϲμά ἐϲτιν, οὕτωϲ ἁπλῶϲ εἰποῦϲιν, ἀλλὰ ἡ παρὰ  
-Z/6/19/14	τὴν ἑκάϲτου φύϲιν. ὡϲ ἅπαντέϲ γε κακῶϲ ὁρῶμεν, εἰ τοῖϲ ἀετοῖϲ τε 
-Z/6/20/1	καὶ Λυγκεῖ παραβαλλοίμεθα, καὶ δὴ καὶ ἀκούομεν οὐκ ὀρ|θῶϲ, εἰ Με-
-Z/6/20/2	λάμποδι, καὶ τοῖϲ ποϲὶν ἀρρωϲτοῦμεν, εἴ τιϲ ἡμᾶϲ Ἰφίκλῳ παραβάλλοι, 
-Z/6/20/3	καὶ ταῖϲ χερϲίν, εἰ Μίλωνι, καὶ καθ' ἕκαϲτον δὴ μόριον ἐγγὺϲ ἂν ἥκειν 
-Z/6/20/4	νομιϲθείημεν πηρώϲεωϲ, εἰ τοῖϲ πρωτεύϲαϲι κατά τι παραβαλλοίμεθα. 
-Z/6/20/5	τίϲ γοῦν ἡμῶν φαύλωϲ ἔχειν οἴεται τῶν ὀφθαλμῶν, εἰ μὴ βλέποι 
-Z/6/20/6	τοὺϲ ἀπὸ δυοῖν ϲταδίων μύρμηκαϲ; ἢ τίϲ τῶν ὤτων, εἰ μὴ κατακούοι 
-Z/6/20/7	τῶν ἀφ' ἑξήκοντα ϲταδίων; ἀλλ' εἰ ταῦτα τὰ γράμματα, τὰ κατὰ 
-Z/6/20/8	τουτὶ τὸ βιβλίον ἐγγεγραμμένα, μὴ βλέποι τιϲ ὀρθῶϲ, εὐλόγωϲ οὗτοϲ 
-Z/6/20/9	〈ἂν〉 ἤδη μέμψαιτο τὰϲ ὄψειϲ· οὐ μὴν οὐδ' εἰ ταῦτα τέϲϲαραϲ ἀπο-
-Z/6/20/10	ϲτήϲαϲ πήχειϲ μὴ βλέποι, δικαίωϲ ἂν μέμφοιτο, πλὴν εἰ τῶν οὕτω τιϲ 
-Z/6/20/11	ὀξυωπεϲτάτων εἴη τὴν φύϲιν, ὡϲ καὶ ταῦτα ἐμβλέπειν. οὕτω γάρ, οἶμαι, 
-Z/6/20/12	καὶ μέμψεται καὶ δικαίωϲ φήϲει, ὥϲπερ ἅπαντεϲ ἄνθρωποι λέγουϲιν, ὡϲ 
-Z/6/20/13	τόδε τι κατὰ τὸν ἔμπροϲθεν χρόνον ἐνεργῶν εἶτα νῦν οὐκ ἐνεργεῖ. 
-Z/6/20/14	τὸν μὲν γὰρ τοιοῦτον ἐν νόϲῳ τινὶ φήϲομεν ὑπάρχειν, εἴπερ μὴ διὰ 
-Z/6/20/15	γῆραϲ ταῦτα πάϲχοι· καίτοι καὶ τοῦτο νόϲον εἶναι λέγουϲιν ἔνιοι. τοὺϲ 
-Z/6/21/1	δ' ἄλλουϲ ἅπανταϲ, οἷϲ φύϲει μήτ' ὀξὺ βλέπειν μήτ' | ἀκούειν ὑπάρ-
-Z/6/21/2	χει μήτε θέειν ὠκέωϲ ἤ τι τοιοῦτον ἕτερον ἐνεργεῖν ἰϲχυρῶϲ, οὔτε 
-Z/6/21/3	νοϲεῖν οὔθ' ὅλωϲ παρὰ φύϲιν ἔχειν ὑποληψόμεθα. πᾶϲαι μὲν γὰρ αἱ 
-Z/6/21/4	νόϲοι παρὰ φύϲιν, οὐκ ἔχουϲι δ' οἱ τοιοῦτοι παρὰ φύϲιν, ὥϲπερ οὐδ' 
-Z/6/21/5	οἱ γέροντεϲ. οὔκουν ἁπλῶϲ γε τῶν ἐνεργειῶν εὐρωϲτίᾳ τε καὶ ἀρρω-
-Z/6/21/6	ϲτίᾳ κριτέον ἐϲτὶ τοὺϲ ὑγιαίνοντάϲ τε καὶ νοϲοῦνταϲ, ἀλλὰ τὸ κατὰ 
-Z/6/21/7	φύϲιν μὲν τοῖϲ ὑγιαίνουϲι, τὸ παρὰ φύϲιν δὲ τοῖϲ νοϲοῦϲι προϲθετέον, 
-Z/6/21/8	ὡϲ εἶναι τὴν μὲν ὑγείαν διάθεϲιν κατὰ φύϲιν ἐνεργείαϲ ποιητικήν, τὴν 
-Z/6/21/9	δὲ νόϲον διάθεϲιν παρὰ φύϲιν ἐνεργείαϲ βλαπτικήν. οὔτε γὰρ ἡ κατὰ 
-Z/6/21/10	φύϲιν διάθεϲιϲ ἤδη καὶ ὑγεία (διάθεϲιϲ γάρ τίϲ ἐϲτι κατὰ φύϲιν ἥ τε 
-Z/6/21/11	τῶν Αἰγυπτίων μελανότηϲ ἥ τε τῶν Κελτῶν λευκότηϲ ἥ τε τῶν Ϲκυ-
-Z/6/21/12	θῶν πυρρότηϲ· ἀλλ' οὐδὲν τῶν τοιούτων ὑγείαϲ δηλωτικόν, διότι 
-Z/6/21/13	μηδ' ἐν χρώμαϲιν ὅλωϲ ἡ ὑγεία) οὔτ' εἰ παρὰ φύϲιν, ἤδη καὶ νόϲοϲ 
-Z/6/21/14	(ὡϲ εἴη γ' ἂν οὕτω νόϲοϲ ἥ τ' ἐξ ἡλίου μελανότηϲ ἥ τ' ἐκ μακρᾶϲ 
-Z/6/22/1	ϲκιατροφίαϲ λευκότηϲ), ἀλλὰ προϲθεῖναι χρὴ τῇ μὲν τῆϲ | ὑγείαϲ ἐννοίᾳ 
-Z/6/22/2	τὸ λόγον αἰτίαϲ ἔχειν αὐτὴν πρὸϲ τὴν ἐνέργειαν, τῇ δὲ τῆϲ νόϲου 
-Z/6/22/3	τὸ καὶ ταύτην τὴν ἐνέργειαν βλάπτειν. ἀλλὰ περὶ μὲν τούτων ἐν ἑτέ-
-Z/6/22/4	ροιϲ εἴρηται διὰ πλειόνων, εἰϲ δὲ τὰ παρόντα τοϲοῦτον ἀποχρήϲει μό-
-Z/6/22/5	νον ἐξ αὐτῶν εἰλῆφθαι, τὸ πλάτοϲ ἱκανὸν εἶναι τῆϲ ὑγείαϲ, καὶ μὴ πᾶ-
-Z/6/22/6	ϲιν ἡμῖν ὑπάρχειν ἴϲον ἀκριβῶϲ.  
-Z/6/22/7	  εἰ δέ τῳ δοκεῖ βίαιον εἶναι καὶ τὴν μὴ παντάπαϲιν ἠκριβωμένην 
-Z/6/22/8	εὐκραϲίαν ὅμωϲ ἔτι καὶ αὐτὴν ὀνομάζεϲθαι, οὗτοϲ ἀναμνηϲθήτω τῶν 
-Z/6/22/9	κατὰ τὸν βίον ἁπάντων ὀνομάτων. εὔκρατον οὖν τι καὶ πόμα φαμὲν 
-Z/6/22/10	εἶναι καὶ βαλανεῖον, οὐ μόνον ὅτι τὸ μὲν ἄλλῳ, τὸ δὲ ἄλλῳ τοιοῦτόν 
-Z/6/22/11	ἐϲτιν, ἀλλὰ ὅτι καὶ πρὸϲ τὸν αὐτὸν ἄνθρωπον ἐν πλάτει τοιοῦτον 
-Z/6/22/12	ὑπάρχει· ἀποϲτραφέντοϲ γοῦν τοῦ πίνοντοϲ, ἐμβαλὼν εἰϲ τὸ ποτήριον 
-Z/6/22/13	ἤτοι θερμὸν ἢ ψυχρὸν βραχὺ λάθοιϲ ἄν. καίτοι γ', εἴπερ ἦν οὕτωϲ 
-Z/6/22/14	ἀπηκριβωμένον τὸ εὔκρατον, ὡϲ ἓν εἶναι καὶ ἄτμητον, οὐκ ἂν ἐπι-
-Z/6/22/15	βαλόντοϲ θερμὸν ἢ ψυχρὸν ἔτι εὔκρατον ἐφαίνετο. κατὰ δὲ τὸν αὐτὸν 
-Z/6/23/1	τρόπον, οὐδ' | εἰ βραχύ τιϲ εἰϲ τὴν εὔκρατον κολυμβήθραν ἐμβάλλοι 
[0057]  [036]  []  []

-Z/6/23/2	ψυχροῦ, διαφθερεῖ παραχρῆμα τὴν εὐκραϲίαν αὐτῆϲ. οὕτω δὲ καὶ τὸ 
-Z/6/23/3	περιέχον εὔκρατον εἶναί φαμεν, εἰ καὶ βραχείαϲ ἐφ' ἑκάτερα τροπὰϲ 
-Z/6/23/4	λαμβάνει. καὶ τί θαυμαϲτόν, εἰ τὴν εὐκραϲίαν εἰϲ ἱκανὸν ἐκτείνουϲι 
-Z/6/23/5	πλάτοϲ ἅπαντεϲ, ὅπου γε καὶ τὴν ἐν ταῖϲ λύραιϲ εὐαρμοϲτίαν τὴν μὲν 
-Z/6/23/6	ἀκριβεϲτάτην δήπου μίαν καὶ ἄτμητον ὑπάρχειν εἰκόϲ, τὴν μέντοι γ' 
-Z/6/23/7	εἰϲ χρείαν ἰοῦϲαν πλάτοϲ ἔχειν; πολλάκιϲ γὰρ ἡρμόϲθαι δοκοῦϲαν ἄρι-
-Z/6/23/8	ϲτα λύραν ἕτεροϲ μουϲικὸϲ ἀκριβέϲτερον ἐφηρμόϲατο. πανταχοῦ γὰρ 
-Z/6/23/9	ἡ αἴϲθηϲιϲ ἡμῖν ἐϲτι κριτήριον ὡϲ πρὸϲ τὰϲ ἐν τῷ βίῳ χρείαϲ· ὥϲτε 
-Z/6/23/10	καὶ τὴν εὐκραϲίαν δήπου καὶ τὴν δυϲκραϲίαν αἰϲθήϲει κρινοῦμεν. 
-Z/6/23/11	  ὡϲαύτωϲ δὲ καὶ τὴν τῆϲ ἐνεργείαϲ βλάβην ἑκάϲτου τῶν βεβλαμ-
