
[0057]  [096]  []  []

-Z/18a/346/t1	{ΠΕΡΙ ΤΩΝ ΟΥΧ ΕΩΡΑΜΕΝΩΝ 
-Z/18a/401/16	παθεῖν ἐν παλαίστρᾳ συνέβη, οὐ μὴν ἄλλον γέ τινα τῶν 
-Z/18a/401/17	ἤδη τελείων ἐδυνήθην ὁμοίως ἰάσασθαι διὰ τὸ μὴ φέρειν 
-Z/18a/401/18	αὐτοὺς τὸ βίαιον τῆς ἐπιδέσεως. ἐγὼ δ' οὖν καὶ αὐτὸς 
-Z/18a/401/19	ἠσθανόμην ψυχροῦ τοῦ χωρίου πάντως, ὡς ἀναγκάζεσθαι  
-Z/18a/402/1	δι' ὅλης ἡμέρας καὶ νυκτὸς ἔλαιον καταντλεῖν θερμὸν, ὑπο-
-Z/18a/402/2	βεβλημένου δέρματος ὅλῳ τῷ σώματι, γυμνὸς γὰρ ἐπ' αὐ-
-Z/18a/402/3	τοῦ κατεκείμην, ὡς ἂν καὶ τῶν ὑπὸ κύνα καυμάτων ὄντων. 
-Z/18a/402/4	ὑποκειμένης οὖν κατὰ τὸ πρὸς τῶν ποδῶν μέρος λεκάνης 
-Z/18a/402/5	κενῆς ἐσχημάτισται κατὰ τοῦτο πρὸς ἔκρουν ἐπιτηδείως τὸ 
-Z/18a/402/6	δέρμα, πάλιν τε τὸ ἀθροισθὲν ἐν τῇ λεκάνῃ μεταβαλόντες 
-Z/18a/402/7	εἰς λέβητα κατὰ πυρὸς ἐπικείμενον ἐθέρμαινον, ἐντεῦθεν 
-Z/18a/402/8	λαβόντες ἀπήντλουν τῷ πεπονθότι χωρίῳ παντί. καὶ εἰ 
-Z/18a/402/9	βραχύ ποτε διέλιπον, εὐθέως ἠσθανόμην τάσεως τῶν κατὰ 
-Z/18a/402/10	τὸν τράχηλον μυῶν, ὡς εἶναι δῆλον ὅτι σπασμὸς ἀκολου-
-Z/18a/402/11	θήσει ῥαθυμησάντων περὶ τὴν κατάντλησιν. ἐμοὶ μὲν καὶ 
-Z/18a/402/12	ἄλλο τι συνέβη κατὰ τὰς κακοπαθείας τῶν μυῶν αἴτιον οὐ 
-Z/18a/402/13	σμικρὸν, ὃ καὶ αὐτὸ καλῶς ἔχει δηλῶσαι, χάριν τοῦ νομί-
-Z/18a/402/14	σαι τινὰ διὰ μόνην τὴν κατανάγκασιν τῆς κλειδὸς εὐπα-
-Z/18a/402/15	θεῖς γενέσθαι τοὺς μύας. ἀποσπασθέντος γὰρ τοῦ ἀκρω-
-Z/18a/402/16	μίου κατὰ παλαίστραν ὁ παιδοτρίβης ἰδὼν ταπεινὴν τὴν 
-Z/18a/402/17	ἐπωμίδα καὶ εἰς μασχάλην ὠλισθηκέναι τὸν βραχίονα κα-
-Z/18a/402/18	τέτεινέ τε καὶ μοχλεύειν ἐπεχείρει καὶ τεχνικῶς ἐνήργει  
-Z/18a/403/1	ταῦτα. μὴ προχωροῦντος δὲ τοῦ ἔργου καὶ μάτην τοῦ χρό-
-Z/18a/403/2	νου τριβομένου νομίσας αὐτὸν ἐν τῇ μοχλείᾳ τι σφάλλεσθαι, 
-Z/18a/403/3	τοὺς μὲν ἄλλους μετ' ἐκείνου τείνειν τε τὸν βραχίονα καὶ 
-Z/18a/403/4	ἀντιτείνειν ἄνω τὸν ὦμον ἐκέλευον, αὐτὸς ὑποβαλὼν τῆς 
-Z/18a/403/5	ἀπαθοῦς χειρὸς τοὺς δακτύλους ὡς ἐσωτάτω τοῦ δοκοῦντος 
-Z/18a/403/6	ὠλισθηκέναι τὸν βραχίονα, ἵνα μεταξὺ τῶν πλευρῶν καὶ τῆς 
-Z/18a/403/7	κεφαλῆς αὐτοὺς παρενθεὶς ἀναμοχλεύσειεν αὐτὸ μικρὸν τοῦτο 
-Z/18a/403/8	μηδὲν εὑρὼν ἐν τῇ μασχάλῃ παρὰ φύσιν ἐκέλευον ἐπισχεῖν 
-Z/18a/403/9	τὴν τάσιν τοὺς ἅμα τῷ παιδοτρίβῃ τείνοντάς τε καὶ ἀντι-
-Z/18a/403/10	τείνοντας, οὐ γὰρ ἐκπεπτωκέναι τὸ ἄρθρον. οἱ δ' 
-Z/18a/403/11	ὡς μετὰ τὴν ὀδύνην μαλθακιζομένου μου περιέτρεπόν τε 
-Z/18a/403/12	παρέχειν αὐτὸν ἑαυτοῖς οὐκ ἐμαυτοῦ οὐκ ἐπαύοντό τε 
-Z/18a/403/13	τείνοντες, ὥς τις ἂν διέσπασε τὸν μῦν, ὡς ἤδη καὶ ἄλλοις 
[0057]  [096]  []  []

-Z/18a/403/14	τισὶ συνέπεσεν, εἰ μὴ κατὰ τύχην ἐπιφανὴς ἕτερος εὖ ἰδὼν, 
-Z/18a/403/15	μηδέποτ' ἂν διὰ μαλακίαν εἶρξα αὐτοὺς τῆς τάσεως, ἀπέ-
-Z/18a/403/16	λυσε μὲν ἐκείνους, ἐμοὶ δ' ἐπύθετο τί ποτ' ἂν εἴη τὸ γεγο-
-Z/18a/403/17	νὸς, ὅ τι τε κελεύοι με πράττειν. εἶπον οὖν αὐτῷ τὸ μὲν 
-Z/18a/403/18	γεγονὸς ἀποσπασθῆναι τοῦ ἀκρωμίου, χρῄζειν δὲ ἐλαίου καὶ  
-Z/18a/404/1	ὀθονίου καὶ ἐρίων εἰς τὸ βαλανεῖον αὐτὸς ἐπορεύθην καὶ 
-Z/18a/404/2	πολὺ περιχεόμενος ἔλαιον ἐνδιέτριψα τῇ δεξαμένῃ, μέχρι 
-Z/18a/404/3	δυνατὸν ἦν, νομίζων ὅπως κομισθείη τὰ πρὸς τὴν θερα-
-Z/18a/404/4	πείαν· ὥστε μοι καὶ διὰ ταύτην τὴν κακοπάθειαν οἱ μύες 
-Z/18a/404/5	ἐδέοντο συνεχοῦς καταντλήσεως. οἱ πολλοὶ δὲ καὶ μὴ γε-
-Z/18a/404/6	νομένης αὐτῆς τῆς ἐπιδέσεως οὐ φέρουσιν, ἀλλ' αἱροῦνται 
-Z/18a/404/7	τὴν εἰς τὸν ἔπειτα χρόνον ἐκ τοῦ πάθους ἔχειν δυσχέρειαν 
-Z/18a/404/8	ὑπὲρ τοῦ μὴ πονεῖσθαι μέχρι τεσσαρακονθημέρου· οὐ γὰρ 
-Z/18a/404/9	ἡγοῦμαι θᾶττον δύνασθαι τῶν τοσούτων ἀκριβῶς καμφθῆ-
-Z/18a/404/10	ναι τὸ τῆς κλειδὸς ὀστοῦν. τὰ δ' ἄλλα τῆς ῥήσεως δῆλα. 
-Z/18a/404/11	          — — — 
-Z/18a/404/12	            ξβʹ. 
-Z/18a/404/13	Κληῒς δὲ κατεηγεῖσα ἢν μὲν ἀτρεκέως ἀποκαυλισθῇ, εὐϊητο-
-Z/18a/404/14	  τέρη ἐστὶν, ἢν δὲ παραμηκέως, δυσιητοτέρη. τἀναντία 
-Z/18a/404/15	  δὲ τούτοις ἐστὶν ἢ ὡς ἄν τις οἴοιτο· τὴν μὲν γὰρ ἀτρε-
-Z/18a/404/16	  κέως ἀποκαυλισθεῖσαν προσαναγκάσειεν ἄν τις μᾶλλον ἐς 
-Z/18a/404/17	  τὴν φύσιν ἐλθεῖν καὶ εἰ πάνυ προμηθηθείη τὸ ἀνωτέρω, 
-Z/18a/404/18	  κατωτέρω ἂν ποιήσειε σχήμασί τε ἐπιτηδείοισι καὶ ἐπι- 
-Z/18a/405/1	  δέσει ἁρμοζούσῃ. εἰ δὲ μὴ τελέως ἱδρυνθείη, ἀλλ' οὖν 
-Z/18a/405/2	  τὸ ὑπερέχον γε τοῦ ὀστέου οὐ κάρτα ὀξὺ γίνεται. ὡς δ' 
-Z/18a/405/3	  ἂν παράμηκες τὸ ὀστέον κατεάγῃ, ἰκέλη ἡ ξυμφορὴ γίνε-
-Z/18a/405/4	  ται τοῖσιν ὀστέοισι τοῖσιν ἀπεσπασμένοισι, περὶ ὧν πρό-
-Z/18a/405/5	  σθεν γέγραπται· οὔτε γὰρ ἱδρυνθῆναι αὐτὸ πρὸς ἑωυτὸ 
-Z/18a/405/6	  κάρτα ἐθέλει, ἥ τε ὑπερέχουσα ἀκρὶς τοῦ ὀστέου ὀξεῖα 
-Z/18a/405/7	  γίνεται κάρτα. τὸ μὲν οὖν σύμπαν εἰδέναι χρὴ ὅτι 
-Z/18a/405/8	  βλάβη οὐδεμίη τῷ ὤμῳ οὐδὲ τῷ ἄλλῳ σώματι γίνεται 
-Z/18a/405/9	  διὰ τὴν κάτηξιν τῆς κληῖδος, ἢν μὴ ἐπισφακελίσῃ. ὀλι-
-Z/18a/405/10	  γάκις δὲ τοῦτο γίνεται. 
-Z/18a/405/11	          — — — 
-Z/18a/405/12	    Λέγει τὴν δι' ὅλως ἀποκαυλισθεῖσαν, ὡς κατὰ μηδὲν 
-Z/18a/405/13	προσέχεσθαι, τὸ δὲ ἀντικείμενον τούτῳ τὸ οὐκ ἀτρεκέως 
-Z/18a/405/14	ἐστὶν, ὃ καθ' ἕνα τρόπον γινόμενον ἐδήλωσεν εἰπών· ἢν δὲ 
-Z/18a/405/15	παραμηκέως, δυσιητοτέρη μετ' αὐτοῦ καὶ συνενδείξασθαι 
-Z/18a/405/16	τὴν μὲν ἀκριβῶς ἀποκαυλιζομένην ἐγκαρσίαν πάσχειν τοῦτο, 
-Z/18a/405/17	τὴν δ' οὐκ ἀκριβῶς κατὰ μῆκος. ὅταν μὲν οὖν ὁλοκλήρως 
-Z/18a/405/18	ἀποκαυλισθῇ, παραλλάττειν εἴωθε τοὐπίπαν ἀλλήλων τὰ  
-Z/18a/406/1	μόρια, καὶ τὸ μὲν ἄνω χωρεῖν, τὸ δὲ κάτω, τὸ μὲν ἔσω, τὸ 
-Z/18a/406/2	δὲ ἔξω. καὶ κατὰ τοῦτο φαίνεται μέγα τε τὸ κάταγμα καὶ 
-Z/18a/406/3	δυσίατον εἶναι, κατὰ δὲ τὸν ἕτερον τρόπον, ἡνίκα παραμή-
-Z/18a/406/4	κης ἐστὶν ἡ διάθεσις τοῦ κατάγματος, ἡ μὲν φαντασία μι-
-Z/18a/406/5	κροτέρα, χαλεπωτέρα δὲ ἡ ἴασις. οὐ γὰρ ἐνδέχεται τὴν 
-Z/18a/406/6	ἐν κύκλῳ περιβολὴν ὥσπερ τὰ κῶλα μόνην δυναμένην 
-Z/18a/406/7	προστεῖλαι καὶ παραγαγεῖν τὸ παρὰ μῆκος ἐσχισμένον τῆς 
-Z/18a/406/8	κλειδός. ἐὰν οὖν, ὧν εἴρηκα νῦν εἴης μεμνημένος, 
-Z/18a/406/9	οὐδὲν ἐνεγκεῖν φαίνεται τῶν ἐφεξῆς ὑπ' αὐτοῦ λεγομένων 
-Z/18a/406/10	ἀσαφές. 
-Z/18a/406/11	          — — — 
-Z/18a/406/12	            ξγʹ. 
-Z/18a/406/13	Αἶσχός γε μὴν προσγίνεται περὶ τὴν κάτηξιν τῆς κληῖδος 
-Z/18a/406/14	  καὶ τούτοισι τοῖσι τὸ πρῶτον αἴσχιστον, ἔπειτα μὴν ἐπὶ 
-Z/18a/406/15	  ἧσσον γίνεται. 
-Z/18a/406/16	          — — — 
-Z/18a/406/17	    Βέλτιον ἦν εἰπεῖν ἐπὶ ἧσσον γίνεται· κατ' ἀρχὰς μὲν 
-Z/18a/406/18	γὰρ τῷ ξένῳ τοῦ πράγματος αἰσχρὸν αὐτοῖς εἶναι δοκεῖ τὸ  
-Z/18a/407/1	γεγονός. ἐν δὲ τῷ χρόνῳ συνειθιζομένοις ὥσπερ ἐπὶ τοῖς 
-Z/18a/407/2	ἄλλοις ἅπασιν, οὕτω κἀπὶ τῷδε καταφρονεῖται τὸ αἶσχος. 
-Z/18a/407/3	          — — — 
-Z/18a/407/4	            ξδʹ. 
-Z/18a/407/5	Συμφύεται δὲ ταχέως κληῒς καὶ τἄλλα πάντα ὅσα χαῦνα 
-Z/18a/407/6	  ὀστέα. ταχεῖαν γὰρ τὴν ἐπιπώρωσιν ποιέεται τὰ τοιαῦτα. 
-Z/18a/407/7	  ὅταν μὲν οὖν νεωστὶ καταγῇ, οἱ τετρωμένοι σπουδάζουσιν 
-Z/18a/407/8	  οἰόμενοι μεῖζον τὸ κακὸν εἶναι ἢ ὅσον ἐστὶν οἵ τε ἰη-
-Z/18a/407/9	  τροὶ προθυμέονται δῆθεν ὀρθῶς ἰῆσθαι. προϊόντος δὲ 
-Z/18a/407/10	  τοῦ χρόνου οἱ τετρωμένοι, ἅτε οὐκ ὀδυνώμενοι οὔτε κω-
-Z/18a/407/11	  λυόμενοι οὔτε ὁδοιπορίης οὔτε ἐδωδῆς καταμελέουσιν· 
-Z/18a/407/12	  οἵ τε αὖ ἰητροὶ ἅτε οὐ δυνάμενοι κατὰ τὰ χωρία ἀπο-
-Z/18a/407/13	  δεικνύναι ἀποδιδράσκουσι καὶ οὐκ ἄχθονται τῇ 
-Z/18a/407/14	  ἀμελείῃ τῶν τετρωμένων, ἐν τούτῳ δὲ ἡ ἐπιπώρωσις συν-
-Z/18a/407/15	  ταχύνεται. ἐπιδέσιος μὲν οὖν τρόπος καθέστηκε παρα-
-Z/18a/407/16	  πλήσιος τοῖσι πλείστοισι, κηρωτῇ καὶ σπλήνεσι καὶ ὀθο-
-Z/18a/407/17	  νίοισι μαλθακοῖσιν ἰητρεύειν, καὶ τάδε δεῖ προσιητρεύειν 
-Z/18a/407/18	  καὶ τάδε δεῖ προσξυνιέναι καὶ μάλιστα ἐν τούτῳ τῷ χει- 
-Z/18a/408/1	  ρίσματι, ὅτι τούς τε σπλῆνας πλείστους κατὰ τὸ ἐξέχον 
-Z/18a/408/2	  χρὴ τιθέναι καὶ τοῖσι ἐπιδέσμοισι πλείστοισι καὶ μάλιστα 
-Z/18a/408/3	  κατὰ τοῦτο χρὴ πιέζειν. εἰσὶ δὲ δή τινες οἳ ἐπεσοφί-
-Z/18a/408/4	  σαντο ἤδη μολύβδιον βαρὺ προσεπικαταδεῖν, ὡς καταναγ-
-Z/18a/408/5	  κάζειν τὸ ὑπερέχον. ξυνιᾶσι μὲν οὖν ἴσως οὐδὲ οἱ ἁπλῶς 
-Z/18a/408/6	  ἐπιδέοντες· ἀτὰρ δὴ οὐδὲ οὗτος ὁ τρόπος κληῖδος κατή-
-Z/18a/408/7	  ξιός ἐστιν, οὐ γὰρ δυνατὸν τὸ ὑπερέχον καταναγκάζεσθαι 
-Z/18a/408/8	  οὐδὲν ὅ τι καὶ ἄξιον λόγου. ἄλλοι δ' αὖ τινές εἰσιν οἵ-
-Z/18a/408/9	  τινες καταμαθόντες τοῦτο, ὅτι αὗται αἱ ἐπιδέσιες παρά-
-Z/18a/408/10	  φοροί εἰσι καὶ οὐ κατὰ φύσιν καταναγκάζουσι τὰ ὑπερ-
-Z/18a/408/11	  έχοντα. ἐπιδέουσι μὲν οὖν αὐτοὺς σπλήνεσι καὶ ὀθονίοισι 
-Z/18a/408/12	  χρώμενοι, ὥσπερ καὶ οἱ ἄλλοι, ζώσαντες δὲ τὸν ἄνθρω-
-Z/18a/408/13	  πον ταινίῃ τινὶ, ᾗ εὐζωστότατος αὐτὸς ἑωυτοῦ ἐστιν, ὅταν 
-Z/18a/408/14	  ἐπιθῶσι τοὺς σπλῆνας ἐπὶ τὰ ὑπερέχοντα τοῦ κατήγμα-
-Z/18a/408/15	  τος ἐξογκώσαντες ἐπὶ τὰ ἐξέχοντα τὴν ἀρχὴν τοῦ ὀθο-
-Z/18a/408/16	  νίου προσέδησαν πρὸς τὸ ζῶσμα ἐκ τοῦ ἔμπροσθεν καὶ 
-Z/18a/408/17	  οὕτως ἐπιδέουσιν ἐπὶ τὴν ἴξιν τῆς κληῖδος ἐπιτανύοντες 
-Z/18a/408/18	  ἐς τοὔπισθεν ἄγοντες, κἄπειτα περιβαλόντες περὶ τὸ  
-Z/18a/409/1	  ζῶσμα ἐς τοὔμπροσθεν ἄγουσι καὶ αὖθις ἐς τοὔπισθεν. οἱ 
-Z/18a/409/2	  δέ τινες οὐχὶ περὶ τὸ ζῶσμα περιβάλλουσι τὸ ὀθόνιον, 
-Z/18a/409/3	  ἀλλὰ περὶ τὸ περίνεόν τε καὶ παρ' αὐτὴν τὴν ἕδρην καὶ 
-Z/18a/409/4	  παρὰ τὴν ἄκανθαν κυκλεύοντες τὸ ὀθόνιον, οὕτω πιέζουσι 
-Z/18a/409/5	  τὸ κάταγμα. ταῦτα γοῦν ἀπείρῳ μὲν ἀκοῦσαι φαίνεται 
-Z/18a/409/6	  ἐγγὺς τοῦ κατὰ φύσιν εἶναι, χρεωμένῳ δὲ ἄχρηστα· οὔτε 
-Z/18a/409/7	  γὰρ μόνιμα οὐδένα χρόνον, οὐδ' εἰ κατακέοιτό τις, καίτοι 
-Z/18a/409/8	  ἐγγυτάτω ἂν οὕτως, ἀλλ' ὅμως εἰ κατακείμενος ἢ τὸ σκέ-
-Z/18a/409/9	  λος συγκάμψειεν ἢ αὐτὸς καμφθείη, πάντα ἂν τὰ ἐπι-
-Z/18a/409/10	  δέσματα κινέοιτο ἄλλως τε ἀσηρὴ ἡ ἐπίδεσις. 
-Z/18a/409/11	          — — — 
-Z/18a/409/12	    Τὴν αἰτίαν εἶπεν αὐτὸς τοῦ ταχέως τὰ τοι-
-Z/18a/409/13	αῦτα συμφύεσθαι, τοῦ μέντοι τὴν πώρωσιν γίγνεσθαι τα-
-Z/18a/409/14	χεῖαν, οὐκ ἔτ' εἶπε τὴν αἰτίαν, ὡς ἂν ἐξ αὐτῶν τῶν ὀστῶν 
-Z/18a/409/15	τῆς φύσεως ὑπὲρ ὧν ὁ λόγος ἐστὶ νοηθῆναι δυναμένην. τὰ 
-Z/18a/409/16	γὰρ χαῦνα πλείονος ἐν αὐτοῖς ὑγρότητος μετέχει. λέλεκται 
-Z/18a/409/17	δὲ ἡμῖν ἐν τοῖς ἔμπροσθεν ὡς ἐκχεομένης αὐτῆς, εἶτα πη-
-Z/18a/409/18	γνυμένης ὑπὸ τῆς κατὰ τὸ πεπονθὸς ὀστοῦν δυνάμεως ὁ  
-Z/18a/410/1	πῶρος ἐπιτρέφεται τοῖς χείλεσι τοῦ κατεαγότος ὀστοῦ. κἀ-
-Z/18a/410/2	πειδὰν ἱκανῶς τοῦτο γένηται, συνδεῖταί τε καὶ σφίγγεται 
-Z/18a/410/3	τὰ χείλη τοῦ κατάγματος, οὐ διὰ τοῦ βάθους ἐῤῥιμμένου 
-Z/18a/410/4	τοῦ πεπονθότος ὀστοῦ, κάθαπερ ἐῤῥιμμέναι σάρκες, ἀλλ' 
-Z/18a/410/5	ὡς εἴρηται κατὰ τὴν ἐκτὸς ἐπιφάνειαν, οἷον δεσμόν τινα 
-Z/18a/410/6	ἀχθομένου. τὰ δ' ἑξῆς ἅπαντα δῆλα τοῖς προσέχουσι τὸν 
-Z/18a/410/7	νοῦν. 
-Z/18a/410/8	          — — — 
-Z/18a/410/9	            ξεʹ. 
-Z/18a/410/10	Ἥ τε γὰρ ἕδρη ἀπολαμβάνεται ἀθρόα τε τὰ ὀθόνια ἐν ταύτῃ 
-Z/18a/410/11	  τῇ στενοχωρίῃ γίνεται. τά τε αὖ περὶ τὴν ζώνην παρα-
-Z/18a/410/12	  βαλλόμενα οὐχ οὕτως ἰσχυρῶς ἔζωσται, ὡς οὐκ ἀναγκά-
-Z/18a/410/13	  σαι ἐς τὸ ἄνω τὴν ζώνην ἐπανιέναι καὶ οὕτως ἀνάγκη ἂν 
-Z/18a/410/14	  εἴη πάντα χαλᾷν τὰ ἐπιδέσματα, ἄγχιστα δ' ἄν τις δο-
-Z/18a/410/15	  κέῃ ποιέειν, καίπερ οὐ μεγάλα ποιέων, εἰ τοῖσι μέν τισι 
-Z/18a/410/16	  τῶν ὀθονίων περὶ τὴν ζώνην περιβάλλοι, τοῖσι δὲ πλεί-
-Z/18a/410/17	  στοισι τῶν ὀθονίων τὴν ἀρχαίην ἐπίδεσιν ἐπιδέοι· οὕτω 
-Z/18a/410/18	  γὰρ ἂν μάλιστα τὰ ἐπιδέσματα μόνιμά τε εἴη καὶ ἀλλή-
-Z/18a/410/19	  λοισι τιμωρέοι. τὰ μὲν οὖν πλεῖστα εἴρηται ὅσα κατα- 
-Z/18a/411/1	  λαμβάνει τοὺς τὴν κληῖδα καταγνυμένους, προσξυνιέναι 
-Z/18a/411/2	  δὲ καὶ τόδε χρὴ, ὅτι κληῒς ὡς ἐπὶ τὸ πουλὺ κατάγνυται, 
[0057]  [096]  []  []

-Z/18a/411/3	  ὥστε τὸ μὲν ἀπὸ τοῦ στήθεος πεφυκὸς ὀστέον εἰς τὸ 
-Z/18a/411/4	  ἄνω μέρος ὑπερέχειν, τὸ δὲ ἀπὸ τῆς ἀκρωμίης πεφυκὸς 
-Z/18a/411/5	  ὀστέον ἐν τῷ κάτω μέρει εἶναι. αἴτια δὲ τούτων τάδε, 
-Z/18a/411/6	  ὅτι τὸ μὲν στῆθος οὔτε κατωτέρω ἂν πουλὺ οὔτε ἀνω-
-Z/18a/411/7	  τέρω χωρήσειεν. 
-Z/18a/411/8	          — — — 
-Z/18a/411/9	    Οὐκ ἔστι σύνθετον ὄνομα τὸ στενυγροχωρίῳ ἐκ τε τοῦ 
-Z/18a/411/10	ὑγροῦ καὶ τοῦ στενοῦ καὶ τῆς χώρας γεγονὸς, ὥς τινες νο-
-Z/18a/411/11	μίζουσιν, ἀλλ' ἀπὸ τοῦ στενυγρὸν, ὅπερ οὐδ' αὐτὸ πλέον 
-Z/18a/411/12	σημαίνει τοῦ στενοῦ κατὰ παραγωγήν τινα γεγενημένης 
-Z/18a/411/13	στενυγροχωρίας μηδὲν πλέον δηλούσης τῆς στενότητος. εὔ-
-Z/18a/411/14	δηλον δὲ τοῦτο κἀξ ὧν Σιμωνίδης εἶπεν, ὧδέ πως ἐχόντων· 
-Z/18a/411/15	οὔπω τις οὕτω δασκίοις ἐν οὔρεσιν ἀνὴρ λέγονται δὶς ἐν οὐδὲ 
-Z/18a/411/16	πάρδαλιν μοῦνος στενυγρῷ συντυχὼν ἐν ἀτραπῷ. ψιλοῦται 
-Z/18a/411/17	δὲ δηλονότι κατὰ τὴν δευτέραν συλλαβήν. 
-Z/18a/411/18	          — — —  
-Z/18a/412/1	            ξστʹ. 
-Z/18a/412/2	Μικρὸς γὰρ ὁ κιγκλισμὸς τοῦ ἄρθρου τοῦ ἐν τῷ στήθει. 
-Z/18a/412/3	          — — — 
-Z/18a/412/4	    Τὴν βραχεῖαν κίνησιν ὠνόμασε κιγκλισμόν. εἰ δ' ἀπὸ 
-Z/18a/412/5	τοῦ ζώου τοῦ κίγκλου γέγονε τοὔνομα, διότι κινεῖ συνεχῶς 
-Z/18a/412/6	ἐκεῖνο τὰ πηγάνεια πτέρνα ἢ ἀπό τινος ἄλλου τῆς προκει-
-Z/18a/412/7	μένης πραγματείας, οὐκ ἔστιν οἰκεῖον, ἀλλὰ μᾶλλον δεῖται 
-Z/18a/412/8	αἰτίαν εἰπεῖν, δι' ἣν ἡ πρὸς τὸ στέρνον τῆς κλειδὸς 
-Z/18a/412/9	διάρθρωσις οὐ τῶν μικροτάτων οὖσα, καθάπερ ἕτε-
-Z/18a/412/10	ραί τινες, ὅμως οὐκ ἔχει κίνησιν ἀξιόλογον. αὐτὸς οὖν 
-Z/18a/412/11	ὁ Ἱπποκράτης ἥντινα λέγει τούτου τὴν αἰτίαν εἶναι διὰ 
-Z/18a/412/12	τῆς λέξεως ἀκούσωμεν. στῆθος δὲ ἔοικεν οὐ τὸ σύμπαν λέ-
-Z/18a/412/13	γειν χωρίον, ὅσον ἐν τοῖς πρόσω τοῦ θώρακός ἐστιν, ἀλλὰ 
-Z/18a/412/14	τὸ μέσον ὀστοῦν, ἐν ᾧ διαρθροῦνται πλευραὶ, ὃ καλοῦσιν 
-Z/18a/412/15	ἰδίως οἱ μετ' αὐτὸν ἰατροὶ στέρνον, ὅπερ ἀληθῶς εἶπεν. 
-Z/18a/412/16	          — — —  
-Z/18a/413/1	            ξζʹ. 
-Z/18a/413/2	Αὐτὸ γὰρ ἑωυτῷ συνεχές ἐστι τὸ στῆθος καὶ τῇ ῥάχει. 
-Z/18a/413/3	          — — — 
-Z/18a/413/4	    Τὸ μὲν οὖν ἑαυτῷ συνεχὲς εἶναι τὸ στέρνον ἐναργῶς 
-Z/18a/413/5	φαίνεται· τὸ δὲ τῇ ῥάχει νοηθήσεται σαφῶς, ἐὰν σκελετῷ 
-Z/18a/413/6	ζώῳ τὰς πλευράς ποτε ἴδῃς ἐναργῶς ἐρηρεισμένας ὀπίσω 
-Z/18a/413/7	μὲν ἐπὶ τῆς ῥάχεως, ἔμπροσθεν δὲ πρὸς τὸ στέρνον. 
-Z/18a/413/8	          — — — 
-Z/18a/413/9	            ξηʹ. 
-Z/18a/413/10	Ἄγχιστα μὲν ἡ κληῒς πρὸς τὸ τοῦ ὤμου ἄρθρον πλοώδης 
-Z/18a/413/11	  ἐστίν· ἠνάγκασται γὰρ πυκινοκίνητος εἶναι διὰ τὴν τῆς 
-Z/18a/413/12	  ἀκρωμίης σύζευξιν. ἄλλως τε ὅταν τρωθῇ, φεύγει ἐς τὸ 
-Z/18a/413/13	  ἄνω μέρος τὸ πρὸς τῷ στήθει προσεχόμενον καὶ οὐ μάλα 
-Z/18a/413/14	  ἐς τὸ κάτω μέρος ἀναγκάζεσθαι ἐθέλει. καὶ γὰρ πέφυκε 
-Z/18a/413/15	  κοῦφον καὶ ἡ εὐρυχωρίη αὐτῷ ἄνω πλείων ἢ κάτω. ὁ 
-Z/18a/413/16	  δὲ ὦμος καὶ τὰ προσηρτημένα τούτοισιν εὐαπόλυτά εἰσιν 
-Z/18a/413/17	  ἀπὸ τῶν πλευρέων καὶ τοῦ στήθεος καὶ διὰ τοῦτο δύνα-
-Z/18a/413/18	  ται καὶ ἀνωτέρω πουλὺ ἀνάγεσθαι καὶ κατωτέρω. ὅταν  
-Z/18a/414/1	  γοῦν καταγῇ κληῒς, τὸ πρὸς τῷ ὤμῳ ὀστέον ἐς τὸ κα-
-Z/18a/414/2	  τωτέρω ἐπιῤῥέπει· ἐς τοῦτο γὰρ ἐπιτροχώτερον αὐτὸ ἅμα 
-Z/18a/414/3	  τῷ ὤμῳ καὶ τῷ βραχίονι κάτω ῥεῦσαι μᾶλλον ἢ ἐς τὸ 
-Z/18a/414/4	  ἄνω. ὁπότε οὖν ταῦτά ἐστιν, ἀξυνετέουσιν ὅσοι τὸ ὑπερ-
-Z/18a/414/5	  έχον τοῦ ὀστέου ἐς τὸ κάτω καταναγκάσαι οἴονται εἶναι, 
-Z/18a/414/6	  ἀλλὰ δῆλον ὅτι τὸ κάτω πρὸς τῷ ἄνω προσακτέον ἐστί. 
-Z/18a/414/7	  τοῦτο γὰρ ἔχει κίνησιν, τοῦτο γάρ ἐστι καὶ τὸ ἀποστὰν 
-Z/18a/414/8	  ἀπὸ τῆς φύσιος. δῆλον οὖν ὅτι ἄλλως μὲν οὐδαμῶς ἐστιν 
-Z/18a/414/9	  ἀναγκάσαι τοῦτο· αἵ τε γὰρ ἐπιδέσιες οὐδέν τι μᾶλλον 
-Z/18a/414/10	  προσαναγκάζουσιν ἢ ἀπαναγκάζουσιν. εἰ δέ τις τὸν βρα-
-Z/18a/414/11	  χίονα πρὸς τῇσι πλευρῇσιν ὡς μάλιστα ἐόντα ἀναγκάζοι 
-Z/18a/414/12	  ἄνω, ὡς ὅτι ὀξύτατος ὁ ὦμος φαίνεται εἶναι, δῆλον ὅτι 
-Z/18a/414/13	  οὕτως ἂν ἁρμοσθείη πρὸς τὸ ὀστέον τὸ ἀπὸ τοῦ στήθεος 
-Z/18a/414/14	  πεφυκὸς ὅθεν ἀπεσπάσθη. 
-Z/18a/414/15	          — — — 
